level,attack,defense,stamina,cp
1.0,0,0,0,39
1.0,0,0,1,39
1.0,0,0,2,39
1.0,0,0,3,39
1.0,0,0,4,39
1.0,0,0,5,40
1.0,0,0,6,40
1.0,0,0,7,40
1.0,0,0,8,40
1.0,0,0,9,40
1.0,0,0,10,40
1.0,0,0,11,40
1.0,0,0,12,40
1.0,0,0,13,40
1.0,0,0,14,40
1.0,0,0,15,41
1.0,0,1,0,39
1.0,0,1,1,39
1.0,0,1,2,39
1.0,0,1,3,39
1.0,0,1,4,40
1.0,0,1,5,40
1.0,0,1,6,40
1.0,0,1,7,40
1.0,0,1,8,40
1.0,0,1,9,40
1.0,0,1,10,40
1.0,0,1,11,40
1.0,0,1,12,40
1.0,0,1,13,40
1.0,0,1,14,41
1.0,0,1,15,41
1.0,0,2,0,39
1.0,0,2,1,39
1.0,0,2,2,39
1.0,0,2,3,40
1.0,0,2,4,40
1.0,0,2,5,40
1.0,0,2,6,40
1.0,0,2,7,40
1.0,0,2,8,40
1.0,0,2,9,40
1.0,0,2,10,40
1.0,0,2,11,40
1.0,0,2,12,40
1.0,0,2,13,41
1.0,0,2,14,41
1.0,0,2,15,41
1.0,0,3,0,39
1.0,0,3,1,39
1.0,0,3,2,40
1.0,0,3,3,40
1.0,0,3,4,40
1.0,0,3,5,40
1.0,0,3,6,40
1.0,0,3,7,40
1.0,0,3,8,40
1.0,0,3,9,40
1.0,0,3,10,40
1.0,0,3,11,40
1.0,0,3,12,41
1.0,0,3,13,41
1.0,0,3,14,41
1.0,0,3,15,41
1.0,0,4,0,39
1.0,0,4,1,40
1.0,0,4,2,40
1.0,0,4,3,40
1.0,0,4,4,40
1.0,0,4,5,40
1.0,0,4,6,40
1.0,0,4,7,40
1.0,0,4,8,40
1.0,0,4,9,40
1.0,0,4,10,40
1.0,0,4,11,41
1.0,0,4,12,41
1.0,0,4,13,41
1.0,0,4,14,41
1.0,0,4,15,41
1.0,0,5,0,40
1.0,0,5,1,40
1.0,0,5,2,40
1.0,0,5,3,40
1.0,0,5,4,40
1.0,0,5,5,40
1.0,0,5,6,40
1.0,0,5,7,40
1.0,0,5,8,40
1.0,0,5,9,41
1.0,0,5,10,41
1.0,0,5,11,41
1.0,0,5,12,41
1.0,0,5,13,41
1.0,0,5,14,41
1.0,0,5,15,41
1.0,0,6,0,40
1.0,0,6,1,40
1.0,0,6,2,40
1.0,0,6,3,40
1.0,0,6,4,40
1.0,0,6,5,40
1.0,0,6,6,40
1.0,0,6,7,40
1.0,0,6,8,41
1.0,0,6,9,41
1.0,0,6,10,41
1.0,0,6,11,41
1.0,0,6,12,41
1.0,0,6,13,41
1.0,0,6,14,41
1.0,0,6,15,41
1.0,0,7,0,40
1.0,0,7,1,40
1.0,0,7,2,40
1.0,0,7,3,40
1.0,0,7,4,40
1.0,0,7,5,40
1.0,0,7,6,40
1.0,0,7,7,41
1.0,0,7,8,41
1.0,0,7,9,41
1.0,0,7,10,41
1.0,0,7,11,41
1.0,0,7,12,41
1.0,0,7,13,41
1.0,0,7,14,41
1.0,0,7,15,41
1.0,0,8,0,40
1.0,0,8,1,40
1.0,0,8,2,40
1.0,0,8,3,40
1.0,0,8,4,40
1.0,0,8,5,40
1.0,0,8,6,41
1.0,0,8,7,41
1.0,0,8,8,41
1.0,0,8,9,41
1.0,0,8,10,41
1.0,0,8,11,41
1.0,0,8,12,41
1.0,0,8,13,41
1.0,0,8,14,41
1.0,0,8,15,41
1.0,0,9,0,40
1.0,0,9,1,40
1.0,0,9,2,40
1.0,0,9,3,40
1.0,0,9,4,40
1.0,0,9,5,41
1.0,0,9,6,41
1.0,0,9,7,41
1.0,0,9,8,41
1.0,0,9,9,41
1.0,0,9,10,41
1.0,0,9,11,41
1.0,0,9,12,41
1.0,0,9,13,41
1.0,0,9,14,41
1.0,0,9,15,42
1.0,0,10,0,40
1.0,0,10,1,40
1.0,0,10,2,40
1.0,0,10,3,40
1.0,0,10,4,41
1.0,0,10,5,41
1.0,0,10,6,41
1.0,0,10,7,41
1.0,0,10,8,41
1.0,0,10,9,41
1.0,0,10,10,41
1.0,0,10,11,41
1.0,0,10,12,41
1.0,0,10,13,41
1.0,0,10,14,42
1.0,0,10,15,42
1.0,0,11,0,40
1.0,0,11,1,40
1.0,0,11,2,40
1.0,0,11,3,41
1.0,0,11,4,41
1.0,0,11,5,41
1.0,0,11,6,41
1.0,0,11,7,41
1.0,0,11,8,41
1.0,0,11,9,41
1.0,0,11,10,41
1.0,0,11,11,41
1.0,0,11,12,41
1.0,0,11,13,42
1.0,0,11,14,42
1.0,0,11,15,42
1.0,0,12,0,40
1.0,0,12,1,40
1.0,0,12,2,41
1.0,0,12,3,41
1.0,0,12,4,41
1.0,0,12,5,41
1.0,0,12,6,41
1.0,0,12,7,41
1.0,0,12,8,41
1.0,0,12,9,41
1.0,0,12,10,41
1.0,0,12,11,41
1.0,0,12,12,42
1.0,0,12,13,42
1.0,0,12,14,42
1.0,0,12,15,42
1.0,0,13,0,40
1.0,0,13,1,41
1.0,0,13,2,41
1.0,0,13,3,41
1.0,0,13,4,41
1.0,0,13,5,41
1.0,0,13,6,41
1.0,0,13,7,41
1.0,0,13,8,41
1.0,0,13,9,41
1.0,0,13,10,41
1.0,0,13,11,42
1.0,0,13,12,42
1.0,0,13,13,42
1.0,0,13,14,42
1.0,0,13,15,42
1.0,0,14,0,41
1.0,0,14,1,41
1.0,0,14,2,41
1.0,0,14,3,41
1.0,0,14,4,41
1.0,0,14,5,41
1.0,0,14,6,41
1.0,0,14,7,41
1.0,0,14,8,41
1.0,0,14,9,41
1.0,0,14,10,42
1.0,0,14,11,42
1.0,0,14,12,42
1.0,0,14,13,42
1.0,0,14,14,42
1.0,0,14,15,42
1.0,0,15,0,41
1.0,0,15,1,41
1.0,0,15,2,41
1.0,0,15,3,41
1.0,0,15,4,41
1.0,0,15,5,41
1.0,0,15,6,41
1.0,0,15,7,41
1.0,0,15,8,41
1.0,0,15,9,42
1.0,0,15,10,42
1.0,0,15,11,42
1.0,0,15,12,42
1.0,0,15,13,42
1.0,0,15,14,42
1.0,0,15,15,42
1.0,1,0,0,39
1.0,1,0,1,39
1.0,1,0,2,39
1.0,1,0,3,40
1.0,1,0,4,40
1.0,1,0,5,40
1.0,1,0,6,40
1.0,1,0,7,40
1.0,1,0,8,40
1.0,1,0,9,40
1.0,1,0,10,40
1.0,1,0,11,40
1.0,1,0,12,40
1.0,1,0,13,41
1.0,1,0,14,41
1.0,1,0,15,41
1.0,1,1,0,39
1.0,1,1,1,39
1.0,1,1,2,40
1.0,1,1,3,40
1.0,1,1,4,40
1.0,1,1,5,40
1.0,1,1,6,40
1.0,1,1,7,40
1.0,1,1,8,40
1.0,1,1,9,40
1.0,1,1,10,40
1.0,1,1,11,40
1.0,1,1,12,41
1.0,1,1,13,41
1.0,1,1,14,41
1.0,1,1,15,41
1.0,1,2,0,39
1.0,1,2,1,40
1.0,1,2,2,40
1.0,1,2,3,40
1.0,1,2,4,40
1.0,1,2,5,40
1.0,1,2,6,40
1.0,1,2,7,40
1.0,1,2,8,40
1.0,1,2,9,40
1.0,1,2,10,40
1.0,1,2,11,41
1.0,1,2,12,41
1.0,1,2,13,41
1.0,1,2,14,41
1.0,1,2,15,41
1.0,1,3,0,40
1.0,1,3,1,40
1.0,1,3,2,40
1.0,1,3,3,40
1.0,1,3,4,40
1.0,1,3,5,40
1.0,1,3,6,40
1.0,1,3,7,40
1.0,1,3,8,40
1.0,1,3,9,40
1.0,1,3,10,41
1.0,1,3,11,41
1.0,1,3,12,41
1.0,1,3,13,41
1.0,1,3,14,41
1.0,1,3,15,41
1.0,1,4,0,40
1.0,1,4,1,40
1.0,1,4,2,40
1.0,1,4,3,40
1.0,1,4,4,40
1.0,1,4,5,40
1.0,1,4,6,40
1.0,1,4,7,40
1.0,1,4,8,40
1.0,1,4,9,41
1.0,1,4,10,41
1.0,1,4,11,41
1.0,1,4,12,41
1.0,1,4,13,41
1.0,1,4,14,41
1.0,1,4,15,41
1.0,1,5,0,40
1.0,1,5,1,40
1.0,1,5,2,40
1.0,1,5,3,40
1.0,1,5,4,40
1.0,1,5,5,40
1.0,1,5,6,40
1.0,1,5,7,40
1.0,1,5,8,41
1.0,1,5,9,41
1.0,1,5,10,41
1.0,1,5,11,41
1.0,1,5,12,41
1.0,1,5,13,41
1.0,1,5,14,41
1.0,1,5,15,41
1.0,1,6,0,40
1.0,1,6,1,40
1.0,1,6,2,40
1.0,1,6,3,40
1.0,1,6,4,40
1.0,1,6,5,40
1.0,1,6,6,40
1.0,1,6,7,41
1.0,1,6,8,41
1.0,1,6,9,41
1.0,1,6,10,41
1.0,1,6,11,41
1.0,1,6,12,41
1.0,1,6,13,41
1.0,1,6,14,41
1.0,1,6,15,41
1.0,1,7,0,40
1.0,1,7,1,40
1.0,1,7,2,40
1.0,1,7,3,40
1.0,1,7,4,40
1.0,1,7,5,40
1.0,1,7,6,41
1.0,1,7,7,41
1.0,1,7,8,41
1.0,1,7,9,41
1.0,1,7,10,41
1.0,1,7,11,41
1.0,1,7,12,41
1.0,1,7,13,41
1.0,1,7,14,41
1.0,1,7,15,41
1.0,1,8,0,40
1.0,1,8,1,40
1.0,1,8,2,40
1.0,1,8,3,40
1.0,1,8,4,40
1.0,1,8,5,41
1.0,1,8,6,41
1.0,1,8,7,41
1.0,1,8,8,41
1.0,1,8,9,41
1.0,1,8,10,41
1.0,1,8,11,41
1.0,1,8,12,41
1.0,1,8,13,41
1.0,1,8,14,42
1.0,1,8,15,42
1.0,1,9,0,40
1.0,1,9,1,40
1.0,1,9,2,40
1.0,1,9,3,41
1.0,1,9,4,41
1.0,1,9,5,41
1.0,1,9,6,41
1.0,1,9,7,41
1.0,1,9,8,41
1.0,1,9,9,41
1.0,1,9,10,41
1.0,1,9,11,41
1.0,1,9,12,41
1.0,1,9,13,42
1.0,1,9,14,42
1.0,1,9,15,42
1.0,1,10,0,40
1.0,1,10,1,40
1.0,1,10,2,41
1.0,1,10,3,41
1.0,1,10,4,41
1.0,1,10,5,41
1.0,1,10,6,41
1.0,1,10,7,41
1.0,1,10,8,41
1.0,1,10,9,41
1.0,1,10,10,41
1.0,1,10,11,41
1.0,1,10,12,42
1.0,1,10,13,42
1.0,1,10,14,42
1.0,1,10,15,42
1.0,1,11,0,40
1.0,1,11,1,41
1.0,1,11,2,41
1.0,1,11,3,41
1.0,1,11,4,41
1.0,1,11,5,41
1.0,1,11,6,41
1.0,1,11,7,41
1.0,1,11,8,41
1.0,1,11,9,41
1.0,1,11,10,41
1.0,1,11,11,42
1.0,1,11,12,42
1.0,1,11,13,42
1.0,1,11,14,42
1.0,1,11,15,42
1.0,1,12,0,41
1.0,1,12,1,41
1.0,1,12,2,41
1.0,1,12,3,41
1.0,1,12,4,41
1.0,1,12,5,41
1.0,1,12,6,41
1.0,1,12,7,41
1.0,1,12,8,41
1.0,1,12,9,41
