level,attack,defense,stamina,cp
1.0,6,6,6,46
1.0,6,6,7,46
1.0,6,6,8,46
1.0,6,6,9,46
1.0,6,6,10,46
1.0,6,6,11,46
1.0,6,6,12,47
1.0,6,6,13,47
1.0,6,6,14,47
1.0,6,6,15,47
1.0,6,7,6,46
1.0,6,7,7,46
1.0,6,7,8,46
1.0,6,7,9,46
1.0,6,7,10,46
1.0,6,7,11,47
1.0,6,7,12,47
1.0,6,7,13,47
1.0,6,7,14,47
1.0,6,7,15,47
1.0,6,8,6,46
1.0,6,8,7,46
1.0,6,8,8,46
1.0,6,8,9,47
1.0,6,8,10,47
1.0,6,8,11,47
1.0,6,8,12,47
1.0,6,8,13,47
1.0,6,8,14,47
1.0,6,8,15,47
1.0,6,9,6,46
1.0,6,9,7,46
1.0,6,9,8,47
1.0,6,9,9,47
1.0,6,9,10,47
1.0,6,9,11,47
1.0,6,9,12,47
1.0,6,9,13,47
1.0,6,9,14,47
1.0,6,9,15,47
1.0,6,10,6,46
1.0,6,10,7,47
1.0,6,10,8,47
1.0,6,10,9,47
1.0,6,10,10,47
1.0,6,10,11,47
1.0,6,10,12,47
1.0,6,10,13,47
1.0,6,10,14,47
1.0,6,10,15,47
1.0,6,11,6,47
1.0,6,11,7,47
1.0,6,11,8,47
1.0,6,11,9,47
1.0,6,11,10,47
1.0,6,11,11,47
1.0,6,11,12,47
1.0,6,11,13,47
1.0,6,11,14,47
1.0,6,11,15,48
1.0,6,12,6,47
1.0,6,12,7,47
1.0,6,12,8,47
1.0,6,12,9,47
1.0,6,12,10,47
1.0,6,12,11,47
1.0,6,12,12,47
1.0,6,12,13,47
1.0,6,12,14,48
1.0,6,12,15,48
1.0,6,13,6,47
1.0,6,13,7,47
1.0,6,13,8,47
1.0,6,13,9,47
1.0,6,13,10,47
1.0,6,13,11,47
1.0,6,13,12,47
1.0,6,13,13,48
1.0,6,13,14,48
1.0,6,13,15,48
1.0,6,14,6,47
1.0,6,14,7,47
1.0,6,14,8,47
1.0,6,14,9,47
1.0,6,14,10,47
1.0,6,14,11,48
1.0,6,14,12,48
1.0,6,14,13,48
1.0,6,14,14,48
1.0,6,14,15,48
1.0,6,15,6,47
1.0,6,15,7,47
1.0,6,15,8,47
1.0,6,15,9,47
1.0,6,15,10,48
1.0,6,15,11,48
1.0,6,15,12,48
1.0,6,15,13,48
1.0,6,15,14,48
1.0,6,15,15,48
1.0,7,6,6,46
1.0,7,6,7,46
1.0,7,6,8,46
1.0,7,6,9,46
1.0,7,6,10,47
1.0,7,6,11,47
1.0,7,6,12,47
1.0,7,6,13,47
1.0,7,6,14,47
1.0,7,6,15,47
1.0,7,7,6,46
1.0,7,7,7,46
1.0,7,7,8,46
1.0,7,7,9,47
1.0,7,7,10,47
1.0,7,7,11,47
1.0,7,7,12,47
1.0,7,7,13,47
1.0,7,7,14,47
1.0,7,7,15,47
1.0,7,8,6,46
1.0,7,8,7,47
1.0,7,8,8,47
1.0,7,8,9,47
1.0,7,8,10,47
1.0,7,8,11,47
1.0,7,8,12,47
1.0,7,8,13,47
1.0,7,8,14,47
1.0,7,8,15,47
1.0,7,9,6,47
1.0,7,9,7,47
1.0,7,9,8,47
1.0,7,9,9,47
1.0,7,9,10,47
1.0,7,9,11,47
1.0,7,9,12,47
1.0,7,9,13,47
1.0,7,9,14,47
1.0,7,9,15,47
1.0,7,10,6,47
1.0,7,10,7,47
1.0,7,10,8,47
1.0,7,10,9,47
1.0,7,10,10,47
1.0,7,10,11,47
1.0,7,10,12,47
1.0,7,10,13,47
1.0,7,10,14,47
1.0,7,10,15,48
1.0,7,11,6,47
1.0,7,11,7,47
1.0,7,11,8,47
1.0,7,11,9,47
1.0,7,11,10,47
1.0,7,11,11,47
1.0,7,11,12,47
1.0,7,11,13,47
1.0,7,11,14,48
1.0,7,11,15,48
1.0,7,12,6,47
1.0,7,12,7,47
1.0,7,12,8,47
1.0,7,12,9,47
1.0,7,12,10,47
1.0,7,12,11,47
1.0,7,12,12,48
1.0,7,12,13,48
1.0,7,12,14,48
1.0,7,12,15,48
1.0,7,13,6,47
1.0,7,13,7,47
1.0,7,13,8,47
1.0,7,13,9,47
1.0,7,13,10,47
1.0,7,13,11,48
1.0,7,13,12,48
1.0,7,13,13,48
1.0,7,13,14,48
1.0,7,13,15,48
1.0,7,14,6,47
1.0,7,14,7,47
1.0,7,14,8,47
1.0,7,14,9,47
1.0,7,14,10,48
1.0,7,14,11,48
1.0,7,14,12,48
1.0,7,14,13,48
1.0,7,14,14,48
1.0,7,14,15,48
1.0,7,15,6,47
1.0,7,15,7,47
1.0,7,15,8,48
1.0,7,15,9,48
1.0,7,15,10,48
1.0,7,15,11,48
1.0,7,15,12,48
1.0,7,15,13,48
1.0,7,15,14,48
1.0,7,15,15,48
1.0,8,6,6,46
1.0,8,6,7,46
1.0,8,6,8,47
1.0,8,6,9,47
1.0,8,6,10,47
1.0,8,6,11,47
1.0,8,6,12,47
1.0,8,6,13,47
1.0,8,6,14,47
1.0,8,6,15,47
1.0,8,7,6,46
1.0,8,7,7,47
1.0,8,7,8,47
1.0,8,7,9,47
1.0,8,7,10,47
1.0,8,7,11,47
1.0,8,7,12,47
1.0,8,7,13,47
1.0,8,7,14,47
1.0,8,7,15,47
