level,attack,defense,stamina,cp
1.0,0,0,0,34
1.0,0,0,1,34
1.0,0,0,2,34
1.0,0,0,3,34
1.0,0,0,4,34
1.0,0,0,5,34
1.0,0,0,6,34
1.0,0,0,7,34
1.0,0,0,8,34
1.0,0,0,9,34
1.0,0,0,10,34
1.0,0,0,11,35
1.0,0,0,12,35
1.0,0,0,13,35
1.0,0,0,14,35
1.0,0,0,15,35
1.0,0,1,0,34
1.0,0,1,1,34
1.0,0,1,2,34
1.0,0,1,3,34
1.0,0,1,4,34
1.0,0,1,5,34
1.0,0,1,6,34
1.0,0,1,7,34
1.0,0,1,8,34
1.0,0,1,9,34
1.0,0,1,10,35
1.0,0,1,11,35
1.0,0,1,12,35
1.0,0,1,13,35
1.0,0,1,14,35
1.0,0,1,15,35
1.0,0,2,0,34
1.0,0,2,1,34
1.0,0,2,2,34
1.0,0,2,3,34
1.0,0,2,4,34
1.0,0,2,5,34
1.0,0,2,6,34
1.0,0,2,7,34
1.0,0,2,8,34
1.0,0,2,9,35
1.0,0,2,10,35
1.0,0,2,11,35
1.0,0,2,12,35
1.0,0,2,13,35
1.0,0,2,14,35
1.0,0,2,15,35
1.0,0,3,0,34
1.0,0,3,1,34
1.0,0,3,2,34
1.0,0,3,3,34
1.0,0,3,4,34
1.0,0,3,5,34
1.0,0,3,6,34
1.0,0,3,7,34
1.0,0,3,8,35
1.0,0,3,9,35
1.0,0,3,10,35
1.0,0,3,11,35
1.0,0,3,12,35
1.0,0,3,13,35
1.0,0,3,14,35
1.0,0,3,15,35
1.0,0,4,0,34
1.0,0,4,1,34
1.0,0,4,2,34
1.0,0,4,3,34
1.0,0,4,4,34
1.0,0,4,5,34
1.0,0,4,6,35
1.0,0,4,7,35
1.0,0,4,8,35
1.0,0,4,9,35
1.0,0,4,10,35
1.0,0,4,11,35
1.0,0,4,12,35
1.0,0,4,13,35
1.0,0,4,14,35
1.0,0,4,15,35
1.0,0,5,0,34
1.0,0,5,1,34
1.0,0,5,2,34
1.0,0,5,3,34
1.0,0,5,4,34
1.0,0,5,5,35
1.0,0,5,6,35
1.0,0,5,7,35
1.0,0,5,8,35
1.0,0,5,9,35
1.0,0,5,10,35
1.0,0,5,11,35
1.0,0,5,12,35
1.0,0,5,13,35
1.0,0,5,14,35
1.0,0,5,15,35
1.0,0,6,0,34
1.0,0,6,1,34
1.0,0,6,2,34
1.0,0,6,3,34
1.0,0,6,4,35
1.0,0,6,5,35
1.0,0,6,6,35
1.0,0,6,7,35
1.0,0,6,8,35
1.0,0,6,9,35
1.0,0,6,10,35
1.0,0,6,11,35
1.0,0,6,12,35
1.0,0,6,13,35
1.0,0,6,14,35
1.0,0,6,15,35
1.0,0,7,0,34
1.0,0,7,1,34
1.0,0,7,2,34
1.0,0,7,3,35
1.0,0,7,4,35
1.0,0,7,5,35
1.0,0,7,6,35
1.0,0,7,7,35
1.0,0,7,8,35
1.0,0,7,9,35
1.0,0,7,10,35
1.0,0,7,11,35
1.0,0,7,12,35
1.0,0,7,13,35
1.0,0,7,14,35
1.0,0,7,15,36
1.0,0,8,0,34
1.0,0,8,1,34
1.0,0,8,2,35
1.0,0,8,3,35
1.0,0,8,4,35
1.0,0,8,5,35
1.0,0,8,6,35
1.0,0,8,7,35
1.0,0,8,8,35
1.0,0,8,9,35
1.0,0,8,10,35
1.0,0,8,11,35
1.0,0,8,12,35
1.0,0,8,13,35
1.0,0,8,14,36
1.0,0,8,15,36
1.0,0,9,0,34
1.0,0,9,1,35
1.0,0,9,2,35
1.0,0,9,3,35
1.0,0,9,4,35
1.0,0,9,5,35
1.0,0,9,6,35
1.0,0,9,7,35
1.0,0,9,8,35
1.0,0,9,9,35
1.0,0,9,10,35
1.0,0,9,11,35
1.0,0,9,12,35
1.0,0,9,13,36
1.0,0,9,14,36
1.0,0,9,15,36
1.0,0,10,0,35
1.0,0,10,1,35
1.0,0,10,2,35
1.0,0,10,3,35
1.0,0,10,4,35
1.0,0,10,5,35
1.0,0,10,6,35
1.0,0,10,7,35
1.0,0,10,8,35
1.0,0,10,9,35
1.0,0,10,10,35
1.0,0,10,11,35
1.0,0,10,12,36
1.0,0,10,13,36
1.0,0,10,14,36
1.0,0,10,15,36
1.0,0,11,0,35
1.0,0,11,1,35
1.0,0,11,2,35
1.0,0,11,3,35
1.0,0,11,4,35
1.0,0,11,5,35
1.0,0,11,6,35
1.0,0,11,7,35
1.0,0,11,8,35
1.0,0,11,9,35
1.0,0,11,10,35
1.0,0,11,11,36
1.0,0,11,12,36
1.0,0,11,13,36
1.0,0,11,14,36
1.0,0,11,15,36
