level,attack,defense,stamina,cp
1.0,6,6,6,29
1.0,6,6,7,29
1.0,6,6,8,29
1.0,6,6,9,29
1.0,6,6,10,29
1.0,6,6,11,29
1.0,6,6,12,29
1.0,6,6,13,30
1.0,6,6,14,30
1.0,6,6,15,30
1.0,6,7,6,29
1.0,6,7,7,29
1.0,6,7,8,29
1.0,6,7,9,29
1.0,6,7,10,29
1.0,6,7,11,29
1.0,6,7,12,30
1.0,6,7,13,30
1.0,6,7,14,30
1.0,6,7,15,30
1.0,6,8,6,29
1.0,6,8,7,29
1.0,6,8,8,29
1.0,6,8,9,29
1.0,6,8,10,30
1.0,6,8,11,30
1.0,6,8,12,30
1.0,6,8,13,30
1.0,6,8,14,30
1.0,6,8,15,30
1.0,6,9,6,29
1.0,6,9,7,29
1.0,6,9,8,29
1.0,6,9,9,30
1.0,6,9,10,30
1.0,6,9,11,30
1.0,6,9,12,30
1.0,6,9,13,30
1.0,6,9,14,30
1.0,6,9,15,30
1.0,6,10,6,29
1.0,6,10,7,30
1.0,6,10,8,30
1.0,6,10,9,30
1.0,6,10,10,30
1.0,6,10,11,30
1.0,6,10,12,30
1.0,6,10,13,30
1.0,6,10,14,30
1.0,6,10,15,30
1.0,6,11,6,30
1.0,6,11,7,30
1.0,6,11,8,30
1.0,6,11,9,30
1.0,6,11,10,30
1.0,6,11,11,30
1.0,6,11,12,30
1.0,6,11,13,30
1.0,6,11,14,30
1.0,6,11,15,30
1.0,6,12,6,30
1.0,6,12,7,30
1.0,6,12,8,30
1.0,6,12,9,30
1.0,6,12,10,30
1.0,6,12,11,30
1.0,6,12,12,30
1.0,6,12,13,30
1.0,6,12,14,30
1.0,6,12,15,30
1.0,6,13,6,30
1.0,6,13,7,30
1.0,6,13,8,30
1.0,6,13,9,30
1.0,6,13,10,30
1.0,6,13,11,30
1.0,6,13,12,30
1.0,6,13,13,30
1.0,6,13,14,30
1.0,6,13,15,31
1.0,6,14,6,30
1.0,6,14,7,30
1.0,6,14,8,30
1.0,6,14,9,30
1.0,6,14,10,30
1.0,6,14,11,30
1.0,6,14,12,30
1.0,6,14,13,30
1.0,6,14,14,31
1.0,6,14,15,31
1.0,6,15,6,30
1.0,6,15,7,30
1.0,6,15,8,30
1.0,6,15,9,30
1.0,6,15,10,30
1.0,6,15,11,30
1.0,6,15,12,31
1.0,6,15,13,31
1.0,6,15,14,31
1.0,6,15,15,31
1.0,7,6,6,29
1.0,7,6,7,29
1.0,7,6,8,29
1.0,7,6,9,29
1.0,7,6,10,29
1.0,7,6,11,29
1.0,7,6,12,30
1.0,7,6,13,30
1.0,7,6,14,30
1.0,7,6,15,30
1.0,7,7,6,29
1.0,7,7,7,29
1.0,7,7,8,29
1.0,7,7,9,29
1.0,7,7,10,30
1.0,7,7,11,30
1.0,7,7,12,30
1.0,7,7,13,30
1.0,7,7,14,30
1.0,7,7,15,30
1.0,7,8,6,29
1.0,7,8,7,29
