level,attack,defense,stamina,cp
1.0,6,6,6,55
1.0,6,6,7,55
1.0,6,6,8,56
1.0,6,6,9,56
1.0,6,6,10,56
1.0,6,6,11,56
1.0,6,6,12,56
1.0,6,6,13,56
1.0,6,6,14,56
1.0,6,6,15,57
1.0,6,7,6,55
1.0,6,7,7,56
1.0,6,7,8,56
1.0,6,7,9,56
1.0,6,7,10,56
1.0,6,7,11,56
1.0,6,7,12,56
1.0,6,7,13,56
1.0,6,7,14,56
1.0,6,7,15,57
1.0,6,8,6,56
1.0,6,8,7,56
1.0,6,8,8,56
1.0,6,8,9,56
1.0,6,8,10,56
1.0,6,8,11,56
1.0,6,8,12,56
1.0,6,8,13,56
1.0,6,8,14,57
1.0,6,8,15,57
1.0,6,9,6,56
1.0,6,9,7,56
1.0,6,9,8,56
1.0,6,9,9,56
1.0,6,9,10,56
1.0,6,9,11,56
1.0,6,9,12,56
1.0,6,9,13,57
1.0,6,9,14,57
1.0,6,9,15,57
1.0,6,10,6,56
1.0,6,10,7,56
1.0,6,10,8,56
1.0,6,10,9,56
1.0,6,10,10,56
1.0,6,10,11,56
1.0,6,10,12,57
1.0,6,10,13,57
1.0,6,10,14,57
1.0,6,10,15,57
1.0,6,11,6,56
1.0,6,11,7,56
1.0,6,11,8,56
1.0,6,11,9,56
1.0,6,11,10,56
1.0,6,11,11,57
1.0,6,11,12,57
1.0,6,11,13,57
1.0,6,11,14,57
1.0,6,11,15,57
1.0,6,12,6,56
1.0,6,12,7,56
1.0,6,12,8,56
1.0,6,12,9,56
1.0,6,12,10,57
1.0,6,12,11,57
1.0,6,12,12,57
1.0,6,12,13,57
1.0,6,12,14,57
1.0,6,12,15,57
1.0,6,13,6,56
1.0,6,13,7,56
1.0,6,13,8,56
1.0,6,13,9,56
1.0,6,13,10,57
1.0,6,13,11,57
1.0,6,13,12,57
1.0,6,13,13,57
1.0,6,13,14,57
1.0,6,13,15,57
1.0,6,14,6,56
1.0,6,14,7,56
1.0,6,14,8,56
1.0,6,14,9,57
1.0,6,14,10,57
1.0,6,14,11,57
1.0,6,14,12,57
1.0,6,14,13,57
1.0,6,14,14,57
1.0,6,14,15,57
1.0,6,15,6,56
1.0,6,15,7,56
1.0,6,15,8,57
1.0,6,15,9,57
1.0,6,15,10,57
1.0,6,15,11,57
1.0,6,15,12,57
1.0,6,15,13,57
1.0,6,15,14,57
1.0,6,15,15,58
1.0,7,6,6,56
1.0,7,6,7,56
1.0,7,6,8,56
1.0,7,6,9,56
1.0,7,6,10,56
1.0,7,6,11,56
1.0,7,6,12,56
1.0,7,6,13,56
1.0,7,6,14,57
1.0,7,6,15,57
1.0,7,7,6,56
1.0,7,7,7,56
1.0,7,7,8,56
1.0,7,7,9,56
1.0,7,7,10,56
1.0,7,7,11,56
1.0,7,7,12,56
1.0,7,7,13,57
1.0,7,7,14,57
1.0,7,7,15,57
1.0,7,8,6,56
1.0,7,8,7,56
1.0,7,8,8,56
1.0,7,8,9,56
1.0,7,8,10,56
1.0,7,8,11,56
1.0,7,8,12,57
1.0,7,8,13,57
1.0,7,8,14,57
1.0,7,8,15,57
1.0,7,9,6,56
1.0,7,9,7,56
1.0,7,9,8,56
1.0,7,9,9,56
1.0,7,9,10,56
1.0,7,9,11,57
1.0,7,9,12,57
1.0,7,9,13,57
1.0,7,9,14,57
1.0,7,9,15,57
1.0,7,10,6,56
1.0,7,10,7,56
1.0,7,10,8,56
1.0,7,10,9,56
1.0,7,10,10,57
1.0,7,10,11,57
1.0,7,10,12,57
1.0,7,10,13,57
1.0,7,10,14,57
1.0,7,10,15,57
1.0,7,11,6,56
1.0,7,11,7,56
1.0,7,11,8,56
1.0,7,11,9,56
1.0,7,11,10,57
1.0,7,11,11,57
1.0,7,11,12,57
1.0,7,11,13,57
1.0,7,11,14,57
1.0,7,11,15,57
1.0,7,12,6,56
1.0,7,12,7,56
1.0,7,12,8,56
1.0,7,12,9,57
1.0,7,12,10,57
1.0,7,12,11,57
1.0,7,12,12,57
1.0,7,12,13,57
1.0,7,12,14,57
1.0,7,12,15,57
1.0,7,13,6,56
1.0,7,13,7,56
1.0,7,13,8,57
1.0,7,13,9,57
1.0,7,13,10,57
