level,attack,defense,stamina,cp
1.0,6,6,6,37
1.0,6,6,7,37
1.0,6,6,8,37
1.0,6,6,9,37
1.0,6,6,10,37
1.0,6,6,11,37
1.0,6,6,12,38
1.0,6,6,13,38
1.0,6,6,14,38
1.0,6,6,15,38
1.0,6,7,6,37
1.0,6,7,7,37
1.0,6,7,8,37
1.0,6,7,9,37
1.0,6,7,10,38
1.0,6,7,11,38
1.0,6,7,12,38
1.0,6,7,13,38
1.0,6,7,14,38
1.0,6,7,15,38
1.0,6,8,6,37
1.0,6,8,7,37
1.0,6,8,8,37
1.0,6,8,9,38
1.0,6,8,10,38
1.0,6,8,11,38
1.0,6,8,12,38
1.0,6,8,13,38
1.0,6,8,14,38
1.0,6,8,15,38
1.0,6,9,6,37
1.0,6,9,7,37
1.0,6,9,8,38
1.0,6,9,9,38
1.0,6,9,10,38
1.0,6,9,11,38
1.0,6,9,12,38
1.0,6,9,13,38
1.0,6,9,14,38
1.0,6,9,15,38
1.0,6,10,6,37
1.0,6,10,7,38
1.0,6,10,8,38
1.0,6,10,9,38
1.0,6,10,10,38
1.0,6,10,11,38
1.0,6,10,12,38
1.0,6,10,13,38
1.0,6,10,14,38
1.0,6,10,15,38
1.0,6,11,6,38
1.0,6,11,7,38
1.0,6,11,8,38
1.0,6,11,9,38
1.0,6,11,10,38
1.0,6,11,11,38
1.0,6,11,12,38
1.0,6,11,13,38
1.0,6,11,14,38
1.0,6,11,15,38
1.0,6,12,6,38
1.0,6,12,7,38
1.0,6,12,8,38
1.0,6,12,9,38
1.0,6,12,10,38
1.0,6,12,11,38
1.0,6,12,12,38
1.0,6,12,13,38
1.0,6,12,14,38
1.0,6,12,15,39
1.0,6,13,6,38
1.0,6,13,7,38
1.0,6,13,8,38
1.0,6,13,9,38
1.0,6,13,10,38
1.0,6,13,11,38
1.0,6,13,12,38
1.0,6,13,13,38
1.0,6,13,14,39
1.0,6,13,15,39
1.0,6,14,6,38
1.0,6,14,7,38
1.0,6,14,8,38
1.0,6,14,9,38
1.0,6,14,10,38
1.0,6,14,11,38
1.0,6,14,12,38
1.0,6,14,13,39
1.0,6,14,14,39
1.0,6,14,15,39
1.0,6,15,6,38
1.0,6,15,7,38
1.0,6,15,8,38
1.0,6,15,9,38
1.0,6,15,10,38
1.0,6,15,11,38
1.0,6,15,12,39
1.0,6,15,13,39
1.0,6,15,14,39
1.0,6,15,15,39
1.0,7,6,6,37
1.0,7,6,7,37
1.0,7,6,8,37
1.0,7,6,9,37
1.0,7,6,10,38
1.0,7,6,11,38
1.0,7,6,12,38
1.0,7,6,13,38
1.0,7,6,14,38
1.0,7,6,15,38
1.0,7,7,6,37
1.0,7,7,7,37
1.0,7,7,8,37
1.0,7,7,9,38
1.0,7,7,10,38
1.0,7,7,11,38
1.0,7,7,12,38
1.0,7,7,13,38
1.0,7,7,14,38
1.0,7,7,15,38
1.0,7,8,6,37
1.0,7,8,7,37
1.0,7,8,8,38
1.0,7,8,9,38
1.0,7,8,10,38
1.0,7,8,11,38
1.0,7,8,12,38
1.0,7,8,13,38
1.0,7,8,14,38
1.0,7,8,15,38
1.0,7,9,6,37
1.0,7,9,7,38
1.0,7,9,8,38
1.0,7,9,9,38
1.0,7,9,10,38
1.0,7,9,11,38
1.0,7,9,12,38
1.0,7,9,13,38
1.0,7,9,14,38
1.0,7,9,15,38
1.0,7,10,6,38
1.0,7,10,7,38
1.0,7,10,8,38
1.0,7,10,9,38
1.0,7,10,10,38
1.0,7,10,11,38
1.0,7,10,12,38
1.0,7,10,13,38
1.0,7,10,14,38
1.0,7,10,15,38
1.0,7,11,6,38
1.0,7,11,7,38
1.0,7,11,8,38
1.0,7,11,9,38
1.0,7,11,10,38
1.0,7,11,11,38
1.0,7,11,12,38
1.0,7,11,13,38
1.0,7,11,14,38
1.0,7,11,15,39
1.0,7,12,6,38
1.0,7,12,7,38
1.0,7,12,8,38
1.0,7,12,9,38
1.0,7,12,10,38
1.0,7,12,11,38
1.0,7,12,12,38
1.0,7,12,13,38
1.0,7,12,14,39
