level,attack,defense,stamina,cp
1.0,0,0,0,25
1.0,0,0,1,25
1.0,0,0,2,25
1.0,0,0,3,25
1.0,0,0,4,25
1.0,0,0,5,25
1.0,0,0,6,25
1.0,0,0,7,25
1.0,0,0,8,25
1.0,0,0,9,26
1.0,0,0,10,26
1.0,0,0,11,26
1.0,0,0,12,26
1.0,0,0,13,26
1.0,0,0,14,26
1.0,0,0,15,26
1.0,0,1,0,25
1.0,0,1,1,25
1.0,0,1,2,25
1.0,0,1,3,25
1.0,0,1,4,25
1.0,0,1,5,25
1.0,0,1,6,25
1.0,0,1,7,25
1.0,0,1,8,25
1.0,0,1,9,26
1.0,0,1,10,26
1.0,0,1,11,26
1.0,0,1,12,26
1.0,0,1,13,26
1.0,0,1,14,26
1.0,0,1,15,26
1.0,0,2,0,25
1.0,0,2,1,25
1.0,0,2,2,25
1.0,0,2,3,25
1.0,0,2,4,25
1.0,0,2,5,25
1.0,0,2,6,25
1.0,0,2,7,25
1.0,0,2,8,26
1.0,0,2,9,26
1.0,0,2,10,26
1.0,0,2,11,26
1.0,0,2,12,26
1.0,0,2,13,26
1.0,0,2,14,26
1.0,0,2,15,26
1.0,0,3,0,25
1.0,0,3,1,25
1.0,0,3,2,25
1.0,0,3,3,25
1.0,0,3,4,25
1.0,0,3,5,25
1.0,0,3,6,25
1.0,0,3,7,26
1.0,0,3,8,26
1.0,0,3,9,26
1.0,0,3,10,26
1.0,0,3,11,26
1.0,0,3,12,26
1.0,0,3,13,26
1.0,0,3,14,26
1.0,0,3,15,26
1.0,0,4,0,25
1.0,0,4,1,25
1.0,0,4,2,25
1.0,0,4,3,25
1.0,0,4,4,25
1.0,0,4,5,25
1.0,0,4,6,25
1.0,0,4,7,26
1.0,0,4,8,26
1.0,0,4,9,26
1.0,0,4,10,26
1.0,0,4,11,26
1.0,0,4,12,26
1.0,0,4,13,26
1.0,0,4,14,26
1.0,0,4,15,26
1.0,0,5,0,25
1.0,0,5,1,25
1.0,0,5,2,25
1.0,0,5,3,25
1.0,0,5,4,25
1.0,0,5,5,25
1.0,0,5,6,26
1.0,0,5,7,26
1.0,0,5,8,26
1.0,0,5,9,26
1.0,0,5,10,26
1.0,0,5,11,26
1.0,0,5,12,26
1.0,0,5,13,26
1.0,0,5,14,26
1.0,0,5,15,26
1.0,0,6,0,25
1.0,0,6,1,25
1.0,0,6,2,25
1.0,0,6,3,25
1.0,0,6,4,25
1.0,0,6,5,26
1.0,0,6,6,26
1.0,0,6,7,26
1.0,0,6,8,26
1.0,0,6,9,26
1.0,0,6,10,26
1.0,0,6,11,26
1.0,0,6,12,26
1.0,0,6,13,26
1.0,0,6,14,26
1.0,0,6,15,26
1.0,0,7,0,25
1.0,0,7,1,25
1.0,0,7,2,25
1.0,0,7,3,25
1.0,0,7,4,25
1.0,0,7,5,26
1.0,0,7,6,26
1.0,0,7,7,26
1.0,0,7,8,26
1.0,0,7,9,26
1.0,0,7,10,26
1.0,0,7,11,26
1.0,0,7,12,26
1.0,0,7,13,26
1.0,0,7,14,26
1.0,0,7,15,26
1.0,0,8,0,25
1.0,0,8,1,25
1.0,0,8,2,25
1.0,0,8,3,25
1.0,0,8,4,26
1.0,0,8,5,26
1.0,0,8,6,26
1.0,0,8,7,26
1.0,0,8,8,26
1.0,0,8,9,26
1.0,0,8,10,26
1.0,0,8,11,26
1.0,0,8,12,26
1.0,0,8,13,26
1.0,0,8,14,26
1.0,0,8,15,27
1.0,0,9,0,25
1.0,0,9,1,25
1.0,0,9,2,25
1.0,0,9,3,26
1.0,0,9,4,26
1.0,0,9,5,26
1.0,0,9,6,26
1.0,0,9,7,26
1.0,0,9,8,26
1.0,0,9,9,26
1.0,0,9,10,26
1.0,0,9,11,26
1.0,0,9,12,26
1.0,0,9,13,26
1.0,0,9,14,26
1.0,0,9,15,27
1.0,0,10,0,25
1.0,0,10,1,25
1.0,0,10,2,25
1.0,0,10,3,26
1.0,0,10,4,26
1.0,0,10,5,26
1.0,0,10,6,26
1.0,0,10,7,26
1.0,0,10,8,26
1.0,0,10,9,26
1.0,0,10,10,26
1.0,0,10,11,26
1.0,0,10,12,26
1.0,0,10,13,26
1.0,0,10,14,27
1.0,0,10,15,27
1.0,0,11,0,25
1.0,0,11,1,25
1.0,0,11,2,26
1.0,0,11,3,26
1.0,0,11,4,26
1.0,0,11,5,26
1.0,0,11,6,26
1.0,0,11,7,26
1.0,0,11,8,26
1.0,0,11,9,26
1.0,0,11,10,26
1.0,0,11,11,26
1.0,0,11,12,26
1.0,0,11,13,27
1.0,0,11,14,27
1.0,0,11,15,27
1.0,0,12,0,25
1.0,0,12,1,25
1.0,0,12,2,26
1.0,0,12,3,26
1.0,0,12,4,26
1.0,0,12,5,26
1.0,0,12,6,26
1.0,0,12,7,26
1.0,0,12,8,26
1.0,0,12,9,26
1.0,0,12,10,26
1.0,0,12,11,26
1.0,0,12,12,26
1.0,0,12,13,27
1.0,0,12,14,27
1.0,0,12,15,27
1.0,0,13,0,25
1.0,0,13,1,26
1.0,0,13,2,26
1.0,0,13,3,26
1.0,0,13,4,26
1.0,0,13,5,26
1.0,0,13,6,26
1.0,0,13,7,26
1.0,0,13,8,26
1.0,0,13,9,26
1.0,0,13,10,26
1.0,0,13,11,26
1.0,0,13,12,27
1.0,0,13,13,27
1.0,0,13,14,27
1.0,0,13,15,27
1.0,0,14,0,26
1.0,0,14,1,26
1.0,0,14,2,26
1.0,0,14,3,26
1.0,0,14,4,26
1.0,0,14,5,26
1.0,0,14,6,26
1.0,0,14,7,26
1.0,0,14,8,26
1.0,0,14,9,26
1.0,0,14,10,26
1.0,0,14,11,27
1.0,0,14,12,27
1.0,0,14,13,27
1.0,0,14,14,27
1.0,0,14,15,27
1.0,0,15,0,26
1.0,0,15,1,26
1.0,0,15,2,26
1.0,0,15,3,26
1.0,0,15,4,26
1.0,0,15,5,26
1.0,0,15,6,26
1.0,0,15,7,26
1.0,0,15,8,26
1.0,0,15,9,26
1.0,0,15,10,26
1.0,0,15,11,27
1.0,0,15,12,27
1.0,0,15,13,27
1.0,0,15,14,27
1.0,0,15,15,27
1.0,1,0,0,25
1.0,1,0,1,25
1.0,1,0,2,25
1.0,1,0,3,25
1.0,1,0,4,25
1.0,1,0,5,25
1.0,1,0,6,25
1.0,1,0,7,25
1.0,1,0,8,26
1.0,1,0,9,26
1.0,1,0,10,26
1.0,1,0,11,26
1.0,1,0,12,26
1.0,1,0,13,26
1.0,1,0,14,26
1.0,1,0,15,26
1.0,1,1,0,25
1.0,1,1,1,25
1.0,1,1,2,25
1.0,1,1,3,25
1.0,1,1,4,25
1.0,1,1,5,25
1.0,1,1,6,25
1.0,1,1,7,26
1.0,1,1,8,26
1.0,1,1,9,26
1.0,1,1,10,26
1.0,1,1,11,26
1.0,1,1,12,26
1.0,1,1,13,26
1.0,1,1,14,26
1.0,1,1,15,26
1.0,1,2,0,25
1.0,1,2,1,25
1.0,1,2,2,25
1.0,1,2,3,25
1.0,1,2,4,25
1.0,1,2,5,25
1.0,1,2,6,26
1.0,1,2,7,26
1.0,1,2,8,26
1.0,1,2,9,26
1.0,1,2,10,26
1.0,1,2,11,26
1.0,1,2,12,26
1.0,1,2,13,26
1.0,1,2,14,26
1.0,1,2,15,26
1.0,1,3,0,25
1.0,1,3,1,25
1.0,1,3,2,25
1.0,1,3,3,25
1.0,1,3,4,25
1.0,1,3,5,25
1.0,1,3,6,26
1.0,1,3,7,26
1.0,1,3,8,26
1.0,1,3,9,26
1.0,1,3,10,26
1.0,1,3,11,26
1.0,1,3,12,26
1.0,1,3,13,26
1.0,1,3,14,26
1.0,1,3,15,26
1.0,1,4,0,25
1.0,1,4,1,25
1.0,1,4,2,25
1.0,1,4,3,25
1.0,1,4,4,25
1.0,1,4,5,26
1.0,1,4,6,26
1.0,1,4,7,26
1.0,1,4,8,26
1.0,1,4,9,26
1.0,1,4,10,26
1.0,1,4,11,26
1.0,1,4,12,26
1.0,1,4,13,26
1.0,1,4,14,26
1.0,1,4,15,26
1.0,1,5,0,25
1.0,1,5,1,25
1.0,1,5,2,25
1.0,1,5,3,25
1.0,1,5,4,26
1.0,1,5,5,26
1.0,1,5,6,26
1.0,1,5,7,26
1.0,1,5,8,26
1.0,1,5,9,26
1.0,1,5,10,26
1.0,1,5,11,26
1.0,1,5,12,26
1.0,1,5,13,26
1.0,1,5,14,26
1.0,1,5,15,26
1.0,1,6,0,25
1.0,1,6,1,25
1.0,1,6,2,25
1.0,1,6,3,25
1.0,1,6,4,26
1.0,1,6,5,26
1.0,1,6,6,26
1.0,1,6,7,26
1.0,1,6,8,26
1.0,1,6,9,26
1.0,1,6,10,26
1.0,1,6,11,26
1.0,1,6,12,26
1.0,1,6,13,26
1.0,1,6,14,26
1.0,1,6,15,27
1.0,1,7,0,25
1.0,1,7,1,25
1.0,1,7,2,25
1.0,1,7,3,26
1.0,1,7,4,26
1.0,1,7,5,26
1.0,1,7,6,26
1.0,1,7,7,26
1.0,1,7,8,26
1.0,1,7,9,26
1.0,1,7,10,26
1.0,1,7,11,26
1.0,1,7,12,26
1.0,1,7,13,26
1.0,1,7,14,27
1.0,1,7,15,27
1.0,1,8,0,25
1.0,1,8,1,25
1.0,1,8,2,26
1.0,1,8,3,26
1.0,1,8,4,26
1.0,1,8,5,26
1.0,1,8,6,26
1.0,1,8,7,26
1.0,1,8,8,26
1.0,1,8,9,26
1.0,1,8,10,26
1.0,1,8,11,26
1.0,1,8,12,26
1.0,1,8,13,27
1.0,1,8,14,27
1.0,1,8,15,27
1.0,1,9,0,25
1.0,1,9,1,25
1.0,1,9,2,26
1.0,1,9,3,26
1.0,1,9,4,26
1.0,1,9,5,26
1.0,1,9,6,26
1.0,1,9,7,26
1.0,1,9,8,26
1.0,1,9,9,26
1.0,1,9,10,26
1.0,1,9,11,26
1.0,1,9,12,26
1.0,1,9,13,27
1.0,1,9,14,27
1.0,1,9,15,27
1.0,1,10,0,25
1.0,1,10,1,26
1.0,1,10,2,26
1.0,1,10,3,26
1.0,1,10,4,26
1.0,1,10,5,26
1.0,1,10,6,26
1.0,1,10,7,26
1.0,1,10,8,26
1.0,1,10,9,26
1.0,1,10,10,26
1.0,1,10,11,26
1.0,1,10,12,27
1.0,1,10,13,27
1.0,1,10,14,27
1.0,1,10,15,27
1.0,1,11,0,25
1.0,1,11,1,26
1.0,1,11,2,26
1.0,1,11,3,26
1.0,1,11,4,26
1.0,1,11,5,26
1.0,1,11,6,26
1.0,1,11,7,26
1.0,1,11,8,26
1.0,1,11,9,26
1.0,1,11,10,26
1.0,1,11,11,27
1.0,1,11,12,27
1.0,1,11,13,27
1.0,1,11,14,27
1.0,1,11,15,27
1.0,1,12,0,26
1.0,1,12,1,26
1.0,1,12,2,26
1.0,1,12,3,26
1.0,1,12,4,26
1.0,1,12,5,26
1.0,1,12,6,26
1.0,1,12,7,26
1.0,1,12,8,26
1.0,1,12,9,26
1.0,1,12,10,26
1.0,1,12,11,27
1.0,1,12,12,27
1.0,1,12,13,27
1.0,1,12,14,27
1.0,1,12,15,27
1.0,1,13,0,26
1.0,1,13,1,26
1.0,1,13,2,26
1.0,1,13,3,26
1.0,1,13,4,26
1.0,1,13,5,26
1.0,1,13,6,26
1.0,1,13,7,26
1.0,1,13,8,26
1.0,1,13,9,26
1.0,1,13,10,27
1.0,1,13,11,27
1.0,1,13,12,27
1.0,1,13,13,27
1.0,1,13,14,27
1.0,1,13,15,27
1.0,1,14,0,26
1.0,1,14,1,26
1.0,1,14,2,26
1.0,1,14,3,26
1.0,1,14,4,26
1.0,1,14,5,26
1.0,1,14,6,26
1.0,1,14,7,26
1.0,1,14,8,26
1.0,1,14,9,27
1.0,1,14,10,27
1.0,1,14,11,27
1.0,1,14,12,27
1.0,1,14,13,27
1.0,1,14,14,27
1.0,1,14,15,27
1.0,1,15,0,26
1.0,1,15,1,26
1.0,1,15,2,26
1.0,1,15,3,26
1.0,1,15,4,26
1.0,1,15,5,26
1.0,1,15,6,26
1.0,1,15,7,26
1.0,1,15,8,26
1.0,1,15,9,27
1.0,1,15,10,27
1.0,1,15,11,27
1.0,1,15,12,27
1.0,1,15,13,27
1.0,1,15,14,27
1.0,1,15,15,27
1.0,2,0,0,25
1.0,2,0,1,25
1.0,2,0,2,25
1.0,2,0,3,25
1.0,2,0,4,25
1.0,2,0,5,25
1.0,2,0,6,26
1.0,2,0,7,26
1.0,2,0,8,26
1.0,2,0,9,26
1.0,2,0,10,26
1.0,2,0,11,26
1.0,2,0,12,26
1.0,2,0,13,26
1.0,2,0,14,26
1.0,2,0,15,26
1.0,2,1,0,25
1.0,2,1,1,25
1.0,2,1,2,25
1.0,2,1,3,25
1.0,2,1,4,25
1.0,2,1,5,26
1.0,2,1,6,26
1.0,2,1,7,26
1.0,2,1,8,26
1.0,2,1,9,26
1.0,2,1,10,26
1.0,2,1,11,26
1.0,2,1,12,26
1.0,2,1,13,26
1.0,2,1,14,26
1.0,2,1,15,26
1.0,2,2,0,25
1.0,2,2,1,25
1.0,2,2,2,25
1.0,2,2,3,25
1.0,2,2,4,25
1.0,2,2,5,26
1.0,2,2,6,26
1.0,2,2,7,26
1.0,2,2,8,26
1.0,2,2,9,26
1.0,2,2,10,26
1.0,2,2,11,26
1.0,2,2,12,26
1.0,2,2,13,26
1.0,2,2,14,26
1.0,2,2,15,26
1.0,2,3,0,25
1.0,2,3,1,25
1.0,2,3,2,25
1.0,2,3,3,25
1.0,2,3,4,26
1.0,2,3,5,26
1.0,2,3,6,26
1.0,2,3,7,26
1.0,2,3,8,26
1.0,2,3,9,26
1.0,2,3,10,26
1.0,2,3,11,26
1.0,2,3,12,26
1.0,2,3,13,26
1.0,2,3,14,26
1.0,2,3,15,27
1.0,2,4,0,25
1.0,2,4,1,25
1.0,2,4,2,25
1.0,2,4,3,26
1.0,2,4,4,26
1.0,2,4,5,26
1.0,2,4,6,26
1.0,2,4,7,26
1.0,2,4,8,26
1.0,2,4,9,26
1.0,2,4,10,26
1.0,2,4,11,26
1.0,2,4,12,26
1.0,2,4,13,26
1.0,2,4,14,27
1.0,2,4,15,27
1.0,2,5,0,25
1.0,2,5,1,25
1.0,2,5,2,25
1.0,2,5,3,26
1.0,2,5,4,26
1.0,2,5,5,26
1.0,2,5,6,26
1.0,2,5,7,26
1.0,2,5,8,26
1.0,2,5,9,26
1.0,2,5,10,26
1.0,2,5,11,26
1.0,2,5,12,26
1.0,2,5,13,26
1.0,2,5,14,27
1.0,2,5,15,27
1.0,2,6,0,25
1.0,2,6,1,25
1.0,2,6,2,26
1.0,2,6,3,26
1.0,2,6,4,26
1.0,2,6,5,26
1.0,2,6,6,26
1.0,2,6,7,26
1.0,2,6,8,26
1.0,2,6,9,26
1.0,2,6,10,26
1.0,2,6,11,26
1.0,2,6,12,26
1.0,2,6,13,27
1.0,2,6,14,27
1.0,2,6,15,27
1.0,2,7,0,25
1.0,2,7,1,26
1.0,2,7,2,26
1.0,2,7,3,26
1.0,2,7,4,26
1.0,2,7,5,26
1.0,2,7,6,26
1.0,2,7,7,26
1.0,2,7,8,26
1.0,2,7,9,26
1.0,2,7,10,26
1.0,2,7,11,26
1.0,2,7,12,27
1.0,2,7,13,27
1.0,2,7,14,27
1.0,2,7,15,27
1.0,2,8,0,25
1.0,2,8,1,26
1.0,2,8,2,26
1.0,2,8,3,26
1.0,2,8,4,26
1.0,2,8,5,26
1.0,2,8,6,26
1.0,2,8,7,26
1.0,2,8,8,26
1.0,2,8,9,26
1.0,2,8,10,26
1.0,2,8,11,26
1.0,2,8,12,27
1.0,2,8,13,27
1.0,2,8,14,27
1.0,2,8,15,27
1.0,2,9,0,26
1.0,2,9,1,26
1.0,2,9,2,26
1.0,2,9,3,26
1.0,2,9,4,26
1.0,2,9,5,26
1.0,2,9,6,26
1.0,2,9,7,26
1.0,2,9,8,26
1.0,2,9,9,26
1.0,2,9,10,26
1.0,2,9,11,27
1.0,2,9,12,27
1.0,2,9,13,27
1.0,2,9,14,27
1.0,2,9,15,27
1.0,2,10,0,26
1.0,2,10,1,26
1.0,2,10,2,26
1.0,2,10,3,26
1.0,2,10,4,26
1.0,2,10,5,26
1.0,2,10,6,26
1.0,2,10,7,26
1.0,2,10,8,26
1.0,2,10,9,26
1.0,2,10,10,27
1.0,2,10,11,27
1.0,2,10,12,27
1.0,2,10,13,27
1.0,2,10,14,27
1.0,2,10,15,27
1.0,2,11,0,26
1.0,2,11,1,26
1.0,2,11,2,26
1.0,2,11,3,26
1.0,2,11,4,26
1.0,2,11,5,26
1.0,2,11,6,26
1.0,2,11,7,26
1.0,2,11,8,26
1.0,2,11,9,26
1.0,2,11,10,27
1.0,2,11,11,27
1.0,2,11,12,27
1.0,2,11,13,27
1.0,2,11,14,27
1.0,2,11,15,27
1.0,2,12,0,26
1.0,2,12,1,26
1.0,2,12,2,26
1.0,2,12,3,26
1.0,2,12,4,26
1.0,2,12,5,26
1.0,2,12,6,26
1.0,2,12,7,26
1.0,2,12,8,26
1.0,2,12,9,27
1.0,2,12,10,27
1.0,2,12,11,27
1.0,2,12,12,27
1.0,2,12,13,27
1.0,2,12,14,27
1.0,2,12,15,27
1.0,2,13,0,26
1.0,2,13,1,26
1.0,2,13,2,26
1.0,2,13,3,26
1.0,2,13,4,26
1.0,2,13,5,26
1.0,2,13,6,26
1.0,2,13,7,26
1.0,2,13,8,27
1.0,2,13,9,27
1.0,2,13,10,27
1.0,2,13,11,27
1.0,2,13,12,27
1.0,2,13,13,27
1.0,2,13,14,27
1.0,2,13,15,27
1.0,2,14,0,26
1.0,2,14,1,26
1.0,2,14,2,26
1.0,2,14,3,26
1.0,2,14,4,26
1.0,2,14,5,26
1.0,2,14,6,26
1.0,2,14,7,26
1.0,2,14,8,27
1.0,2,14,9,27
1.0,2,14,10,27
1.0,2,14,11,27
1.0,2,14,12,27
1.0,2,14,13,27
1.0,2,14,14,27
1.0,2,14,15,27
1.0,2,15,0,26
1.0,2,15,1,26
1.0,2,15,2,26
1.0,2,15,3,26
1.0,2,15,4,26
1.0,2,15,5,26
1.0,2,15,6,26
1.0,2,15,7,27
1.0,2,15,8,27
1.0,2,15,9,27
1.0,2,15,10,27
1.0,2,15,11,27
1.0,2,15,12,27
1.0,2,15,13,27
1.0,2,15,14,27
1.0,2,15,15,27
1.0,3,0,0,25
1.0,3,0,1,25
1.0,3,0,2,25
1.0,3,0,3,25
1.0,3,0,4,26
1.0,3,0,5,26
1.0,3,0,6,26
1.0,3,0,7,26
1.0,3,0,8,26
1.0,3,0,9,26
1.0,3,0,10,26
1.0,3,0,11,26
1.0,3,0,12,26
1.0,3,0,13,26
1.0,3,0,14,26
1.0,3,0,15,27
1.0,3,1,0,25
1.0,3,1,1,25
1.0,3,1,2,25
1.0,3,1,3,25
1.0,3,1,4,26
1.0,3,1,5,26
1.0,3,1,6,26
1.0,3,1,7,26
1.0,3,1,8,26
1.0,3,1,9,26
1.0,3,1,10,26
1.0,3,1,11,26
1.0,3,1,12,26
1.0,3,1,13,26
1.0,3,1,14,26
1.0,3,1,15,27
1.0,3,2,0,25
1.0,3,2,1,25
1.0,3,2,2,25
1.0,3,2,3,26
1.0,3,2,4,26
1.0,3,2,5,26
1.0,3,2,6,26
1.0,3,2,7,26
1.0,3,2,8,26
1.0,3,2,9,26
1.0,3,2,10,26
1.0,3,2,11,26
1.0,3,2,12,26
1.0,3,2,13,26
1.0,3,2,14,27
1.0,3,2,15,27
1.0,3,3,0,25
1.0,3,3,1,25
1.0,3,3,2,26
1.0,3,3,3,26
1.0,3,3,4,26
1.0,3,3,5,26
1.0,3,3,6,26
1.0,3,3,7,26
1.0,3,3,8,26
1.0,3,3,9,26
1.0,3,3,10,26
1.0,3,3,11,26
1.0,3,3,12,26
1.0,3,3,13,27
1.0,3,3,14,27
1.0,3,3,15,27
1.0,3,4,0,25
1.0,3,4,1,25
1.0,3,4,2,26
1.0,3,4,3,26
1.0,3,4,4,26
1.0,3,4,5,26
1.0,3,4,6,26
1.0,3,4,7,26
1.0,3,4,8,26
1.0,3,4,9,26
1.0,3,4,10,26
1.0,3,4,11,26
1.0,3,4,12,26
1.0,3,4,13,27
1.0,3,4,14,27
1.0,3,4,15,27
1.0,3,5,0,25
1.0,3,5,1,26
1.0,3,5,2,26
1.0,3,5,3,26
1.0,3,5,4,26
1.0,3,5,5,26
1.0,3,5,6,26
1.0,3,5,7,26
1.0,3,5,8,26
1.0,3,5,9,26
1.0,3,5,10,26
1.0,3,5,11,26
1.0,3,5,12,27
1.0,3,5,13,27
1.0,3,5,14,27
1.0,3,5,15,27
1.0,3,6,0,26
1.0,3,6,1,26
1.0,3,6,2,26
1.0,3,6,3,26
1.0,3,6,4,26
1.0,3,6,5,26
1.0,3,6,6,26
1.0,3,6,7,26
1.0,3,6,8,26
1.0,3,6,9,26
1.0,3,6,10,26
1.0,3,6,11,27
1.0,3,6,12,27
1.0,3,6,13,27
1.0,3,6,14,27
1.0,3,6,15,27
