level,attack,defense,stamina,cp
1.0,0,0,0,33
1.0,0,0,1,33
1.0,0,0,2,34
1.0,0,0,3,34
1.0,0,0,4,34
1.0,0,0,5,34
1.0,0,0,6,34
1.0,0,0,7,34
1.0,0,0,8,34
1.0,0,0,9,34
1.0,0,0,10,34
1.0,0,0,11,34
1.0,0,0,12,34
1.0,0,0,13,35
1.0,0,0,14,35
1.0,0,0,15,35
1.0,0,1,0,33
1.0,0,1,1,34
1.0,0,1,2,34
1.0,0,1,3,34
1.0,0,1,4,34
1.0,0,1,5,34
1.0,0,1,6,34
1.0,0,1,7,34
1.0,0,1,8,34
1.0,0,1,9,34
1.0,0,1,10,34
1.0,0,1,11,34
1.0,0,1,12,35
1.0,0,1,13,35
1.0,0,1,14,35
1.0,0,1,15,35
1.0,0,2,0,34
1.0,0,2,1,34
1.0,0,2,2,34
1.0,0,2,3,34
1.0,0,2,4,34
1.0,0,2,5,34
1.0,0,2,6,34
1.0,0,2,7,34
1.0,0,2,8,34
1.0,0,2,9,34
1.0,0,2,10,34
1.0,0,2,11,35
1.0,0,2,12,35
1.0,0,2,13,35
1.0,0,2,14,35
1.0,0,2,15,35
1.0,0,3,0,34
1.0,0,3,1,34
1.0,0,3,2,34
1.0,0,3,3,34
1.0,0,3,4,34
1.0,0,3,5,34
1.0,0,3,6,34
1.0,0,3,7,34
1.0,0,3,8,34
1.0,0,3,9,34
1.0,0,3,10,35
1.0,0,3,11,35
1.0,0,3,12,35
1.0,0,3,13,35
1.0,0,3,14,35
1.0,0,3,15,35
1.0,0,4,0,34
1.0,0,4,1,34
1.0,0,4,2,34
1.0,0,4,3,34
1.0,0,4,4,34
1.0,0,4,5,34
1.0,0,4,6,34
1.0,0,4,7,34
1.0,0,4,8,34
1.0,0,4,9,35
1.0,0,4,10,35
1.0,0,4,11,35
1.0,0,4,12,35
1.0,0,4,13,35
1.0,0,4,14,35
1.0,0,4,15,35
1.0,0,5,0,34
1.0,0,5,1,34
1.0,0,5,2,34
1.0,0,5,3,34
1.0,0,5,4,34
1.0,0,5,5,34
1.0,0,5,6,34
1.0,0,5,7,34
1.0,0,5,8,35
1.0,0,5,9,35
