level,attack,defense,stamina,cp
1.0,0,0,0,16
1.0,0,0,1,16
1.0,0,0,2,16
1.0,0,0,3,16
1.0,0,0,4,16
1.0,0,0,5,16
1.0,0,0,6,16
1.0,0,0,7,16
1.0,0,0,8,16
1.0,0,0,9,16
1.0,0,0,10,17
1.0,0,0,11,17
1.0,0,0,12,17
1.0,0,0,13,17
1.0,0,0,14,17
1.0,0,0,15,17
1.0,0,1,0,16
1.0,0,1,1,16
1.0,0,1,2,16
1.0,0,1,3,16
1.0,0,1,4,16
1.0,0,1,5,16
1.0,0,1,6,16
1.0,0,1,7,16
1.0,0,1,8,16
1.0,0,1,9,17
1.0,0,1,10,17
1.0,0,1,11,17
1.0,0,1,12,17
1.0,0,1,13,17
1.0,0,1,14,17
1.0,0,1,15,17
1.0,0,2,0,16
1.0,0,2,1,16
1.0,0,2,2,16
1.0,0,2,3,16
1.0,0,2,4,16
1.0,0,2,5,16
1.0,0,2,6,16
1.0,0,2,7,16
1.0,0,2,8,17
1.0,0,2,9,17
1.0,0,2,10,17
1.0,0,2,11,17
1.0,0,2,12,17
1.0,0,2,13,17
1.0,0,2,14,17
1.0,0,2,15,17
1.0,0,3,0,16
1.0,0,3,1,16
1.0,0,3,2,16
1.0,0,3,3,16
1.0,0,3,4,16
1.0,0,3,5,16
1.0,0,3,6,16
1.0,0,3,7,17
1.0,0,3,8,17
1.0,0,3,9,17
1.0,0,3,10,17
1.0,0,3,11,17
1.0,0,3,12,17
1.0,0,3,13,17
1.0,0,3,14,17
1.0,0,3,15,17
1.0,0,4,0,16
1.0,0,4,1,16
1.0,0,4,2,16
1.0,0,4,3,16
1.0,0,4,4,16
1.0,0,4,5,16
1.0,0,4,6,17
1.0,0,4,7,17
1.0,0,4,8,17
1.0,0,4,9,17
1.0,0,4,10,17
1.0,0,4,11,17
1.0,0,4,12,17
1.0,0,4,13,17
1.0,0,4,14,17
1.0,0,4,15,17
1.0,0,5,0,16
1.0,0,5,1,16
1.0,0,5,2,16
1.0,0,5,3,16
1.0,0,5,4,16
1.0,0,5,5,17
1.0,0,5,6,17
1.0,0,5,7,17
1.0,0,5,8,17
1.0,0,5,9,17
1.0,0,5,10,17
1.0,0,5,11,17
1.0,0,5,12,17
1.0,0,5,13,17
1.0,0,5,14,17
1.0,0,5,15,17
1.0,0,6,0,16
1.0,0,6,1,16
1.0,0,6,2,16
1.0,0,6,3,17
1.0,0,6,4,17
1.0,0,6,5,17
1.0,0,6,6,17
1.0,0,6,7,17
1.0,0,6,8,17
1.0,0,6,9,17
1.0,0,6,10,17
1.0,0,6,11,17
1.0,0,6,12,17
1.0,0,6,13,17
1.0,0,6,14,17
1.0,0,6,15,17
1.0,0,7,0,16
1.0,0,7,1,16
1.0,0,7,2,17
1.0,0,7,3,17
1.0,0,7,4,17
1.0,0,7,5,17
1.0,0,7,6,17
1.0,0,7,7,17
1.0,0,7,8,17
1.0,0,7,9,17
1.0,0,7,10,17
1.0,0,7,11,17
1.0,0,7,12,17
1.0,0,7,13,17
1.0,0,7,14,17
1.0,0,7,15,17
1.0,0,8,0,16
1.0,0,8,1,17
1.0,0,8,2,17
1.0,0,8,3,17
1.0,0,8,4,17
1.0,0,8,5,17
1.0,0,8,6,17
1.0,0,8,7,17
1.0,0,8,8,17
1.0,0,8,9,17
1.0,0,8,10,17
1.0,0,8,11,17
1.0,0,8,12,17
1.0,0,8,13,17
1.0,0,8,14,17
1.0,0,8,15,17
1.0,0,9,0,17
1.0,0,9,1,17
1.0,0,9,2,17
1.0,0,9,3,17
1.0,0,9,4,17
1.0,0,9,5,17
1.0,0,9,6,17
1.0,0,9,7,17
1.0,0,9,8,17
1.0,0,9,9,17
1.0,0,9,10,17
1.0,0,9,11,17
1.0,0,9,12,17
1.0,0,9,13,17
1.0,0,9,14,17
1.0,0,9,15,17
1.0,0,10,0,17
1.0,0,10,1,17
1.0,0,10,2,17
1.0,0,10,3,17
1.0,0,10,4,17
1.0,0,10,5,17
1.0,0,10,6,17
1.0,0,10,7,17
1.0,0,10,8,17
1.0,0,10,9,17
1.0,0,10,10,17
1.0,0,10,11,17
1.0,0,10,12,17
1.0,0,10,13,17
1.0,0,10,14,17
1.0,0,10,15,17
1.0,0,11,0,17
1.0,0,11,1,17
1.0,0,11,2,17
1.0,0,11,3,17
1.0,0,11,4,17
1.0,0,11,5,17
1.0,0,11,6,17
1.0,0,11,7,17
1.0,0,11,8,17
1.0,0,11,9,17
1.0,0,11,10,17
1.0,0,11,11,17
1.0,0,11,12,17
1.0,0,11,13,17
1.0,0,11,14,17
1.0,0,11,15,18
1.0,0,12,0,17
1.0,0,12,1,17
1.0,0,12,2,17
1.0,0,12,3,17
1.0,0,12,4,17
1.0,0,12,5,17
1.0,0,12,6,17
1.0,0,12,7,17
1.0,0,12,8,17
1.0,0,12,9,17
1.0,0,12,10,17
1.0,0,12,11,17
1.0,0,12,12,17
1.0,0,12,13,17
1.0,0,12,14,18
1.0,0,12,15,18
1.0,0,13,0,17
1.0,0,13,1,17
1.0,0,13,2,17
1.0,0,13,3,17
1.0,0,13,4,17
1.0,0,13,5,17
1.0,0,13,6,17
1.0,0,13,7,17
1.0,0,13,8,17
1.0,0,13,9,17
1.0,0,13,10,17
1.0,0,13,11,17
1.0,0,13,12,17
1.0,0,13,13,18
1.0,0,13,14,18
1.0,0,13,15,18
1.0,0,14,0,17
1.0,0,14,1,17
1.0,0,14,2,17
1.0,0,14,3,17
1.0,0,14,4,17
1.0,0,14,5,17
1.0,0,14,6,17
1.0,0,14,7,17
1.0,0,14,8,17
1.0,0,14,9,17
1.0,0,14,10,17
1.0,0,14,11,17
1.0,0,14,12,18
1.0,0,14,13,18
1.0,0,14,14,18
1.0,0,14,15,18
1.0,0,15,0,17
1.0,0,15,1,17
1.0,0,15,2,17
1.0,0,15,3,17
1.0,0,15,4,17
1.0,0,15,5,17
1.0,0,15,6,17
1.0,0,15,7,17
1.0,0,15,8,17
1.0,0,15,9,17
1.0,0,15,10,17
1.0,0,15,11,18
1.0,0,15,12,18
1.0,0,15,13,18
1.0,0,15,14,18
1.0,0,15,15,18
1.0,1,0,0,16
1.0,1,0,1,16
1.0,1,0,2,16
1.0,1,0,3,16
1.0,1,0,4,16
1.0,1,0,5,16
1.0,1,0,6,16
1.0,1,0,7,16
1.0,1,0,8,17
1.0,1,0,9,17
1.0,1,0,10,17
1.0,1,0,11,17
1.0,1,0,12,17
1.0,1,0,13,17
1.0,1,0,14,17
1.0,1,0,15,17
1.0,1,1,0,16
1.0,1,1,1,16
1.0,1,1,2,16
1.0,1,1,3,16
1.0,1,1,4,16
1.0,1,1,5,16
1.0,1,1,6,16
1.0,1,1,7,17
1.0,1,1,8,17
1.0,1,1,9,17
1.0,1,1,10,17
1.0,1,1,11,17
1.0,1,1,12,17
1.0,1,1,13,17
1.0,1,1,14,17
1.0,1,1,15,17
1.0,1,2,0,16
1.0,1,2,1,16
1.0,1,2,2,16
1.0,1,2,3,16
1.0,1,2,4,16
1.0,1,2,5,16
1.0,1,2,6,17
1.0,1,2,7,17
1.0,1,2,8,17
1.0,1,2,9,17
1.0,1,2,10,17
1.0,1,2,11,17
1.0,1,2,12,17
1.0,1,2,13,17
1.0,1,2,14,17
1.0,1,2,15,17
1.0,1,3,0,16
1.0,1,3,1,16
1.0,1,3,2,16
1.0,1,3,3,16
1.0,1,3,4,16
1.0,1,3,5,17
1.0,1,3,6,17
1.0,1,3,7,17
1.0,1,3,8,17
1.0,1,3,9,17
1.0,1,3,10,17
1.0,1,3,11,17
1.0,1,3,12,17
1.0,1,3,13,17
1.0,1,3,14,17
1.0,1,3,15,17
1.0,1,4,0,16
1.0,1,4,1,16
1.0,1,4,2,16
1.0,1,4,3,17
1.0,1,4,4,17
1.0,1,4,5,17
1.0,1,4,6,17
1.0,1,4,7,17
1.0,1,4,8,17
1.0,1,4,9,17
1.0,1,4,10,17
1.0,1,4,11,17
1.0,1,4,12,17
1.0,1,4,13,17
1.0,1,4,14,17
1.0,1,4,15,17
1.0,1,5,0,16
1.0,1,5,1,16
1.0,1,5,2,17
1.0,1,5,3,17
1.0,1,5,4,17
1.0,1,5,5,17
1.0,1,5,6,17
1.0,1,5,7,17
1.0,1,5,8,17
1.0,1,5,9,17
1.0,1,5,10,17
1.0,1,5,11,17
1.0,1,5,12,17
1.0,1,5,13,17
1.0,1,5,14,17
1.0,1,5,15,17
1.0,1,6,0,16
1.0,1,6,1,17
1.0,1,6,2,17
1.0,1,6,3,17
1.0,1,6,4,17
1.0,1,6,5,17
1.0,1,6,6,17
1.0,1,6,7,17
1.0,1,6,8,17
1.0,1,6,9,17
1.0,1,6,10,17
1.0,1,6,11,17
1.0,1,6,12,17
1.0,1,6,13,17
1.0,1,6,14,17
1.0,1,6,15,17
1.0,1,7,0,17
1.0,1,7,1,17
1.0,1,7,2,17
1.0,1,7,3,17
1.0,1,7,4,17
1.0,1,7,5,17
1.0,1,7,6,17
1.0,1,7,7,17
1.0,1,7,8,17
1.0,1,7,9,17
1.0,1,7,10,17
1.0,1,7,11,17
1.0,1,7,12,17
1.0,1,7,13,17
1.0,1,7,14,17
1.0,1,7,15,17
1.0,1,8,0,17
1.0,1,8,1,17
1.0,1,8,2,17
1.0,1,8,3,17
1.0,1,8,4,17
1.0,1,8,5,17
1.0,1,8,6,17
1.0,1,8,7,17
1.0,1,8,8,17
1.0,1,8,9,17
1.0,1,8,10,17
1.0,1,8,11,17
1.0,1,8,12,17
1.0,1,8,13,17
1.0,1,8,14,17
1.0,1,8,15,17
1.0,1,9,0,17
