level,attack,defense,stamina,cp
1.0,0,0,0,31
1.0,0,0,1,31
1.0,0,0,2,31
1.0,0,0,3,32
1.0,0,0,4,32
1.0,0,0,5,32
1.0,0,0,6,32
1.0,0,0,7,32
1.0,0,0,8,32
1.0,0,0,9,32
1.0,0,0,10,32
1.0,0,0,11,32
1.0,0,0,12,32
1.0,0,0,13,32
1.0,0,0,14,32
1.0,0,0,15,32
1.0,0,1,0,31
1.0,0,1,1,32
1.0,0,1,2,32
1.0,0,1,3,32
1.0,0,1,4,32
1.0,0,1,5,32
1.0,0,1,6,32
1.0,0,1,7,32
1.0,0,1,8,32
1.0,0,1,9,32
1.0,0,1,10,32
1.0,0,1,11,32
1.0,0,1,12,32
1.0,0,1,13,32
1.0,0,1,14,33
1.0,0,1,15,33
1.0,0,2,0,32
1.0,0,2,1,32
1.0,0,2,2,32
1.0,0,2,3,32
1.0,0,2,4,32
1.0,0,2,5,32
1.0,0,2,6,32
1.0,0,2,7,32
1.0,0,2,8,32
1.0,0,2,9,32
1.0,0,2,10,32
1.0,0,2,11,32
1.0,0,2,12,32
1.0,0,2,13,33
1.0,0,2,14,33
1.0,0,2,15,33
1.0,0,3,0,32
1.0,0,3,1,32
1.0,0,3,2,32
1.0,0,3,3,32
1.0,0,3,4,32
1.0,0,3,5,32
1.0,0,3,6,32
1.0,0,3,7,32
1.0,0,3,8,32
1.0,0,3,9,32
1.0,0,3,10,32
1.0,0,3,11,32
1.0,0,3,12,33
1.0,0,3,13,33
1.0,0,3,14,33
1.0,0,3,15,33
1.0,0,4,0,32
1.0,0,4,1,32
1.0,0,4,2,32
1.0,0,4,3,32
1.0,0,4,4,32
1.0,0,4,5,32
1.0,0,4,6,32
1.0,0,4,7,32
1.0,0,4,8,32
1.0,0,4,9,32
1.0,0,4,10,32
1.0,0,4,11,33
1.0,0,4,12,33
1.0,0,4,13,33
1.0,0,4,14,33
1.0,0,4,15,33
1.0,0,5,0,32
1.0,0,5,1,32
1.0,0,5,2,32
1.0,0,5,3,32
1.0,0,5,4,32
1.0,0,5,5,32
1.0,0,5,6,32
1.0,0,5,7,32
1.0,0,5,8,32
1.0,0,5,9,33
1.0,0,5,10,33
1.0,0,5,11,33
1.0,0,5,12,33
1.0,0,5,13,33
1.0,0,5,14,33
1.0,0,5,15,33
1.0,0,6,0,32
1.0,0,6,1,32
1.0,0,6,2,32
1.0,0,6,3,32
1.0,0,6,4,32
1.0,0,6,5,32
1.0,0,6,6,32
1.0,0,6,7,32
1.0,0,6,8,33
1.0,0,6,9,33
1.0,0,6,10,33
1.0,0,6,11,33
1.0,0,6,12,33
1.0,0,6,13,33
1.0,0,6,14,33
1.0,0,6,15,33
1.0,0,7,0,32
1.0,0,7,1,32
1.0,0,7,2,32
1.0,0,7,3,32
1.0,0,7,4,32
1.0,0,7,5,32
1.0,0,7,6,32
1.0,0,7,7,33
1.0,0,7,8,33
1.0,0,7,9,33
1.0,0,7,10,33
1.0,0,7,11,33
1.0,0,7,12,33
1.0,0,7,13,33
1.0,0,7,14,33
1.0,0,7,15,33
1.0,0,8,0,32
1.0,0,8,1,32
1.0,0,8,2,32
1.0,0,8,3,32
1.0,0,8,4,32
1.0,0,8,5,32
1.0,0,8,6,33
1.0,0,8,7,33
1.0,0,8,8,33
1.0,0,8,9,33
1.0,0,8,10,33
1.0,0,8,11,33
1.0,0,8,12,33
1.0,0,8,13,33
1.0,0,8,14,33
1.0,0,8,15,33
1.0,0,9,0,32
1.0,0,9,1,32
1.0,0,9,2,32
1.0,0,9,3,32
1.0,0,9,4,33
1.0,0,9,5,33
1.0,0,9,6,33
1.0,0,9,7,33
1.0,0,9,8,33
1.0,0,9,9,33
1.0,0,9,10,33
1.0,0,9,11,33
1.0,0,9,12,33
1.0,0,9,13,33
1.0,0,9,14,33
1.0,0,9,15,33
1.0,0,10,0,32
1.0,0,10,1,32
1.0,0,10,2,32
1.0,0,10,3,33
1.0,0,10,4,33
1.0,0,10,5,33
1.0,0,10,6,33
1.0,0,10,7,33
1.0,0,10,8,33
1.0,0,10,9,33
1.0,0,10,10,33
1.0,0,10,11,33
1.0,0,10,12,33
1.0,0,10,13,33
1.0,0,10,14,33
1.0,0,10,15,33
1.0,0,11,0,32
1.0,0,11,1,32
1.0,0,11,2,33
1.0,0,11,3,33
1.0,0,11,4,33
1.0,0,11,5,33
1.0,0,11,6,33
1.0,0,11,7,33
1.0,0,11,8,33
1.0,0,11,9,33
1.0,0,11,10,33
1.0,0,11,11,33
1.0,0,11,12,33
1.0,0,11,13,33
1.0,0,11,14,33
1.0,0,11,15,34
1.0,0,12,0,32
1.0,0,12,1,33
1.0,0,12,2,33
1.0,0,12,3,33
1.0,0,12,4,33
1.0,0,12,5,33
1.0,0,12,6,33
1.0,0,12,7,33
1.0,0,12,8,33
1.0,0,12,9,33
1.0,0,12,10,33
1.0,0,12,11,33
1.0,0,12,12,33
1.0,0,12,13,34
1.0,0,12,14,34
1.0,0,12,15,34
1.0,0,13,0,33
1.0,0,13,1,33
1.0,0,13,2,33
1.0,0,13,3,33
1.0,0,13,4,33
1.0,0,13,5,33
1.0,0,13,6,33
1.0,0,13,7,33
1.0,0,13,8,33
1.0,0,13,9,33
1.0,0,13,10,33
1.0,0,13,11,33
1.0,0,13,12,34
1.0,0,13,13,34
1.0,0,13,14,34
1.0,0,13,15,34
1.0,0,14,0,33
1.0,0,14,1,33
1.0,0,14,2,33
1.0,0,14,3,33
1.0,0,14,4,33
1.0,0,14,5,33
1.0,0,14,6,33
1.0,0,14,7,33
1.0,0,14,8,33
1.0,0,14,9,33
1.0,0,14,10,33
1.0,0,14,11,34
1.0,0,14,12,34
1.0,0,14,13,34
1.0,0,14,14,34
1.0,0,14,15,34
1.0,0,15,0,33
1.0,0,15,1,33
1.0,0,15,2,33
1.0,0,15,3,33
1.0,0,15,4,33
1.0,0,15,5,33
1.0,0,15,6,33
1.0,0,15,7,33
1.0,0,15,8,33
1.0,0,15,9,33
1.0,0,15,10,34
1.0,0,15,11,34
1.0,0,15,12,34
1.0,0,15,13,34
1.0,0,15,14,34
1.0,0,15,15,34
1.0,1,0,0,32
1.0,1,0,1,32
1.0,1,0,2,32
1.0,1,0,3,32
1.0,1,0,4,32
1.0,1,0,5,32
1.0,1,0,6,32
1.0,1,0,7,32
1.0,1,0,8,32
1.0,1,0,9,32
1.0,1,0,10,32
1.0,1,0,11,32
1.0,1,0,12,32
1.0,1,0,13,32
1.0,1,0,14,33
1.0,1,0,15,33
1.0,1,1,0,32
1.0,1,1,1,32
1.0,1,1,2,32
1.0,1,1,3,32
1.0,1,1,4,32
1.0,1,1,5,32
1.0,1,1,6,32
1.0,1,1,7,32
1.0,1,1,8,32
1.0,1,1,9,32
1.0,1,1,10,32
1.0,1,1,11,32
1.0,1,1,12,33
1.0,1,1,13,33
1.0,1,1,14,33
1.0,1,1,15,33
1.0,1,2,0,32
1.0,1,2,1,32
1.0,1,2,2,32
1.0,1,2,3,32
1.0,1,2,4,32
1.0,1,2,5,32
1.0,1,2,6,32
1.0,1,2,7,32
1.0,1,2,8,32
1.0,1,2,9,32
1.0,1,2,10,32
1.0,1,2,11,33
1.0,1,2,12,33
1.0,1,2,13,33
1.0,1,2,14,33
1.0,1,2,15,33
1.0,1,3,0,32
1.0,1,3,1,32
1.0,1,3,2,32
1.0,1,3,3,32
1.0,1,3,4,32
1.0,1,3,5,32
1.0,1,3,6,32
1.0,1,3,7,32
1.0,1,3,8,32
1.0,1,3,9,32
1.0,1,3,10,33
1.0,1,3,11,33
1.0,1,3,12,33
1.0,1,3,13,33
1.0,1,3,14,33
1.0,1,3,15,33
1.0,1,4,0,32
1.0,1,4,1,32
1.0,1,4,2,32
1.0,1,4,3,32
1.0,1,4,4,32
1.0,1,4,5,32
1.0,1,4,6,32
1.0,1,4,7,32
1.0,1,4,8,33
1.0,1,4,9,33
1.0,1,4,10,33
1.0,1,4,11,33
1.0,1,4,12,33
1.0,1,4,13,33
1.0,1,4,14,33
1.0,1,4,15,33
1.0,1,5,0,32
1.0,1,5,1,32
1.0,1,5,2,32
1.0,1,5,3,32
1.0,1,5,4,32
1.0,1,5,5,32
1.0,1,5,6,32
1.0,1,5,7,33
1.0,1,5,8,33
1.0,1,5,9,33
1.0,1,5,10,33
1.0,1,5,11,33
1.0,1,5,12,33
1.0,1,5,13,33
1.0,1,5,14,33
1.0,1,5,15,33
1.0,1,6,0,32
1.0,1,6,1,32
1.0,1,6,2,32
1.0,1,6,3,32
1.0,1,6,4,32
1.0,1,6,5,32
1.0,1,6,6,33
1.0,1,6,7,33
1.0,1,6,8,33
1.0,1,6,9,33
1.0,1,6,10,33
1.0,1,6,11,33
1.0,1,6,12,33
1.0,1,6,13,33
1.0,1,6,14,33
1.0,1,6,15,33
1.0,1,7,0,32
1.0,1,7,1,32
1.0,1,7,2,32
1.0,1,7,3,32
1.0,1,7,4,32
1.0,1,7,5,33
1.0,1,7,6,33
1.0,1,7,7,33
1.0,1,7,8,33
1.0,1,7,9,33
1.0,1,7,10,33
1.0,1,7,11,33
1.0,1,7,12,33
1.0,1,7,13,33
1.0,1,7,14,33
1.0,1,7,15,33
1.0,1,8,0,32
1.0,1,8,1,32
1.0,1,8,2,32
1.0,1,8,3,33
1.0,1,8,4,33
1.0,1,8,5,33
1.0,1,8,6,33
1.0,1,8,7,33
1.0,1,8,8,33
1.0,1,8,9,33
1.0,1,8,10,33
1.0,1,8,11,33
1.0,1,8,12,33
1.0,1,8,13,33
1.0,1,8,14,33
1.0,1,8,15,33
1.0,1,9,0,32
1.0,1,9,1,32
1.0,1,9,2,33
1.0,1,9,3,33
1.0,1,9,4,33
1.0,1,9,5,33
1.0,1,9,6,33
1.0,1,9,7,33
1.0,1,9,8,33
1.0,1,9,9,33
1.0,1,9,10,33
1.0,1,9,11,33
1.0,1,9,12,33
1.0,1,9,13,33
1.0,1,9,14,33
1.0,1,9,15,34
1.0,1,10,0,32
1.0,1,10,1,33
1.0,1,10,2,33
1.0,1,10,3,33
1.0,1,10,4,33
1.0,1,10,5,33
1.0,1,10,6,33
1.0,1,10,7,33
1.0,1,10,8,33
1.0,1,10,9,33
1.0,1,10,10,33
1.0,1,10,11,33
1.0,1,10,12,33
1.0,1,10,13,33
1.0,1,10,14,34
1.0,1,10,15,34
1.0,1,11,0,33
1.0,1,11,1,33
1.0,1,11,2,33
1.0,1,11,3,33
1.0,1,11,4,33
1.0,1,11,5,33
1.0,1,11,6,33
1.0,1,11,7,33
1.0,1,11,8,33
1.0,1,11,9,33
1.0,1,11,10,33
1.0,1,11,11,33
1.0,1,11,12,34
