level,attack,defense,stamina,cp
1.0,0,0,0,18
1.0,0,0,1,18
1.0,0,0,2,18
1.0,0,0,3,18
1.0,0,0,4,18
1.0,0,0,5,18
1.0,0,0,6,18
1.0,0,0,7,18
1.0,0,0,8,18
1.0,0,0,9,18
1.0,0,0,10,18
1.0,0,0,11,19
1.0,0,0,12,19
1.0,0,0,13,19
1.0,0,0,14,19
1.0,0,0,15,19
1.0,0,1,0,18
1.0,0,1,1,18
1.0,0,1,2,18
1.0,0,1,3,18
1.0,0,1,4,18
1.0,0,1,5,18
1.0,0,1,6,18
1.0,0,1,7,18
1.0,0,1,8,18
1.0,0,1,9,18
1.0,0,1,10,18
1.0,0,1,11,19
1.0,0,1,12,19
1.0,0,1,13,19
1.0,0,1,14,19
1.0,0,1,15,19
1.0,0,2,0,18
1.0,0,2,1,18
1.0,0,2,2,18
1.0,0,2,3,18
1.0,0,2,4,18
1.0,0,2,5,18
1.0,0,2,6,18
1.0,0,2,7,18
1.0,0,2,8,18
1.0,0,2,9,18
1.0,0,2,10,19
1.0,0,2,11,19
1.0,0,2,12,19
1.0,0,2,13,19
1.0,0,2,14,19
1.0,0,2,15,19
1.0,0,3,0,18
1.0,0,3,1,18
1.0,0,3,2,18
1.0,0,3,3,18
1.0,0,3,4,18
1.0,0,3,5,18
1.0,0,3,6,18
1.0,0,3,7,18
1.0,0,3,8,18
1.0,0,3,9,19
1.0,0,3,10,19
1.0,0,3,11,19
1.0,0,3,12,19
1.0,0,3,13,19
1.0,0,3,14,19
1.0,0,3,15,19
1.0,0,4,0,18
1.0,0,4,1,18
1.0,0,4,2,18
1.0,0,4,3,18
1.0,0,4,4,18
1.0,0,4,5,18
1.0,0,4,6,18
1.0,0,4,7,18
1.0,0,4,8,19
1.0,0,4,9,19
1.0,0,4,10,19
1.0,0,4,11,19
1.0,0,4,12,19
1.0,0,4,13,19
1.0,0,4,14,19
1.0,0,4,15,19
1.0,0,5,0,18
1.0,0,5,1,18
1.0,0,5,2,18
1.0,0,5,3,18
1.0,0,5,4,18
1.0,0,5,5,18
1.0,0,5,6,18
1.0,0,5,7,19
1.0,0,5,8,19
1.0,0,5,9,19
1.0,0,5,10,19
1.0,0,5,11,19
1.0,0,5,12,19
1.0,0,5,13,19
1.0,0,5,14,19
1.0,0,5,15,19
1.0,0,6,0,18
1.0,0,6,1,18
1.0,0,6,2,18
1.0,0,6,3,18
1.0,0,6,4,18
1.0,0,6,5,18
1.0,0,6,6,19
1.0,0,6,7,19
1.0,0,6,8,19
1.0,0,6,9,19
1.0,0,6,10,19
1.0,0,6,11,19
1.0,0,6,12,19
1.0,0,6,13,19
1.0,0,6,14,19
1.0,0,6,15,19
1.0,0,7,0,18
1.0,0,7,1,18
1.0,0,7,2,18
1.0,0,7,3,18
1.0,0,7,4,18
1.0,0,7,5,19
1.0,0,7,6,19
1.0,0,7,7,19
1.0,0,7,8,19
1.0,0,7,9,19
1.0,0,7,10,19
1.0,0,7,11,19
1.0,0,7,12,19
1.0,0,7,13,19
1.0,0,7,14,19
1.0,0,7,15,19
1.0,0,8,0,18
1.0,0,8,1,18
1.0,0,8,2,18
1.0,0,8,3,18
1.0,0,8,4,18
1.0,0,8,5,19
1.0,0,8,6,19
1.0,0,8,7,19
1.0,0,8,8,19
1.0,0,8,9,19
1.0,0,8,10,19
1.0,0,8,11,19
1.0,0,8,12,19
1.0,0,8,13,19
1.0,0,8,14,19
1.0,0,8,15,19
1.0,0,9,0,18
1.0,0,9,1,18
1.0,0,9,2,18
1.0,0,9,3,18
1.0,0,9,4,19
1.0,0,9,5,19
1.0,0,9,6,19
1.0,0,9,7,19
1.0,0,9,8,19
1.0,0,9,9,19
1.0,0,9,10,19
1.0,0,9,11,19
1.0,0,9,12,19
1.0,0,9,13,19
1.0,0,9,14,19
1.0,0,9,15,19
1.0,0,10,0,18
1.0,0,10,1,18
1.0,0,10,2,18
1.0,0,10,3,19
1.0,0,10,4,19
1.0,0,10,5,19
1.0,0,10,6,19
1.0,0,10,7,19
1.0,0,10,8,19
1.0,0,10,9,19
1.0,0,10,10,19
1.0,0,10,11,19
1.0,0,10,12,19
1.0,0,10,13,19
1.0,0,10,14,19
1.0,0,10,15,20
1.0,0,11,0,18
1.0,0,11,1,18
1.0,0,11,2,19
1.0,0,11,3,19
1.0,0,11,4,19
1.0,0,11,5,19
1.0,0,11,6,19
1.0,0,11,7,19
1.0,0,11,8,19
1.0,0,11,9,19
1.0,0,11,10,19
1.0,0,11,11,19
1.0,0,11,12,19
1.0,0,11,13,19
1.0,0,11,14,20
1.0,0,11,15,20
1.0,0,12,0,18
1.0,0,12,1,18
1.0,0,12,2,19
1.0,0,12,3,19
1.0,0,12,4,19
1.0,0,12,5,19
1.0,0,12,6,19
1.0,0,12,7,19
