level,attack,defense,stamina,cp
1.0,6,6,6,25
1.0,6,6,7,25
1.0,6,6,8,25
1.0,6,6,9,25
1.0,6,6,10,25
1.0,6,6,11,26
1.0,6,6,12,26
1.0,6,6,13,26
1.0,6,6,14,26
1.0,6,6,15,26
1.0,6,7,6,25
1.0,6,7,7,25
1.0,6,7,8,25
1.0,6,7,9,26
1.0,6,7,10,26
1.0,6,7,11,26
1.0,6,7,12,26
1.0,6,7,13,26
1.0,6,7,14,26
1.0,6,7,15,26
1.0,6,8,6,25
1.0,6,8,7,25
1.0,6,8,8,26
1.0,6,8,9,26
1.0,6,8,10,26
1.0,6,8,11,26
1.0,6,8,12,26
1.0,6,8,13,26
1.0,6,8,14,26
1.0,6,8,15,26
1.0,6,9,6,26
1.0,6,9,7,26
1.0,6,9,8,26
1.0,6,9,9,26
1.0,6,9,10,26
1.0,6,9,11,26
1.0,6,9,12,26
1.0,6,9,13,26
1.0,6,9,14,26
1.0,6,9,15,26
1.0,6,10,6,26
1.0,6,10,7,26
1.0,6,10,8,26
1.0,6,10,9,26
1.0,6,10,10,26
1.0,6,10,11,26
1.0,6,10,12,26
1.0,6,10,13,26
1.0,6,10,14,26
1.0,6,10,15,26
1.0,6,11,6,26
1.0,6,11,7,26
1.0,6,11,8,26
1.0,6,11,9,26
1.0,6,11,10,26
1.0,6,11,11,26
1.0,6,11,12,26
1.0,6,11,13,26
1.0,6,11,14,26
1.0,6,11,15,26
1.0,6,12,6,26
1.0,6,12,7,26
1.0,6,12,8,26
1.0,6,12,9,26
1.0,6,12,10,26
1.0,6,12,11,26
1.0,6,12,12,26
1.0,6,12,13,26
1.0,6,12,14,26
1.0,6,12,15,27
1.0,6,13,6,26
1.0,6,13,7,26
1.0,6,13,8,26
1.0,6,13,9,26
1.0,6,13,10,26
1.0,6,13,11,26
1.0,6,13,12,26
1.0,6,13,13,27
1.0,6,13,14,27
1.0,6,13,15,27
1.0,6,14,6,26
1.0,6,14,7,26
1.0,6,14,8,26
1.0,6,14,9,26
1.0,6,14,10,26
1.0,6,14,11,26
1.0,6,14,12,27
1.0,6,14,13,27
1.0,6,14,14,27
1.0,6,14,15,27
1.0,6,15,6,26
1.0,6,15,7,26
1.0,6,15,8,26
1.0,6,15,9,26
1.0,6,15,10,27
1.0,6,15,11,27
1.0,6,15,12,27
1.0,6,15,13,27
1.0,6,15,14,27
1.0,6,15,15,27
1.0,7,6,6,25
1.0,7,6,7,25
1.0,7,6,8,25
1.0,7,6,9,26
1.0,7,6,10,26
1.0,7,6,11,26
1.0,7,6,12,26
1.0,7,6,13,26
1.0,7,6,14,26
1.0,7,6,15,26
1.0,7,7,6,25
1.0,7,7,7,25
1.0,7,7,8,26
1.0,7,7,9,26
1.0,7,7,10,26
1.0,7,7,11,26
1.0,7,7,12,26
1.0,7,7,13,26
1.0,7,7,14,26
1.0,7,7,15,26
1.0,7,8,6,26
1.0,7,8,7,26
1.0,7,8,8,26
1.0,7,8,9,26
1.0,7,8,10,26
1.0,7,8,11,26
1.0,7,8,12,26
1.0,7,8,13,26
1.0,7,8,14,26
1.0,7,8,15,26
1.0,7,9,6,26
1.0,7,9,7,26
1.0,7,9,8,26
1.0,7,9,9,26
1.0,7,9,10,26
1.0,7,9,11,26
1.0,7,9,12,26
1.0,7,9,13,26
1.0,7,9,14,26
1.0,7,9,15,26
1.0,7,10,6,26
1.0,7,10,7,26
1.0,7,10,8,26
1.0,7,10,9,26
1.0,7,10,10,26
1.0,7,10,11,26
1.0,7,10,12,26
1.0,7,10,13,26
1.0,7,10,14,26
1.0,7,10,15,26
1.0,7,11,6,26
1.0,7,11,7,26
1.0,7,11,8,26
1.0,7,11,9,26
1.0,7,11,10,26
1.0,7,11,11,26
1.0,7,11,12,26
1.0,7,11,13,26
1.0,7,11,14,26
1.0,7,11,15,27
1.0,7,12,6,26
1.0,7,12,7,26
1.0,7,12,8,26
1.0,7,12,9,26
1.0,7,12,10,26
1.0,7,12,11,26
1.0,7,12,12,26
1.0,7,12,13,27
1.0,7,12,14,27
1.0,7,12,15,27
1.0,7,13,6,26
1.0,7,13,7,26
1.0,7,13,8,26
1.0,7,13,9,26
1.0,7,13,10,26
1.0,7,13,11,26
1.0,7,13,12,27
1.0,7,13,13,27
1.0,7,13,14,27
1.0,7,13,15,27
1.0,7,14,6,26
1.0,7,14,7,26
1.0,7,14,8,26
1.0,7,14,9,26
1.0,7,14,10,27
1.0,7,14,11,27
1.0,7,14,12,27
1.0,7,14,13,27
1.0,7,14,14,27
1.0,7,14,15,27
1.0,7,15,6,26
1.0,7,15,7,26
1.0,7,15,8,26
1.0,7,15,9,27
1.0,7,15,10,27
1.0,7,15,11,27
1.0,7,15,12,27
1.0,7,15,13,27
1.0,7,15,14,27
1.0,7,15,15,27
1.0,8,6,6,25
1.0,8,6,7,25
1.0,8,6,8,26
1.0,8,6,9,26
1.0,8,6,10,26
1.0,8,6,11,26
1.0,8,6,12,26
1.0,8,6,13,26
1.0,8,6,14,26
1.0,8,6,15,26
1.0,8,7,6,26
1.0,8,7,7,26
1.0,8,7,8,26
1.0,8,7,9,26
1.0,8,7,10,26
1.0,8,7,11,26
1.0,8,7,12,26
1.0,8,7,13,26
1.0,8,7,14,26
1.0,8,7,15,26
1.0,8,8,6,26
1.0,8,8,7,26
1.0,8,8,8,26
1.0,8,8,9,26
1.0,8,8,10,26
1.0,8,8,11,26
1.0,8,8,12,26
1.0,8,8,13,26
1.0,8,8,14,26
1.0,8,8,15,26
1.0,8,9,6,26
1.0,8,9,7,26
1.0,8,9,8,26
1.0,8,9,9,26
1.0,8,9,10,26
1.0,8,9,11,26
1.0,8,9,12,26
1.0,8,9,13,26
1.0,8,9,14,26
1.0,8,9,15,26
1.0,8,10,6,26
1.0,8,10,7,26
1.0,8,10,8,26
1.0,8,10,9,26
1.0,8,10,10,26
1.0,8,10,11,26
1.0,8,10,12,26
1.0,8,10,13,26
1.0,8,10,14,26
1.0,8,10,15,27
1.0,8,11,6,26
1.0,8,11,7,26
1.0,8,11,8,26
1.0,8,11,9,26
1.0,8,11,10,26
1.0,8,11,11,26
1.0,8,11,12,26
1.0,8,11,13,27
1.0,8,11,14,27
1.0,8,11,15,27
1.0,8,12,6,26
1.0,8,12,7,26
1.0,8,12,8,26
1.0,8,12,9,26
1.0,8,12,10,26
1.0,8,12,11,26
1.0,8,12,12,27
1.0,8,12,13,27
1.0,8,12,14,27
1.0,8,12,15,27
1.0,8,13,6,26
1.0,8,13,7,26
1.0,8,13,8,26
1.0,8,13,9,26
1.0,8,13,10,27
1.0,8,13,11,27
1.0,8,13,12,27
1.0,8,13,13,27
1.0,8,13,14,27
1.0,8,13,15,27
1.0,8,14,6,26
1.0,8,14,7,26
1.0,8,14,8,26
1.0,8,14,9,27
1.0,8,14,10,27
1.0,8,14,11,27
1.0,8,14,12,27
1.0,8,14,13,27
1.0,8,14,14,27
1.0,8,14,15,27
1.0,8,15,6,26
1.0,8,15,7,27
1.0,8,15,8,27
1.0,8,15,9,27
1.0,8,15,10,27
