level,attack,defense,stamina,cp
1.0,6,6,6,72
1.0,6,6,7,72
1.0,6,6,8,72
1.0,6,6,9,72
1.0,6,6,10,72
1.0,6,6,11,72
1.0,6,6,12,72
1.0,6,6,13,73
1.0,6,6,14,73
1.0,6,6,15,73
1.0,6,7,6,72
1.0,6,7,7,72
1.0,6,7,8,72
1.0,6,7,9,72
1.0,6,7,10,72
1.0,6,7,11,72
1.0,6,7,12,73
1.0,6,7,13,73
1.0,6,7,14,73
1.0,6,7,15,73
1.0,6,8,6,72
1.0,6,8,7,72
1.0,6,8,8,72
1.0,6,8,9,72
1.0,6,8,10,72
1.0,6,8,11,73
1.0,6,8,12,73
1.0,6,8,13,73
1.0,6,8,14,73
1.0,6,8,15,73
1.0,6,9,6,72
1.0,6,9,7,72
1.0,6,9,8,72
1.0,6,9,9,72
1.0,6,9,10,73
1.0,6,9,11,73
1.0,6,9,12,73
1.0,6,9,13,73
1.0,6,9,14,73
1.0,6,9,15,73
1.0,6,10,6,72
1.0,6,10,7,72
1.0,6,10,8,72
1.0,6,10,9,73
1.0,6,10,10,73
1.0,6,10,11,73
1.0,6,10,12,73
1.0,6,10,13,73
1.0,6,10,14,73
1.0,6,10,15,74
1.0,6,11,6,72
1.0,6,11,7,72
1.0,6,11,8,73
1.0,6,11,9,73
1.0,6,11,10,73
1.0,6,11,11,73
1.0,6,11,12,73
1.0,6,11,13,73
1.0,6,11,14,74
1.0,6,11,15,74
1.0,6,12,6,72
1.0,6,12,7,73
1.0,6,12,8,73
1.0,6,12,9,73
1.0,6,12,10,73
1.0,6,12,11,73
1.0,6,12,12,73
1.0,6,12,13,74
1.0,6,12,14,74
1.0,6,12,15,74
1.0,6,13,6,73
1.0,6,13,7,73
1.0,6,13,8,73
1.0,6,13,9,73
1.0,6,13,10,73
1.0,6,13,11,73
1.0,6,13,12,74
1.0,6,13,13,74
1.0,6,13,14,74
1.0,6,13,15,74
1.0,6,14,6,73
1.0,6,14,7,73
1.0,6,14,8,73
1.0,6,14,9,73
1.0,6,14,10,73
1.0,6,14,11,74
1.0,6,14,12,74
1.0,6,14,13,74
1.0,6,14,14,74
1.0,6,14,15,74
1.0,6,15,6,73
1.0,6,15,7,73
1.0,6,15,8,73
1.0,6,15,9,73
1.0,6,15,10,74
1.0,6,15,11,74
1.0,6,15,12,74
1.0,6,15,13,74
1.0,6,15,14,74
1.0,6,15,15,74
1.0,7,6,6,72
1.0,7,6,7,72
1.0,7,6,8,72
1.0,7,6,9,72
1.0,7,6,10,72
1.0,7,6,11,72
1.0,7,6,12,73
1.0,7,6,13,73
1.0,7,6,14,73
1.0,7,6,15,73
1.0,7,7,6,72
1.0,7,7,7,72
1.0,7,7,8,72
1.0,7,7,9,72
1.0,7,7,10,73
1.0,7,7,11,73
1.0,7,7,12,73
1.0,7,7,13,73
1.0,7,7,14,73
1.0,7,7,15,73
1.0,7,8,6,72
1.0,7,8,7,72
1.0,7,8,8,72
1.0,7,8,9,73
1.0,7,8,10,73
1.0,7,8,11,73
1.0,7,8,12,73
1.0,7,8,13,73
1.0,7,8,14,73
1.0,7,8,15,73
1.0,7,9,6,72
1.0,7,9,7,72
1.0,7,9,8,73
1.0,7,9,9,73
1.0,7,9,10,73
1.0,7,9,11,73
1.0,7,9,12,73
1.0,7,9,13,73
1.0,7,9,14,73
1.0,7,9,15,74
1.0,7,10,6,72
1.0,7,10,7,73
1.0,7,10,8,73
1.0,7,10,9,73
1.0,7,10,10,73
1.0,7,10,11,73
1.0,7,10,12,73
1.0,7,10,13,73
1.0,7,10,14,74
1.0,7,10,15,74
1.0,7,11,6,73
1.0,7,11,7,73
1.0,7,11,8,73
1.0,7,11,9,73
1.0,7,11,10,73
1.0,7,11,11,73
1.0,7,11,12,73
1.0,7,11,13,74
1.0,7,11,14,74
1.0,7,11,15,74
1.0,7,12,6,73
1.0,7,12,7,73
1.0,7,12,8,73
1.0,7,12,9,73
1.0,7,12,10,73
1.0,7,12,11,73
1.0,7,12,12,74
1.0,7,12,13,74
1.0,7,12,14,74
1.0,7,12,15,74
1.0,7,13,6,73
1.0,7,13,7,73
1.0,7,13,8,73
1.0,7,13,9,73
1.0,7,13,10,73
1.0,7,13,11,74
1.0,7,13,12,74
1.0,7,13,13,74
1.0,7,13,14,74
1.0,7,13,15,74
1.0,7,14,6,73
1.0,7,14,7,73
1.0,7,14,8,73
