level,attack,defense,stamina,cp
1.0,6,6,6,26
1.0,6,6,7,27
1.0,6,6,8,27
1.0,6,6,9,27
1.0,6,6,10,27
1.0,6,6,11,27
1.0,6,6,12,27
1.0,6,6,13,27
1.0,6,6,14,27
1.0,6,6,15,27
1.0,6,7,6,27
1.0,6,7,7,27
1.0,6,7,8,27
1.0,6,7,9,27
1.0,6,7,10,27
1.0,6,7,11,27
1.0,6,7,12,27
1.0,6,7,13,27
1.0,6,7,14,27
1.0,6,7,15,27
1.0,6,8,6,27
1.0,6,8,7,27
1.0,6,8,8,27
1.0,6,8,9,27
1.0,6,8,10,27
1.0,6,8,11,27
1.0,6,8,12,27
1.0,6,8,13,27
1.0,6,8,14,27
1.0,6,8,15,27
1.0,6,9,6,27
1.0,6,9,7,27
1.0,6,9,8,27
1.0,6,9,9,27
1.0,6,9,10,27
1.0,6,9,11,27
1.0,6,9,12,27
1.0,6,9,13,27
1.0,6,9,14,27
1.0,6,9,15,27
1.0,6,10,6,27
1.0,6,10,7,27
1.0,6,10,8,27
1.0,6,10,9,27
1.0,6,10,10,27
1.0,6,10,11,27
1.0,6,10,12,27
1.0,6,10,13,27
1.0,6,10,14,27
1.0,6,10,15,27
1.0,6,11,6,27
1.0,6,11,7,27
1.0,6,11,8,27
1.0,6,11,9,27
1.0,6,11,10,27
1.0,6,11,11,27
1.0,6,11,12,27
1.0,6,11,13,27
1.0,6,11,14,27
1.0,6,11,15,27
1.0,6,12,6,27
1.0,6,12,7,27
1.0,6,12,8,27
1.0,6,12,9,27
1.0,6,12,10,27
1.0,6,12,11,27
1.0,6,12,12,27
1.0,6,12,13,27
1.0,6,12,14,27
1.0,6,12,15,28
1.0,6,13,6,27
1.0,6,13,7,27
1.0,6,13,8,27
1.0,6,13,9,27
1.0,6,13,10,27
1.0,6,13,11,27
1.0,6,13,12,27
1.0,6,13,13,27
1.0,6,13,14,28
1.0,6,13,15,28
1.0,6,14,6,27
1.0,6,14,7,27
1.0,6,14,8,27
1.0,6,14,9,27
1.0,6,14,10,27
1.0,6,14,11,27
1.0,6,14,12,27
1.0,6,14,13,28
1.0,6,14,14,28
1.0,6,14,15,28
1.0,6,15,6,27
1.0,6,15,7,27
1.0,6,15,8,27
1.0,6,15,9,27
1.0,6,15,10,27
1.0,6,15,11,27
1.0,6,15,12,28
1.0,6,15,13,28
1.0,6,15,14,28
1.0,6,15,15,28
1.0,7,6,6,27
1.0,7,6,7,27
1.0,7,6,8,27
1.0,7,6,9,27
1.0,7,6,10,27
1.0,7,6,11,27
1.0,7,6,12,27
1.0,7,6,13,27
1.0,7,6,14,27
1.0,7,6,15,27
1.0,7,7,6,27
1.0,7,7,7,27
1.0,7,7,8,27
1.0,7,7,9,27
1.0,7,7,10,27
1.0,7,7,11,27
1.0,7,7,12,27
1.0,7,7,13,27
1.0,7,7,14,27
1.0,7,7,15,27
1.0,7,8,6,27
1.0,7,8,7,27
1.0,7,8,8,27
1.0,7,8,9,27
1.0,7,8,10,27
1.0,7,8,11,27
1.0,7,8,12,27
1.0,7,8,13,27
1.0,7,8,14,27
1.0,7,8,15,27
1.0,7,9,6,27
1.0,7,9,7,27
1.0,7,9,8,27
1.0,7,9,9,27
1.0,7,9,10,27
1.0,7,9,11,27
1.0,7,9,12,27
1.0,7,9,13,27
1.0,7,9,14,27
1.0,7,9,15,27
1.0,7,10,6,27
1.0,7,10,7,27
1.0,7,10,8,27
1.0,7,10,9,27
1.0,7,10,10,27
1.0,7,10,11,27
1.0,7,10,12,27
1.0,7,10,13,27
1.0,7,10,14,27
1.0,7,10,15,28
1.0,7,11,6,27
1.0,7,11,7,27
1.0,7,11,8,27
1.0,7,11,9,27
1.0,7,11,10,27
1.0,7,11,11,27
1.0,7,11,12,27
1.0,7,11,13,27
1.0,7,11,14,28
1.0,7,11,15,28
1.0,7,12,6,27
1.0,7,12,7,27
1.0,7,12,8,27
1.0,7,12,9,27
1.0,7,12,10,27
1.0,7,12,11,27
1.0,7,12,12,27
1.0,7,12,13,28
1.0,7,12,14,28
1.0,7,12,15,28
1.0,7,13,6,27
1.0,7,13,7,27
1.0,7,13,8,27
1.0,7,13,9,27
1.0,7,13,10,27
1.0,7,13,11,28
1.0,7,13,12,28
1.0,7,13,13,28
1.0,7,13,14,28
1.0,7,13,15,28
1.0,7,14,6,27
1.0,7,14,7,27
1.0,7,14,8,27
1.0,7,14,9,27
1.0,7,14,10,28
1.0,7,14,11,28
1.0,7,14,12,28
1.0,7,14,13,28
1.0,7,14,14,28
1.0,7,14,15,28
1.0,7,15,6,27
1.0,7,15,7,27
1.0,7,15,8,27
1.0,7,15,9,28
1.0,7,15,10,28
1.0,7,15,11,28
1.0,7,15,12,28
1.0,7,15,13,28
1.0,7,15,14,28
1.0,7,15,15,28
1.0,8,6,6,27
1.0,8,6,7,27
1.0,8,6,8,27
1.0,8,6,9,27
1.0,8,6,10,27
1.0,8,6,11,27
1.0,8,6,12,27
1.0,8,6,13,27
1.0,8,6,14,27
1.0,8,6,15,27
1.0,8,7,6,27
1.0,8,7,7,27
1.0,8,7,8,27
1.0,8,7,9,27
1.0,8,7,10,27
1.0,8,7,11,27
1.0,8,7,12,27
1.0,8,7,13,27
1.0,8,7,14,27
1.0,8,7,15,27
1.0,8,8,6,27
1.0,8,8,7,27
1.0,8,8,8,27
1.0,8,8,9,27
1.0,8,8,10,27
1.0,8,8,11,27
1.0,8,8,12,27
1.0,8,8,13,27
1.0,8,8,14,27
1.0,8,8,15,28
1.0,8,9,6,27
1.0,8,9,7,27
1.0,8,9,8,27
1.0,8,9,9,27
1.0,8,9,10,27
1.0,8,9,11,27
1.0,8,9,12,27
1.0,8,9,13,27
1.0,8,9,14,28
1.0,8,9,15,28
1.0,8,10,6,27
1.0,8,10,7,27
1.0,8,10,8,27
1.0,8,10,9,27
1.0,8,10,10,27
1.0,8,10,11,27
1.0,8,10,12,27
1.0,8,10,13,28
1.0,8,10,14,28
1.0,8,10,15,28
1.0,8,11,6,27
1.0,8,11,7,27
1.0,8,11,8,27
1.0,8,11,9,27
1.0,8,11,10,27
1.0,8,11,11,28
1.0,8,11,12,28
1.0,8,11,13,28
1.0,8,11,14,28
1.0,8,11,15,28
1.0,8,12,6,27
1.0,8,12,7,27
1.0,8,12,8,27
1.0,8,12,9,27
1.0,8,12,10,28
1.0,8,12,11,28
1.0,8,12,12,28
1.0,8,12,13,28
1.0,8,12,14,28
1.0,8,12,15,28
1.0,8,13,6,27
1.0,8,13,7,27
1.0,8,13,8,27
1.0,8,13,9,28
1.0,8,13,10,28
1.0,8,13,11,28
1.0,8,13,12,28
1.0,8,13,13,28
1.0,8,13,14,28
1.0,8,13,15,28
1.0,8,14,6,27
1.0,8,14,7,27
1.0,8,14,8,28
1.0,8,14,9,28
1.0,8,14,10,28
1.0,8,14,11,28
1.0,8,14,12,28
1.0,8,14,13,28
1.0,8,14,14,28
1.0,8,14,15,28
1.0,8,15,6,27
1.0,8,15,7,28
1.0,8,15,8,28
1.0,8,15,9,28
1.0,8,15,10,28
1.0,8,15,11,28
1.0,8,15,12,28
1.0,8,15,13,28
1.0,8,15,14,28
1.0,8,15,15,28
1.0,9,6,6,27
1.0,9,6,7,27
1.0,9,6,8,27
1.0,9,6,9,27
1.0,9,6,10,27
1.0,9,6,11,27
1.0,9,6,12,27
1.0,9,6,13,27
1.0,9,6,14,27
1.0,9,6,15,28
1.0,9,7,6,27
1.0,9,7,7,27
1.0,9,7,8,27
1.0,9,7,9,27
1.0,9,7,10,27
1.0,9,7,11,27
1.0,9,7,12,27
1.0,9,7,13,27
1.0,9,7,14,28
1.0,9,7,15,28
1.0,9,8,6,27
1.0,9,8,7,27
1.0,9,8,8,27
1.0,9,8,9,27
1.0,9,8,10,27
1.0,9,8,11,27
1.0,9,8,12,27
1.0,9,8,13,28
1.0,9,8,14,28
1.0,9,8,15,28
1.0,9,9,6,27
1.0,9,9,7,27
1.0,9,9,8,27
1.0,9,9,9,27
1.0,9,9,10,27
1.0,9,9,11,28
1.0,9,9,12,28
1.0,9,9,13,28
1.0,9,9,14,28
1.0,9,9,15,28
1.0,9,10,6,27
1.0,9,10,7,27
1.0,9,10,8,27
1.0,9,10,9,27
1.0,9,10,10,28
1.0,9,10,11,28
1.0,9,10,12,28
1.0,9,10,13,28
1.0,9,10,14,28
1.0,9,10,15,28
1.0,9,11,6,27
1.0,9,11,7,27
1.0,9,11,8,27
1.0,9,11,9,28
1.0,9,11,10,28
1.0,9,11,11,28
1.0,9,11,12,28
1.0,9,11,13,28
1.0,9,11,14,28
1.0,9,11,15,28
1.0,9,12,6,27
1.0,9,12,7,27
1.0,9,12,8,28
1.0,9,12,9,28
1.0,9,12,10,28
1.0,9,12,11,28
1.0,9,12,12,28
1.0,9,12,13,28
1.0,9,12,14,28
1.0,9,12,15,28
1.0,9,13,6,27
1.0,9,13,7,28
1.0,9,13,8,28
1.0,9,13,9,28
1.0,9,13,10,28
1.0,9,13,11,28
1.0,9,13,12,28
1.0,9,13,13,28
1.0,9,13,14,28
1.0,9,13,15,28
1.0,9,14,6,28
1.0,9,14,7,28
1.0,9,14,8,28
1.0,9,14,9,28
1.0,9,14,10,28
1.0,9,14,11,28
1.0,9,14,12,28
1.0,9,14,13,28
1.0,9,14,14,28
1.0,9,14,15,28
1.0,9,15,6,28
1.0,9,15,7,28
1.0,9,15,8,28
1.0,9,15,9,28
1.0,9,15,10,28
1.0,9,15,11,28
1.0,9,15,12,28
1.0,9,15,13,28
1.0,9,15,14,28
1.0,9,15,15,28
1.0,10,6,6,27
1.0,10,6,7,27
1.0,10,6,8,27
1.0,10,6,9,27
1.0,10,6,10,27
1.0,10,6,11,27
1.0,10,6,12,27
