level,attack,defense,stamina,cp
1.0,6,6,6,32
1.0,6,6,7,32
1.0,6,6,8,32
1.0,6,6,9,32
1.0,6,6,10,32
1.0,6,6,11,32
1.0,6,6,12,33
1.0,6,6,13,33
1.0,6,6,14,33
1.0,6,6,15,33
1.0,6,7,6,32
1.0,6,7,7,32
1.0,6,7,8,32
1.0,6,7,9,32
1.0,6,7,10,32
1.0,6,7,11,33
1.0,6,7,12,33
1.0,6,7,13,33
1.0,6,7,14,33
1.0,6,7,15,33
1.0,6,8,6,32
1.0,6,8,7,32
1.0,6,8,8,32
1.0,6,8,9,32
1.0,6,8,10,33
1.0,6,8,11,33
1.0,6,8,12,33
1.0,6,8,13,33
1.0,6,8,14,33
1.0,6,8,15,33
1.0,6,9,6,32
1.0,6,9,7,32
1.0,6,9,8,32
1.0,6,9,9,33
1.0,6,9,10,33
1.0,6,9,11,33
1.0,6,9,12,33
1.0,6,9,13,33
1.0,6,9,14,33
1.0,6,9,15,33
1.0,6,10,6,32
1.0,6,10,7,32
1.0,6,10,8,33
1.0,6,10,9,33
1.0,6,10,10,33
1.0,6,10,11,33
1.0,6,10,12,33
1.0,6,10,13,33
1.0,6,10,14,33
1.0,6,10,15,33
1.0,6,11,6,32
1.0,6,11,7,33
1.0,6,11,8,33
1.0,6,11,9,33
1.0,6,11,10,33
1.0,6,11,11,33
1.0,6,11,12,33
1.0,6,11,13,33
1.0,6,11,14,33
1.0,6,11,15,33
1.0,6,12,6,33
1.0,6,12,7,33
1.0,6,12,8,33
1.0,6,12,9,33
1.0,6,12,10,33
1.0,6,12,11,33
1.0,6,12,12,33
1.0,6,12,13,33
1.0,6,12,14,33
1.0,6,12,15,33
1.0,6,13,6,33
1.0,6,13,7,33
1.0,6,13,8,33
1.0,6,13,9,33
1.0,6,13,10,33
1.0,6,13,11,33
1.0,6,13,12,33
1.0,6,13,13,33
1.0,6,13,14,33
1.0,6,13,15,33
1.0,6,14,6,33
1.0,6,14,7,33
1.0,6,14,8,33
1.0,6,14,9,33
1.0,6,14,10,33
1.0,6,14,11,33
1.0,6,14,12,33
1.0,6,14,13,33
1.0,6,14,14,33
1.0,6,14,15,33
1.0,6,15,6,33
1.0,6,15,7,33
1.0,6,15,8,33
1.0,6,15,9,33
1.0,6,15,10,33
1.0,6,15,11,33
1.0,6,15,12,33
1.0,6,15,13,33
1.0,6,15,14,33
1.0,6,15,15,34
1.0,7,6,6,32
1.0,7,6,7,32
1.0,7,6,8,32
1.0,7,6,9,32
1.0,7,6,10,33
1.0,7,6,11,33
1.0,7,6,12,33
1.0,7,6,13,33
1.0,7,6,14,33
1.0,7,6,15,33
1.0,7,7,6,32
1.0,7,7,7,32
1.0,7,7,8,32
1.0,7,7,9,33
1.0,7,7,10,33
1.0,7,7,11,33
1.0,7,7,12,33
1.0,7,7,13,33
1.0,7,7,14,33
1.0,7,7,15,33
1.0,7,8,6,32
1.0,7,8,7,32
1.0,7,8,8,33
1.0,7,8,9,33
1.0,7,8,10,33
1.0,7,8,11,33
1.0,7,8,12,33
1.0,7,8,13,33
1.0,7,8,14,33
1.0,7,8,15,33
1.0,7,9,6,32
1.0,7,9,7,33
1.0,7,9,8,33
1.0,7,9,9,33
1.0,7,9,10,33
1.0,7,9,11,33
1.0,7,9,12,33
1.0,7,9,13,33
1.0,7,9,14,33
1.0,7,9,15,33
1.0,7,10,6,33
1.0,7,10,7,33
1.0,7,10,8,33
1.0,7,10,9,33
1.0,7,10,10,33
1.0,7,10,11,33
1.0,7,10,12,33
1.0,7,10,13,33
1.0,7,10,14,33
1.0,7,10,15,33
1.0,7,11,6,33
1.0,7,11,7,33
1.0,7,11,8,33
1.0,7,11,9,33
1.0,7,11,10,33
1.0,7,11,11,33
1.0,7,11,12,33
1.0,7,11,13,33
1.0,7,11,14,33
1.0,7,11,15,33
1.0,7,12,6,33
1.0,7,12,7,33
