level,attack,defense,stamina,cp
1.0,0,0,0,27
1.0,0,0,1,27
1.0,0,0,2,27
1.0,0,0,3,27
1.0,0,0,4,27
1.0,0,0,5,27
1.0,0,0,6,27
1.0,0,0,7,27
1.0,0,0,8,27
1.0,0,0,9,27
1.0,0,0,10,27
1.0,0,0,11,28
1.0,0,0,12,28
1.0,0,0,13,28
1.0,0,0,14,28
1.0,0,0,15,28
1.0,0,1,0,27
1.0,0,1,1,27
1.0,0,1,2,27
1.0,0,1,3,27
1.0,0,1,4,27
1.0,0,1,5,27
1.0,0,1,6,27
1.0,0,1,7,27
1.0,0,1,8,27
1.0,0,1,9,27
1.0,0,1,10,27
1.0,0,1,11,28
1.0,0,1,12,28
1.0,0,1,13,28
1.0,0,1,14,28
1.0,0,1,15,28
1.0,0,2,0,27
1.0,0,2,1,27
1.0,0,2,2,27
1.0,0,2,3,27
1.0,0,2,4,27
1.0,0,2,5,27
1.0,0,2,6,27
1.0,0,2,7,27
1.0,0,2,8,27
1.0,0,2,9,27
1.0,0,2,10,28
1.0,0,2,11,28
1.0,0,2,12,28
1.0,0,2,13,28
1.0,0,2,14,28
1.0,0,2,15,28
1.0,0,3,0,27
1.0,0,3,1,27
1.0,0,3,2,27
1.0,0,3,3,27
1.0,0,3,4,27
1.0,0,3,5,27
1.0,0,3,6,27
1.0,0,3,7,27
1.0,0,3,8,27
1.0,0,3,9,28
1.0,0,3,10,28
1.0,0,3,11,28
1.0,0,3,12,28
1.0,0,3,13,28
1.0,0,3,14,28
1.0,0,3,15,28
1.0,0,4,0,27
1.0,0,4,1,27
1.0,0,4,2,27
1.0,0,4,3,27
1.0,0,4,4,27
1.0,0,4,5,27
1.0,0,4,6,27
1.0,0,4,7,27
1.0,0,4,8,28
1.0,0,4,9,28
1.0,0,4,10,28
1.0,0,4,11,28
1.0,0,4,12,28
1.0,0,4,13,28
1.0,0,4,14,28
1.0,0,4,15,28
1.0,0,5,0,27
1.0,0,5,1,27
1.0,0,5,2,27
1.0,0,5,3,27
1.0,0,5,4,27
1.0,0,5,5,27
1.0,0,5,6,27
1.0,0,5,7,27
1.0,0,5,8,28
1.0,0,5,9,28
1.0,0,5,10,28
1.0,0,5,11,28
1.0,0,5,12,28
1.0,0,5,13,28
1.0,0,5,14,28
1.0,0,5,15,28
1.0,0,6,0,27
1.0,0,6,1,27
1.0,0,6,2,27
1.0,0,6,3,27
1.0,0,6,4,27
1.0,0,6,5,27
1.0,0,6,6,27
1.0,0,6,7,28
1.0,0,6,8,28
1.0,0,6,9,28
1.0,0,6,10,28
1.0,0,6,11,28
1.0,0,6,12,28
1.0,0,6,13,28
1.0,0,6,14,28
1.0,0,6,15,28
1.0,0,7,0,27
1.0,0,7,1,27
1.0,0,7,2,27
1.0,0,7,3,27
1.0,0,7,4,27
1.0,0,7,5,27
1.0,0,7,6,28
1.0,0,7,7,28
1.0,0,7,8,28
1.0,0,7,9,28
1.0,0,7,10,28
1.0,0,7,11,28
1.0,0,7,12,28
1.0,0,7,13,28
1.0,0,7,14,28
1.0,0,7,15,28
1.0,0,8,0,27
1.0,0,8,1,27
1.0,0,8,2,27
1.0,0,8,3,27
1.0,0,8,4,27
1.0,0,8,5,27
1.0,0,8,6,28
1.0,0,8,7,28
1.0,0,8,8,28
1.0,0,8,9,28
1.0,0,8,10,28
1.0,0,8,11,28
1.0,0,8,12,28
1.0,0,8,13,28
1.0,0,8,14,28
1.0,0,8,15,28
1.0,0,9,0,27
1.0,0,9,1,27
1.0,0,9,2,27
1.0,0,9,3,27
1.0,0,9,4,27
1.0,0,9,5,28
1.0,0,9,6,28
1.0,0,9,7,28
1.0,0,9,8,28
1.0,0,9,9,28
1.0,0,9,10,28
1.0,0,9,11,28
1.0,0,9,12,28
1.0,0,9,13,28
1.0,0,9,14,28
1.0,0,9,15,28
1.0,0,10,0,27
1.0,0,10,1,27
1.0,0,10,2,27
1.0,0,10,3,27
1.0,0,10,4,28
1.0,0,10,5,28
1.0,0,10,6,28
1.0,0,10,7,28
1.0,0,10,8,28
1.0,0,10,9,28
1.0,0,10,10,28
1.0,0,10,11,28
1.0,0,10,12,28
1.0,0,10,13,28
1.0,0,10,14,28
1.0,0,10,15,29
1.0,0,11,0,27
1.0,0,11,1,27
1.0,0,11,2,27
1.0,0,11,3,27
1.0,0,11,4,28
1.0,0,11,5,28
1.0,0,11,6,28
1.0,0,11,7,28
1.0,0,11,8,28
1.0,0,11,9,28
1.0,0,11,10,28
1.0,0,11,11,28
1.0,0,11,12,28
1.0,0,11,13,28
1.0,0,11,14,28
1.0,0,11,15,29
1.0,0,12,0,27
1.0,0,12,1,27
1.0,0,12,2,27
1.0,0,12,3,28
1.0,0,12,4,28
