level,attack,defense,stamina,cp
1.0,6,6,6,10
1.0,6,6,7,10
1.0,6,6,8,10
1.0,6,6,9,10
1.0,6,6,10,10
1.0,6,6,11,10
1.0,6,6,12,10
1.0,6,6,13,10
1.0,6,6,14,10
1.0,6,6,15,10
1.0,6,7,6,10
1.0,6,7,7,10
1.0,6,7,8,10
1.0,6,7,9,10
1.0,6,7,10,10
1.0,6,7,11,10
1.0,6,7,12,10
1.0,6,7,13,10
1.0,6,7,14,10
1.0,6,7,15,10
1.0,6,8,6,10
1.0,6,8,7,10
1.0,6,8,8,10
1.0,6,8,9,10
1.0,6,8,10,10
1.0,6,8,11,10
1.0,6,8,12,10
1.0,6,8,13,10
1.0,6,8,14,10
1.0,6,8,15,10
1.0,6,9,6,10
1.0,6,9,7,10
1.0,6,9,8,10
1.0,6,9,9,10
1.0,6,9,10,10
1.0,6,9,11,10
1.0,6,9,12,10
1.0,6,9,13,10
1.0,6,9,14,10
1.0,6,9,15,10
1.0,6,10,6,10
1.0,6,10,7,10
1.0,6,10,8,10
1.0,6,10,9,10
1.0,6,10,10,10
1.0,6,10,11,10
1.0,6,10,12,10
1.0,6,10,13,10
1.0,6,10,14,10
1.0,6,10,15,10
1.0,6,11,6,10
1.0,6,11,7,10
1.0,6,11,8,10
1.0,6,11,9,10
1.0,6,11,10,10
1.0,6,11,11,10
1.0,6,11,12,10
1.0,6,11,13,10
1.0,6,11,14,10
1.0,6,11,15,11
1.0,6,12,6,10
1.0,6,12,7,10
1.0,6,12,8,10
1.0,6,12,9,10
1.0,6,12,10,10
1.0,6,12,11,10
1.0,6,12,12,10
1.0,6,12,13,10
1.0,6,12,14,11
1.0,6,12,15,11
1.0,6,13,6,10
1.0,6,13,7,10
1.0,6,13,8,10
1.0,6,13,9,10
1.0,6,13,10,10
1.0,6,13,11,10
1.0,6,13,12,10
1.0,6,13,13,11
1.0,6,13,14,11
1.0,6,13,15,11
1.0,6,14,6,10
1.0,6,14,7,10
1.0,6,14,8,10
1.0,6,14,9,10
1.0,6,14,10,10
1.0,6,14,11,11
