level,attack,defense,stamina,cp
1.0,6,6,6,20
1.0,6,6,7,20
1.0,6,6,8,20
1.0,6,6,9,20
1.0,6,6,10,20
1.0,6,6,11,20
1.0,6,6,12,20
1.0,6,6,13,20
1.0,6,6,14,21
1.0,6,6,15,21
1.0,6,7,6,20
1.0,6,7,7,20
1.0,6,7,8,20
1.0,6,7,9,20
1.0,6,7,10,20
1.0,6,7,11,20
1.0,6,7,12,20
1.0,6,7,13,21
1.0,6,7,14,21
1.0,6,7,15,21
1.0,6,8,6,20
1.0,6,8,7,20
1.0,6,8,8,20
1.0,6,8,9,20
1.0,6,8,10,20
1.0,6,8,11,20
1.0,6,8,12,21
1.0,6,8,13,21
1.0,6,8,14,21
1.0,6,8,15,21
1.0,6,9,6,20
1.0,6,9,7,20
1.0,6,9,8,20
1.0,6,9,9,20
1.0,6,9,10,20
1.0,6,9,11,21
1.0,6,9,12,21
1.0,6,9,13,21
1.0,6,9,14,21
1.0,6,9,15,21
1.0,6,10,6,20
1.0,6,10,7,20
1.0,6,10,8,20
1.0,6,10,9,20
1.0,6,10,10,21
1.0,6,10,11,21
1.0,6,10,12,21
1.0,6,10,13,21
1.0,6,10,14,21
1.0,6,10,15,21
1.0,6,11,6,20
1.0,6,11,7,20
1.0,6,11,8,20
1.0,6,11,9,21
1.0,6,11,10,21
1.0,6,11,11,21
1.0,6,11,12,21
1.0,6,11,13,21
1.0,6,11,14,21
1.0,6,11,15,21
1.0,6,12,6,20
1.0,6,12,7,20
1.0,6,12,8,21
1.0,6,12,9,21
1.0,6,12,10,21
1.0,6,12,11,21
1.0,6,12,12,21
1.0,6,12,13,21
1.0,6,12,14,21
1.0,6,12,15,21
1.0,6,13,6,20
1.0,6,13,7,21
1.0,6,13,8,21
1.0,6,13,9,21
1.0,6,13,10,21
1.0,6,13,11,21
1.0,6,13,12,21
1.0,6,13,13,21
1.0,6,13,14,21
1.0,6,13,15,21
1.0,6,14,6,21
1.0,6,14,7,21
1.0,6,14,8,21
1.0,6,14,9,21
1.0,6,14,10,21
1.0,6,14,11,21
1.0,6,14,12,21
1.0,6,14,13,21
1.0,6,14,14,21
1.0,6,14,15,21
1.0,6,15,6,21
