level,attack,defense,stamina,cp
1.0,6,6,6,50
1.0,6,6,7,50
1.0,6,6,8,50
1.0,6,6,9,50
1.0,6,6,10,51
1.0,6,6,11,51
1.0,6,6,12,51
1.0,6,6,13,51
1.0,6,6,14,51
1.0,6,6,15,51
1.0,6,7,6,50
1.0,6,7,7,50
1.0,6,7,8,50
1.0,6,7,9,51
1.0,6,7,10,51
1.0,6,7,11,51
1.0,6,7,12,51
1.0,6,7,13,51
1.0,6,7,14,51
1.0,6,7,15,51
1.0,6,8,6,50
1.0,6,8,7,50
1.0,6,8,8,51
1.0,6,8,9,51
1.0,6,8,10,51
1.0,6,8,11,51
1.0,6,8,12,51
1.0,6,8,13,51
1.0,6,8,14,51
1.0,6,8,15,51
1.0,6,9,6,50
1.0,6,9,7,51
1.0,6,9,8,51
1.0,6,9,9,51
1.0,6,9,10,51
1.0,6,9,11,51
1.0,6,9,12,51
1.0,6,9,13,51
1.0,6,9,14,51
1.0,6,9,15,51
1.0,6,10,6,51
1.0,6,10,7,51
1.0,6,10,8,51
1.0,6,10,9,51
1.0,6,10,10,51
1.0,6,10,11,51
1.0,6,10,12,51
1.0,6,10,13,51
1.0,6,10,14,51
1.0,6,10,15,52
1.0,6,11,6,51
1.0,6,11,7,51
1.0,6,11,8,51
1.0,6,11,9,51
1.0,6,11,10,51
1.0,6,11,11,51
1.0,6,11,12,51
1.0,6,11,13,51
1.0,6,11,14,52
1.0,6,11,15,52
1.0,6,12,6,51
1.0,6,12,7,51
1.0,6,12,8,51
1.0,6,12,9,51
1.0,6,12,10,51
1.0,6,12,11,51
1.0,6,12,12,51
1.0,6,12,13,52
1.0,6,12,14,52
1.0,6,12,15,52
1.0,6,13,6,51
1.0,6,13,7,51
1.0,6,13,8,51
1.0,6,13,9,51
1.0,6,13,10,51
1.0,6,13,11,51
1.0,6,13,12,52
1.0,6,13,13,52
1.0,6,13,14,52
1.0,6,13,15,52
1.0,6,14,6,51
1.0,6,14,7,51
1.0,6,14,8,51
1.0,6,14,9,51
1.0,6,14,10,51
1.0,6,14,11,52
1.0,6,14,12,52
1.0,6,14,13,52
1.0,6,14,14,52
1.0,6,14,15,52
1.0,6,15,6,51
1.0,6,15,7,51
