level,attack,defense,stamina,cp
1.0,6,6,6,30
1.0,6,6,7,31
1.0,6,6,8,31
1.0,6,6,9,31
1.0,6,6,10,31
1.0,6,6,11,31
1.0,6,6,12,31
1.0,6,6,13,31
1.0,6,6,14,31
1.0,6,6,15,31
1.0,6,7,6,31
1.0,6,7,7,31
1.0,6,7,8,31
1.0,6,7,9,31
1.0,6,7,10,31
1.0,6,7,11,31
1.0,6,7,12,31
1.0,6,7,13,31
1.0,6,7,14,31
1.0,6,7,15,31
1.0,6,8,6,31
1.0,6,8,7,31
1.0,6,8,8,31
1.0,6,8,9,31
1.0,6,8,10,31
1.0,6,8,11,31
1.0,6,8,12,31
1.0,6,8,13,31
1.0,6,8,14,31
1.0,6,8,15,31
1.0,6,9,6,31
1.0,6,9,7,31
1.0,6,9,8,31
1.0,6,9,9,31
1.0,6,9,10,31
1.0,6,9,11,31
1.0,6,9,12,31
1.0,6,9,13,31
1.0,6,9,14,31
1.0,6,9,15,31
1.0,6,10,6,31
1.0,6,10,7,31
1.0,6,10,8,31
1.0,6,10,9,31
1.0,6,10,10,31
1.0,6,10,11,31
1.0,6,10,12,31
1.0,6,10,13,31
1.0,6,10,14,31
1.0,6,10,15,32
1.0,6,11,6,31
1.0,6,11,7,31
1.0,6,11,8,31
1.0,6,11,9,31
1.0,6,11,10,31
1.0,6,11,11,31
1.0,6,11,12,31
1.0,6,11,13,31
1.0,6,11,14,32
1.0,6,11,15,32
1.0,6,12,6,31
1.0,6,12,7,31
1.0,6,12,8,31
1.0,6,12,9,31
1.0,6,12,10,31
1.0,6,12,11,31
1.0,6,12,12,31
1.0,6,12,13,32
1.0,6,12,14,32
1.0,6,12,15,32
1.0,6,13,6,31
1.0,6,13,7,31
1.0,6,13,8,31
1.0,6,13,9,31
1.0,6,13,10,31
1.0,6,13,11,31
1.0,6,13,12,32
1.0,6,13,13,32
1.0,6,13,14,32
1.0,6,13,15,32
1.0,6,14,6,31
1.0,6,14,7,31
1.0,6,14,8,31
1.0,6,14,9,31
1.0,6,14,10,31
1.0,6,14,11,32
1.0,6,14,12,32
1.0,6,14,13,32
1.0,6,14,14,32
1.0,6,14,15,32
1.0,6,15,6,31
1.0,6,15,7,31
1.0,6,15,8,31
1.0,6,15,9,31
1.0,6,15,10,32
1.0,6,15,11,32
1.0,6,15,12,32
1.0,6,15,13,32
