level,attack,defense,stamina,cp
1.0,6,6,6,78
1.0,6,6,7,78
1.0,6,6,8,78
1.0,6,6,9,79
1.0,6,6,10,79
1.0,6,6,11,79
1.0,6,6,12,79
1.0,6,6,13,79
1.0,6,6,14,79
1.0,6,6,15,80
1.0,6,7,6,78
1.0,6,7,7,78
1.0,6,7,8,79
1.0,6,7,9,79
1.0,6,7,10,79
1.0,6,7,11,79
1.0,6,7,12,79
1.0,6,7,13,79
1.0,6,7,14,80
1.0,6,7,15,80
1.0,6,8,6,78
1.0,6,8,7,79
1.0,6,8,8,79
1.0,6,8,9,79
1.0,6,8,10,79
1.0,6,8,11,79
1.0,6,8,12,79
1.0,6,8,13,80
1.0,6,8,14,80
1.0,6,8,15,80
1.0,6,9,6,79
1.0,6,9,7,79
1.0,6,9,8,79
1.0,6,9,9,79
1.0,6,9,10,79
1.0,6,9,11,79
1.0,6,9,12,80
1.0,6,9,13,80
1.0,6,9,14,80
1.0,6,9,15,80
1.0,6,10,6,79
1.0,6,10,7,79
1.0,6,10,8,79
1.0,6,10,9,79
1.0,6,10,10,79
1.0,6,10,11,80
1.0,6,10,12,80
1.0,6,10,13,80
1.0,6,10,14,80
1.0,6,10,15,80
1.0,6,11,6,79
1.0,6,11,7,79
1.0,6,11,8,79
1.0,6,11,9,79
1.0,6,11,10,80
1.0,6,11,11,80
1.0,6,11,12,80
1.0,6,11,13,80
1.0,6,11,14,80
1.0,6,11,15,80
1.0,6,12,6,79
1.0,6,12,7,79
1.0,6,12,8,79
1.0,6,12,9,79
1.0,6,12,10,80
1.0,6,12,11,80
1.0,6,12,12,80
1.0,6,12,13,80
1.0,6,12,14,80
1.0,6,12,15,81
1.0,6,13,6,79
1.0,6,13,7,79
1.0,6,13,8,79
1.0,6,13,9,80
1.0,6,13,10,80
1.0,6,13,11,80
1.0,6,13,12,80
1.0,6,13,13,80
1.0,6,13,14,80
1.0,6,13,15,81
1.0,6,14,6,79
1.0,6,14,7,79
1.0,6,14,8,80
1.0,6,14,9,80
1.0,6,14,10,80
1.0,6,14,11,80
1.0,6,14,12,80
1.0,6,14,13,80
1.0,6,14,14,81
1.0,6,14,15,81
1.0,6,15,6,79
1.0,6,15,7,80
1.0,6,15,8,80
1.0,6,15,9,80
1.0,6,15,10,80
1.0,6,15,11,80
1.0,6,15,12,80
1.0,6,15,13,81
1.0,6,15,14,81
1.0,6,15,15,81
1.0,7,6,6,78
1.0,7,6,7,78
1.0,7,6,8,79
1.0,7,6,9,79
1.0,7,6,10,79
1.0,7,6,11,79
1.0,7,6,12,79
1.0,7,6,13,80
1.0,7,6,14,80
1.0,7,6,15,80
1.0,7,7,6,78
1.0,7,7,7,79
1.0,7,7,8,79
1.0,7,7,9,79
1.0,7,7,10,79
1.0,7,7,11,79
1.0,7,7,12,79
1.0,7,7,13,80
1.0,7,7,14,80
1.0,7,7,15,80
1.0,7,8,6,79
1.0,7,8,7,79
1.0,7,8,8,79
1.0,7,8,9,79
1.0,7,8,10,79
1.0,7,8,11,79
1.0,7,8,12,80
1.0,7,8,13,80
1.0,7,8,14,80
1.0,7,8,15,80
1.0,7,9,6,79
1.0,7,9,7,79
1.0,7,9,8,79
1.0,7,9,9,79
1.0,7,9,10,79
1.0,7,9,11,80
1.0,7,9,12,80
1.0,7,9,13,80
1.0,7,9,14,80
1.0,7,9,15,80
1.0,7,10,6,79
1.0,7,10,7,79
1.0,7,10,8,79
1.0,7,10,9,79
1.0,7,10,10,80
1.0,7,10,11,80
1.0,7,10,12,80
1.0,7,10,13,80
1.0,7,10,14,80
1.0,7,10,15,80
1.0,7,11,6,79
1.0,7,11,7,79
1.0,7,11,8,79
1.0,7,11,9,80
1.0,7,11,10,80
1.0,7,11,11,80
1.0,7,11,12,80
1.0,7,11,13,80
1.0,7,11,14,80
1.0,7,11,15,81
1.0,7,12,6,79
1.0,7,12,7,79
1.0,7,12,8,80
1.0,7,12,9,80
1.0,7,12,10,80
1.0,7,12,11,80
1.0,7,12,12,80
1.0,7,12,13,80
1.0,7,12,14,81
1.0,7,12,15,81
1.0,7,13,6,79
1.0,7,13,7,79
1.0,7,13,8,80
1.0,7,13,9,80
1.0,7,13,10,80
1.0,7,13,11,80
1.0,7,13,12,80
1.0,7,13,13,81
1.0,7,13,14,81
1.0,7,13,15,81
1.0,7,14,6,79
1.0,7,14,7,80
1.0,7,14,8,80
1.0,7,14,9,80
1.0,7,14,10,80
1.0,7,14,11,80
1.0,7,14,12,81
1.0,7,14,13,81
1.0,7,14,14,81
1.0,7,14,15,81
1.0,7,15,6,80
1.0,7,15,7,80
1.0,7,15,8,80
1.0,7,15,9,80
1.0,7,15,10,80
1.0,7,15,11,80
1.0,7,15,12,81
1.0,7,15,13,81
1.0,7,15,14,81
1.0,7,15,15,81
1.0,8,6,6,79
1.0,8,6,7,79
1.0,8,6,8,79
1.0,8,6,9,79
1.0,8,6,10,79
1.0,8,6,11,79
1.0,8,6,12,80
1.0,8,6,13,80
1.0,8,6,14,80
1.0,8,6,15,80
1.0,8,7,6,79
1.0,8,7,7,79
1.0,8,7,8,79
1.0,8,7,9,79
1.0,8,7,10,79
1.0,8,7,11,80
1.0,8,7,12,80
1.0,8,7,13,80
1.0,8,7,14,80
1.0,8,7,15,80
1.0,8,8,6,79
1.0,8,8,7,79
1.0,8,8,8,79
1.0,8,8,9,79
1.0,8,8,10,80
1.0,8,8,11,80
1.0,8,8,12,80
1.0,8,8,13,80
1.0,8,8,14,80
1.0,8,8,15,80
1.0,8,9,6,79
1.0,8,9,7,79
1.0,8,9,8,79
1.0,8,9,9,79
1.0,8,9,10,80
1.0,8,9,11,80
1.0,8,9,12,80
1.0,8,9,13,80
1.0,8,9,14,80
1.0,8,9,15,81
1.0,8,10,6,79
1.0,8,10,7,79
1.0,8,10,8,79
1.0,8,10,9,80
1.0,8,10,10,80
1.0,8,10,11,80
1.0,8,10,12,80
1.0,8,10,13,80
1.0,8,10,14,81
1.0,8,10,15,81
1.0,8,11,6,79
1.0,8,11,7,79
1.0,8,11,8,80
1.0,8,11,9,80
1.0,8,11,10,80
1.0,8,11,11,80
1.0,8,11,12,80
1.0,8,11,13,80
1.0,8,11,14,81
