level,attack,defense,stamina,cp
1.0,6,6,6,60
1.0,6,6,7,60
1.0,6,6,8,61
1.0,6,6,9,61
1.0,6,6,10,61
1.0,6,6,11,61
1.0,6,6,12,61
1.0,6,6,13,61
1.0,6,6,14,61
1.0,6,6,15,61
1.0,6,7,6,60
1.0,6,7,7,61
1.0,6,7,8,61
1.0,6,7,9,61
1.0,6,7,10,61
1.0,6,7,11,61
1.0,6,7,12,61
1.0,6,7,13,61
1.0,6,7,14,61
1.0,6,7,15,62
1.0,6,8,6,61
1.0,6,8,7,61
1.0,6,8,8,61
1.0,6,8,9,61
1.0,6,8,10,61
1.0,6,8,11,61
1.0,6,8,12,61
1.0,6,8,13,61
1.0,6,8,14,62
1.0,6,8,15,62
1.0,6,9,6,61
1.0,6,9,7,61
1.0,6,9,8,61
1.0,6,9,9,61
1.0,6,9,10,61
1.0,6,9,11,61
1.0,6,9,12,62
1.0,6,9,13,62
1.0,6,9,14,62
1.0,6,9,15,62
1.0,6,10,6,61
1.0,6,10,7,61
1.0,6,10,8,61
1.0,6,10,9,61
1.0,6,10,10,61
1.0,6,10,11,62
1.0,6,10,12,62
1.0,6,10,13,62
1.0,6,10,14,62
1.0,6,10,15,62
1.0,6,11,6,61
1.0,6,11,7,61
1.0,6,11,8,61
1.0,6,11,9,61
1.0,6,11,10,62
1.0,6,11,11,62
1.0,6,11,12,62
1.0,6,11,13,62
1.0,6,11,14,62
1.0,6,11,15,62
1.0,6,12,6,61
1.0,6,12,7,61
1.0,6,12,8,62
1.0,6,12,9,62
1.0,6,12,10,62
1.0,6,12,11,62
1.0,6,12,12,62
1.0,6,12,13,62
1.0,6,12,14,62
1.0,6,12,15,62
1.0,6,13,6,61
1.0,6,13,7,62
1.0,6,13,8,62
1.0,6,13,9,62
1.0,6,13,10,62
1.0,6,13,11,62
1.0,6,13,12,62
1.0,6,13,13,62
1.0,6,13,14,62
1.0,6,13,15,63
1.0,6,14,6,62
1.0,6,14,7,62
1.0,6,14,8,62
1.0,6,14,9,62
1.0,6,14,10,62
1.0,6,14,11,62
1.0,6,14,12,62
1.0,6,14,13,62
1.0,6,14,14,63
1.0,6,14,15,63
1.0,6,15,6,62
1.0,6,15,7,62
1.0,6,15,8,62
1.0,6,15,9,62
1.0,6,15,10,62
1.0,6,15,11,62
1.0,6,15,12,62
1.0,6,15,13,63
