level,attack,defense,stamina,cp
1.0,6,6,6,15
1.0,6,6,7,15
1.0,6,6,8,15
1.0,6,6,9,15
1.0,6,6,10,15
1.0,6,6,11,16
1.0,6,6,12,16
1.0,6,6,13,16
1.0,6,6,14,16
1.0,6,6,15,16
1.0,6,7,6,15
1.0,6,7,7,15
1.0,6,7,8,15
1.0,6,7,9,16
1.0,6,7,10,16
1.0,6,7,11,16
1.0,6,7,12,16
1.0,6,7,13,16
1.0,6,7,14,16
1.0,6,7,15,16
1.0,6,8,6,15
1.0,6,8,7,16
1.0,6,8,8,16
1.0,6,8,9,16
1.0,6,8,10,16
1.0,6,8,11,16
1.0,6,8,12,16
1.0,6,8,13,16
1.0,6,8,14,16
1.0,6,8,15,16
1.0,6,9,6,16
1.0,6,9,7,16
1.0,6,9,8,16
1.0,6,9,9,16
1.0,6,9,10,16
1.0,6,9,11,16
1.0,6,9,12,16
1.0,6,9,13,16
1.0,6,9,14,16
1.0,6,9,15,16
1.0,6,10,6,16
1.0,6,10,7,16
1.0,6,10,8,16
1.0,6,10,9,16
1.0,6,10,10,16
1.0,6,10,11,16
1.0,6,10,12,16
1.0,6,10,13,16
1.0,6,10,14,16
1.0,6,10,15,16
1.0,6,11,6,16
1.0,6,11,7,16
1.0,6,11,8,16
1.0,6,11,9,16
1.0,6,11,10,16
1.0,6,11,11,16
1.0,6,11,12,16
1.0,6,11,13,16
1.0,6,11,14,16
1.0,6,11,15,16
1.0,6,12,6,16
1.0,6,12,7,16
1.0,6,12,8,16
1.0,6,12,9,16
1.0,6,12,10,16
1.0,6,12,11,16
1.0,6,12,12,16
1.0,6,12,13,16
1.0,6,12,14,16
1.0,6,12,15,16
1.0,6,13,6,16
1.0,6,13,7,16
1.0,6,13,8,16
1.0,6,13,9,16
1.0,6,13,10,16
1.0,6,13,11,16
1.0,6,13,12,16
1.0,6,13,13,16
1.0,6,13,14,16
1.0,6,13,15,16
1.0,6,14,6,16
1.0,6,14,7,16
1.0,6,14,8,16
1.0,6,14,9,16
1.0,6,14,10,16
1.0,6,14,11,16
1.0,6,14,12,16
1.0,6,14,13,16
1.0,6,14,14,16
1.0,6,14,15,16
1.0,6,15,6,16
1.0,6,15,7,16
1.0,6,15,8,16
1.0,6,15,9,16
1.0,6,15,10,16
1.0,6,15,11,16
1.0,6,15,12,16
1.0,6,15,13,16
1.0,6,15,14,16
1.0,6,15,15,17
1.0,7,6,6,15
1.0,7,6,7,15
1.0,7,6,8,16
1.0,7,6,9,16
1.0,7,6,10,16
1.0,7,6,11,16
1.0,7,6,12,16
1.0,7,6,13,16
1.0,7,6,14,16
1.0,7,6,15,16
1.0,7,7,6,16
1.0,7,7,7,16
1.0,7,7,8,16
1.0,7,7,9,16
1.0,7,7,10,16
1.0,7,7,11,16
1.0,7,7,12,16
1.0,7,7,13,16
1.0,7,7,14,16
1.0,7,7,15,16
1.0,7,8,6,16
1.0,7,8,7,16
