level,attack,defense,stamina,cp
1.0,0,0,0,15
1.0,0,0,1,15
1.0,0,0,2,15
1.0,0,0,3,15
1.0,0,0,4,15
1.0,0,0,5,15
1.0,0,0,6,15
1.0,0,0,7,16
1.0,0,0,8,16
1.0,0,0,9,16
1.0,0,0,10,16
1.0,0,0,11,16
1.0,0,0,12,16
1.0,0,0,13,16
1.0,0,0,14,16
1.0,0,0,15,16
1.0,0,1,0,15
1.0,0,1,1,15
1.0,0,1,2,15
1.0,0,1,3,15
1.0,0,1,4,15
1.0,0,1,5,15
1.0,0,1,6,16
1.0,0,1,7,16
1.0,0,1,8,16
1.0,0,1,9,16
1.0,0,1,10,16
1.0,0,1,11,16
1.0,0,1,12,16
1.0,0,1,13,16
1.0,0,1,14,16
1.0,0,1,15,16
1.0,0,2,0,15
1.0,0,2,1,15
1.0,0,2,2,15
1.0,0,2,3,15
1.0,0,2,4,15
1.0,0,2,5,16
1.0,0,2,6,16
1.0,0,2,7,16
1.0,0,2,8,16
1.0,0,2,9,16
1.0,0,2,10,16
1.0,0,2,11,16
1.0,0,2,12,16
1.0,0,2,13,16
1.0,0,2,14,16
1.0,0,2,15,16
1.0,0,3,0,15
1.0,0,3,1,15
1.0,0,3,2,15
1.0,0,3,3,15
1.0,0,3,4,15
1.0,0,3,5,16
1.0,0,3,6,16
1.0,0,3,7,16
1.0,0,3,8,16
1.0,0,3,9,16
1.0,0,3,10,16
1.0,0,3,11,16
1.0,0,3,12,16
1.0,0,3,13,16
1.0,0,3,14,16
1.0,0,3,15,16
1.0,0,4,0,15
1.0,0,4,1,15
1.0,0,4,2,15
1.0,0,4,3,15
1.0,0,4,4,16
1.0,0,4,5,16
1.0,0,4,6,16
1.0,0,4,7,16
1.0,0,4,8,16
1.0,0,4,9,16
1.0,0,4,10,16
1.0,0,4,11,16
1.0,0,4,12,16
1.0,0,4,13,16
1.0,0,4,14,16
1.0,0,4,15,16
1.0,0,5,0,15
1.0,0,5,1,15
1.0,0,5,2,15
1.0,0,5,3,16
1.0,0,5,4,16
1.0,0,5,5,16
1.0,0,5,6,16
1.0,0,5,7,16
1.0,0,5,8,16
1.0,0,5,9,16
1.0,0,5,10,16
1.0,0,5,11,16
1.0,0,5,12,16
1.0,0,5,13,16
1.0,0,5,14,16
1.0,0,5,15,17
1.0,0,6,0,15
1.0,0,6,1,15
1.0,0,6,2,16
1.0,0,6,3,16
1.0,0,6,4,16
1.0,0,6,5,16
1.0,0,6,6,16
1.0,0,6,7,16
1.0,0,6,8,16
1.0,0,6,9,16
1.0,0,6,10,16
1.0,0,6,11,16
1.0,0,6,12,16
1.0,0,6,13,16
1.0,0,6,14,16
1.0,0,6,15,17
1.0,0,7,0,15
1.0,0,7,1,15
1.0,0,7,2,16
1.0,0,7,3,16
1.0,0,7,4,16
1.0,0,7,5,16
1.0,0,7,6,16
1.0,0,7,7,16
1.0,0,7,8,16
1.0,0,7,9,16
1.0,0,7,10,16
1.0,0,7,11,16
1.0,0,7,12,16
1.0,0,7,13,16
1.0,0,7,14,17
1.0,0,7,15,17
1.0,0,8,0,15
1.0,0,8,1,16
1.0,0,8,2,16
1.0,0,8,3,16
1.0,0,8,4,16
1.0,0,8,5,16
1.0,0,8,6,16
