level,attack,defense,stamina,cp
1.0,0,0,0,41
1.0,0,0,1,41
1.0,0,0,2,41
1.0,0,0,3,41
1.0,0,0,4,41
1.0,0,0,5,41
1.0,0,0,6,41
1.0,0,0,7,41
1.0,0,0,8,41
1.0,0,0,9,41
1.0,0,0,10,41
1.0,0,0,11,41
1.0,0,0,12,42
1.0,0,0,13,42
1.0,0,0,14,42
1.0,0,0,15,42
1.0,0,1,0,41
1.0,0,1,1,41
1.0,0,1,2,41
1.0,0,1,3,41
1.0,0,1,4,41
1.0,0,1,5,41
1.0,0,1,6,41
1.0,0,1,7,41
1.0,0,1,8,41
1.0,0,1,9,41
1.0,0,1,10,42
1.0,0,1,11,42
1.0,0,1,12,42
1.0,0,1,13,42
1.0,0,1,14,42
1.0,0,1,15,42
1.0,0,2,0,41
1.0,0,2,1,41
1.0,0,2,2,41
1.0,0,2,3,41
1.0,0,2,4,41
1.0,0,2,5,41
1.0,0,2,6,41
1.0,0,2,7,41
1.0,0,2,8,41
1.0,0,2,9,42
1.0,0,2,10,42
1.0,0,2,11,42
1.0,0,2,12,42
1.0,0,2,13,42
1.0,0,2,14,42
1.0,0,2,15,42
1.0,0,3,0,41
1.0,0,3,1,41
1.0,0,3,2,41
1.0,0,3,3,41
1.0,0,3,4,41
1.0,0,3,5,41
1.0,0,3,6,41
1.0,0,3,7,42
1.0,0,3,8,42
1.0,0,3,9,42
1.0,0,3,10,42
1.0,0,3,11,42
1.0,0,3,12,42
1.0,0,3,13,42
1.0,0,3,14,42
1.0,0,3,15,42
1.0,0,4,0,41
1.0,0,4,1,41
1.0,0,4,2,41
1.0,0,4,3,41
1.0,0,4,4,41
1.0,0,4,5,42
1.0,0,4,6,42
1.0,0,4,7,42
1.0,0,4,8,42
1.0,0,4,9,42
1.0,0,4,10,42
1.0,0,4,11,42
1.0,0,4,12,42
1.0,0,4,13,42
1.0,0,4,14,42
1.0,0,4,15,42
1.0,0,5,0,41
1.0,0,5,1,41
1.0,0,5,2,41
1.0,0,5,3,41
1.0,0,5,4,42
1.0,0,5,5,42
1.0,0,5,6,42
1.0,0,5,7,42
1.0,0,5,8,42
1.0,0,5,9,42
1.0,0,5,10,42
1.0,0,5,11,42
1.0,0,5,12,42
1.0,0,5,13,42
1.0,0,5,14,42
1.0,0,5,15,42
1.0,0,6,0,41
1.0,0,6,1,41
1.0,0,6,2,42
1.0,0,6,3,42
1.0,0,6,4,42
1.0,0,6,5,42
1.0,0,6,6,42
1.0,0,6,7,42
1.0,0,6,8,42
1.0,0,6,9,42
1.0,0,6,10,42
1.0,0,6,11,42
1.0,0,6,12,42
1.0,0,6,13,42
1.0,0,6,14,43
1.0,0,6,15,43
1.0,0,7,0,41
1.0,0,7,1,42
1.0,0,7,2,42
1.0,0,7,3,42
1.0,0,7,4,42
1.0,0,7,5,42
1.0,0,7,6,42
1.0,0,7,7,42
1.0,0,7,8,42
1.0,0,7,9,42
1.0,0,7,10,42
1.0,0,7,11,42
1.0,0,7,12,43
1.0,0,7,13,43
1.0,0,7,14,43
1.0,0,7,15,43
1.0,0,8,0,42
1.0,0,8,1,42
1.0,0,8,2,42
1.0,0,8,3,42
1.0,0,8,4,42
1.0,0,8,5,42
1.0,0,8,6,42
1.0,0,8,7,42
1.0,0,8,8,42
1.0,0,8,9,42
1.0,0,8,10,42
1.0,0,8,11,43
1.0,0,8,12,43
1.0,0,8,13,43
1.0,0,8,14,43
1.0,0,8,15,43
1.0,0,9,0,42
1.0,0,9,1,42
1.0,0,9,2,42
1.0,0,9,3,42
1.0,0,9,4,42
1.0,0,9,5,42
1.0,0,9,6,42
1.0,0,9,7,42
1.0,0,9,8,42
1.0,0,9,9,43
1.0,0,9,10,43
1.0,0,9,11,43
1.0,0,9,12,43
1.0,0,9,13,43
1.0,0,9,14,43
1.0,0,9,15,43
1.0,0,10,0,42
1.0,0,10,1,42
1.0,0,10,2,42
1.0,0,10,3,42
1.0,0,10,4,42
1.0,0,10,5,42
1.0,0,10,6,42
1.0,0,10,7,43
1.0,0,10,8,43
1.0,0,10,9,43
1.0,0,10,10,43
1.0,0,10,11,43
1.0,0,10,12,43
1.0,0,10,13,43
1.0,0,10,14,43
1.0,0,10,15,43
1.0,0,11,0,42
1.0,0,11,1,42
1.0,0,11,2,42
1.0,0,11,3,42
1.0,0,11,4,42
1.0,0,11,5,42
1.0,0,11,6,43
1.0,0,11,7,43
1.0,0,11,8,43
1.0,0,11,9,43
1.0,0,11,10,43
1.0,0,11,11,43
1.0,0,11,12,43
1.0,0,11,13,43
1.0,0,11,14,43
1.0,0,11,15,43
1.0,0,12,0,42
1.0,0,12,1,42
1.0,0,12,2,42
1.0,0,12,3,42
1.0,0,12,4,43
1.0,0,12,5,43
1.0,0,12,6,43
1.0,0,12,7,43
1.0,0,12,8,43
1.0,0,12,9,43
1.0,0,12,10,43
1.0,0,12,11,43
1.0,0,12,12,43
1.0,0,12,13,43
1.0,0,12,14,43
1.0,0,12,15,43
1.0,0,13,0,42
1.0,0,13,1,42
1.0,0,13,2,42
1.0,0,13,3,43
1.0,0,13,4,43
1.0,0,13,5,43
1.0,0,13,6,43
1.0,0,13,7,43
1.0,0,13,8,43
1.0,0,13,9,43
1.0,0,13,10,43
1.0,0,13,11,43
1.0,0,13,12,43
1.0,0,13,13,43
1.0,0,13,14,44
1.0,0,13,15,44
1.0,0,14,0,42
1.0,0,14,1,43
1.0,0,14,2,43
1.0,0,14,3,43
1.0,0,14,4,43
1.0,0,14,5,43
1.0,0,14,6,43
1.0,0,14,7,43
1.0,0,14,8,43
1.0,0,14,9,43
1.0,0,14,10,43
1.0,0,14,11,43
1.0,0,14,12,43
1.0,0,14,13,44
1.0,0,14,14,44
1.0,0,14,15,44
1.0,0,15,0,43
1.0,0,15,1,43
1.0,0,15,2,43
1.0,0,15,3,43
