level,attack,defense,stamina,cp
1.0,0,0,0,78
1.0,0,0,1,78
1.0,0,0,2,78
1.0,0,0,3,78
1.0,0,0,4,78
1.0,0,0,5,78
1.0,0,0,6,79
1.0,0,0,7,79
1.0,0,0,8,79
1.0,0,0,9,79
1.0,0,0,10,79
1.0,0,0,11,79
1.0,0,0,12,80
1.0,0,0,13,80
1.0,0,0,14,80
1.0,0,0,15,80
1.0,0,1,0,78
1.0,0,1,1,78
1.0,0,1,2,78
1.0,0,1,3,78
1.0,0,1,4,78
1.0,0,1,5,79
1.0,0,1,6,79
1.0,0,1,7,79
1.0,0,1,8,79
1.0,0,1,9,79
1.0,0,1,10,79
1.0,0,1,11,80
1.0,0,1,12,80
1.0,0,1,13,80
1.0,0,1,14,80
1.0,0,1,15,80
1.0,0,2,0,78
1.0,0,2,1,78
1.0,0,2,2,78
1.0,0,2,3,78
1.0,0,2,4,79
1.0,0,2,5,79
1.0,0,2,6,79
1.0,0,2,7,79
1.0,0,2,8,79
1.0,0,2,9,79
1.0,0,2,10,80
1.0,0,2,11,80
1.0,0,2,12,80
1.0,0,2,13,80
1.0,0,2,14,80
1.0,0,2,15,80
1.0,0,3,0,78
1.0,0,3,1,78
1.0,0,3,2,78
1.0,0,3,3,79
1.0,0,3,4,79
1.0,0,3,5,79
1.0,0,3,6,79
1.0,0,3,7,79
1.0,0,3,8,79
1.0,0,3,9,80
1.0,0,3,10,80
1.0,0,3,11,80
1.0,0,3,12,80
1.0,0,3,13,80
1.0,0,3,14,80
1.0,0,3,15,81
1.0,0,4,0,78
1.0,0,4,1,78
1.0,0,4,2,79
1.0,0,4,3,79
1.0,0,4,4,79
1.0,0,4,5,79
1.0,0,4,6,79
1.0,0,4,7,79
1.0,0,4,8,80
1.0,0,4,9,80
1.0,0,4,10,80
1.0,0,4,11,80
1.0,0,4,12,80
1.0,0,4,13,80
1.0,0,4,14,81
1.0,0,4,15,81
1.0,0,5,0,78
1.0,0,5,1,79
1.0,0,5,2,79
1.0,0,5,3,79
1.0,0,5,4,79
1.0,0,5,5,79
1.0,0,5,6,79
1.0,0,5,7,80
1.0,0,5,8,80
1.0,0,5,9,80
1.0,0,5,10,80
1.0,0,5,11,80
1.0,0,5,12,81
1.0,0,5,13,81
1.0,0,5,14,81
1.0,0,5,15,81
1.0,0,6,0,79
1.0,0,6,1,79
1.0,0,6,2,79
1.0,0,6,3,79
1.0,0,6,4,79
1.0,0,6,5,80
1.0,0,6,6,80
1.0,0,6,7,80
1.0,0,6,8,80
1.0,0,6,9,80
1.0,0,6,10,80
1.0,0,6,11,81
1.0,0,6,12,81
1.0,0,6,13,81
1.0,0,6,14,81
1.0,0,6,15,81
1.0,0,7,0,79
1.0,0,7,1,79
1.0,0,7,2,79
1.0,0,7,3,79
1.0,0,7,4,80
1.0,0,7,5,80
1.0,0,7,6,80
1.0,0,7,7,80
1.0,0,7,8,80
1.0,0,7,9,80
1.0,0,7,10,81
1.0,0,7,11,81
1.0,0,7,12,81
1.0,0,7,13,81
1.0,0,7,14,81
1.0,0,7,15,81
1.0,0,8,0,79
1.0,0,8,1,79
1.0,0,8,2,79
1.0,0,8,3,80
1.0,0,8,4,80
1.0,0,8,5,80
1.0,0,8,6,80
1.0,0,8,7,80
1.0,0,8,8,80
1.0,0,8,9,81
1.0,0,8,10,81
1.0,0,8,11,81
1.0,0,8,12,81
1.0,0,8,13,81
1.0,0,8,14,81
1.0,0,8,15,82
1.0,0,9,0,79
1.0,0,9,1,79
1.0,0,9,2,80
1.0,0,9,3,80
1.0,0,9,4,80
1.0,0,9,5,80
1.0,0,9,6,80
1.0,0,9,7,80
1.0,0,9,8,81
1.0,0,9,9,81
1.0,0,9,10,81
1.0,0,9,11,81
1.0,0,9,12,81
1.0,0,9,13,81
1.0,0,9,14,82
1.0,0,9,15,82
1.0,0,10,0,79
1.0,0,10,1,80
1.0,0,10,2,80
1.0,0,10,3,80
1.0,0,10,4,80
1.0,0,10,5,80
1.0,0,10,6,80
1.0,0,10,7,81
1.0,0,10,8,81
1.0,0,10,9,81
1.0,0,10,10,81
1.0,0,10,11,81
1.0,0,10,12,81
1.0,0,10,13,82
1.0,0,10,14,82
1.0,0,10,15,82
1.0,0,11,0,80
1.0,0,11,1,80
1.0,0,11,2,80
1.0,0,11,3,80
1.0,0,11,4,80
1.0,0,11,5,80
1.0,0,11,6,81
1.0,0,11,7,81
1.0,0,11,8,81
1.0,0,11,9,81
1.0,0,11,10,81
1.0,0,11,11,81
1.0,0,11,12,82
1.0,0,11,13,82
1.0,0,11,14,82
1.0,0,11,15,82
1.0,0,12,0,80
1.0,0,12,1,80
1.0,0,12,2,80
1.0,0,12,3,80
1.0,0,12,4,80
1.0,0,12,5,81
1.0,0,12,6,81
1.0,0,12,7,81
1.0,0,12,8,81
1.0,0,12,9,81
1.0,0,12,10,81
1.0,0,12,11,82
1.0,0,12,12,82
1.0,0,12,13,82
1.0,0,12,14,82
1.0,0,12,15,82
1.0,0,13,0,80
1.0,0,13,1,80
1.0,0,13,2,80
1.0,0,13,3,80
1.0,0,13,4,81
1.0,0,13,5,81
1.0,0,13,6,81
1.0,0,13,7,81
1.0,0,13,8,81
1.0,0,13,9,81
1.0,0,13,10,82
1.0,0,13,11,82
1.0,0,13,12,82
1.0,0,13,13,82
1.0,0,13,14,82
1.0,0,13,15,82
1.0,0,14,0,80
1.0,0,14,1,80
1.0,0,14,2,80
1.0,0,14,3,81
1.0,0,14,4,81
1.0,0,14,5,81
1.0,0,14,6,81
1.0,0,14,7,81
1.0,0,14,8,81
1.0,0,14,9,82
1.0,0,14,10,82
1.0,0,14,11,82
1.0,0,14,12,82
1.0,0,14,13,82
1.0,0,14,14,82
1.0,0,14,15,83
1.0,0,15,0,80
1.0,0,15,1,80
1.0,0,15,2,81
1.0,0,15,3,81
1.0,0,15,4,81
1.0,0,15,5,81
1.0,0,15,6,81
1.0,0,15,7,81
1.0,0,15,8,82
1.0,0,15,9,82
1.0,0,15,10,82
1.0,0,15,11,82
1.0,0,15,12,82
1.0,0,15,13,83
1.0,0,15,14,83
1.0,0,15,15,83
1.0,1,0,0,78
1.0,1,0,1,78
1.0,1,0,2,78
1.0,1,0,3,78
1.0,1,0,4,78
1.0,1,0,5,79
1.0,1,0,6,79
1.0,1,0,7,79
1.0,1,0,8,79
1.0,1,0,9,79
1.0,1,0,10,79
1.0,1,0,11,80
1.0,1,0,12,80
1.0,1,0,13,80
1.0,1,0,14,80
1.0,1,0,15,80
1.0,1,1,0,78
1.0,1,1,1,78
1.0,1,1,2,78
1.0,1,1,3,78
1.0,1,1,4,79
1.0,1,1,5,79
1.0,1,1,6,79
1.0,1,1,7,79
1.0,1,1,8,79
1.0,1,1,9,79
1.0,1,1,10,80
1.0,1,1,11,80
1.0,1,1,12,80
1.0,1,1,13,80
1.0,1,1,14,80
1.0,1,1,15,80
1.0,1,2,0,78
1.0,1,2,1,78
1.0,1,2,2,78
1.0,1,2,3,79
1.0,1,2,4,79
1.0,1,2,5,79
1.0,1,2,6,79
1.0,1,2,7,79
1.0,1,2,8,79
1.0,1,2,9,80
1.0,1,2,10,80
1.0,1,2,11,80
1.0,1,2,12,80
1.0,1,2,13,80
1.0,1,2,14,80
1.0,1,2,15,81
1.0,1,3,0,78
1.0,1,3,1,78
1.0,1,3,2,79
1.0,1,3,3,79
1.0,1,3,4,79
1.0,1,3,5,79
1.0,1,3,6,79
1.0,1,3,7,79
1.0,1,3,8,80
1.0,1,3,9,80
1.0,1,3,10,80
1.0,1,3,11,80
1.0,1,3,12,80
1.0,1,3,13,81
1.0,1,3,14,81
1.0,1,3,15,81
1.0,1,4,0,78
1.0,1,4,1,79
1.0,1,4,2,79
1.0,1,4,3,79
1.0,1,4,4,79
1.0,1,4,5,79
1.0,1,4,6,80
1.0,1,4,7,80
1.0,1,4,8,80
1.0,1,4,9,80
1.0,1,4,10,80
1.0,1,4,11,80
1.0,1,4,12,81
1.0,1,4,13,81
1.0,1,4,14,81
1.0,1,4,15,81
1.0,1,5,0,79
1.0,1,5,1,79
1.0,1,5,2,79
1.0,1,5,3,79
1.0,1,5,4,79
1.0,1,5,5,80
1.0,1,5,6,80
1.0,1,5,7,80
1.0,1,5,8,80
1.0,1,5,9,80
1.0,1,5,10,80
1.0,1,5,11,81
1.0,1,5,12,81
1.0,1,5,13,81
1.0,1,5,14,81
1.0,1,5,15,81
1.0,1,6,0,79
1.0,1,6,1,79
1.0,1,6,2,79
1.0,1,6,3,79
1.0,1,6,4,80
1.0,1,6,5,80
1.0,1,6,6,80
1.0,1,6,7,80
1.0,1,6,8,80
1.0,1,6,9,80
1.0,1,6,10,81
1.0,1,6,11,81
1.0,1,6,12,81
1.0,1,6,13,81
1.0,1,6,14,81
1.0,1,6,15,81
1.0,1,7,0,79
1.0,1,7,1,79
1.0,1,7,2,79
1.0,1,7,3,80
1.0,1,7,4,80
1.0,1,7,5,80
1.0,1,7,6,80
1.0,1,7,7,80
1.0,1,7,8,80
1.0,1,7,9,81
1.0,1,7,10,81
1.0,1,7,11,81
1.0,1,7,12,81
1.0,1,7,13,81
1.0,1,7,14,81
1.0,1,7,15,82
1.0,1,8,0,79
1.0,1,8,1,79
1.0,1,8,2,80
1.0,1,8,3,80
1.0,1,8,4,80
1.0,1,8,5,80
1.0,1,8,6,80
1.0,1,8,7,80
1.0,1,8,8,81
1.0,1,8,9,81
1.0,1,8,10,81
1.0,1,8,11,81
1.0,1,8,12,81
1.0,1,8,13,81
1.0,1,8,14,82
1.0,1,8,15,82
1.0,1,9,0,79
1.0,1,9,1,80
1.0,1,9,2,80
1.0,1,9,3,80
1.0,1,9,4,80
1.0,1,9,5,80
1.0,1,9,6,80
1.0,1,9,7,81
1.0,1,9,8,81
1.0,1,9,9,81
1.0,1,9,10,81
1.0,1,9,11,81
1.0,1,9,12,81
1.0,1,9,13,82
1.0,1,9,14,82
1.0,1,9,15,82
1.0,1,10,0,80
1.0,1,10,1,80
1.0,1,10,2,80
1.0,1,10,3,80
1.0,1,10,4,80
1.0,1,10,5,80
1.0,1,10,6,81
1.0,1,10,7,81
1.0,1,10,8,81
1.0,1,10,9,81
1.0,1,10,10,81
1.0,1,10,11,81
1.0,1,10,12,82
1.0,1,10,13,82
1.0,1,10,14,82
1.0,1,10,15,82
1.0,1,11,0,80
1.0,1,11,1,80
1.0,1,11,2,80
1.0,1,11,3,80
1.0,1,11,4,80
1.0,1,11,5,81
1.0,1,11,6,81
1.0,1,11,7,81
1.0,1,11,8,81
1.0,1,11,9,81
1.0,1,11,10,81
1.0,1,11,11,82
1.0,1,11,12,82
1.0,1,11,13,82
1.0,1,11,14,82
1.0,1,11,15,82
1.0,1,12,0,80
1.0,1,12,1,80
1.0,1,12,2,80
1.0,1,12,3,80
1.0,1,12,4,81
1.0,1,12,5,81
1.0,1,12,6,81
1.0,1,12,7,81
1.0,1,12,8,81
1.0,1,12,9,81
1.0,1,12,10,82
1.0,1,12,11,82
1.0,1,12,12,82
1.0,1,12,13,82
1.0,1,12,14,82
1.0,1,12,15,83
1.0,1,13,0,80
1.0,1,13,1,80
1.0,1,13,2,80
1.0,1,13,3,81
1.0,1,13,4,81
1.0,1,13,5,81
1.0,1,13,6,81
1.0,1,13,7,81
1.0,1,13,8,81
1.0,1,13,9,82
1.0,1,13,10,82
1.0,1,13,11,82
1.0,1,13,12,82
1.0,1,13,13,82
1.0,1,13,14,83
1.0,1,13,15,83
1.0,1,14,0,80
1.0,1,14,1,80
1.0,1,14,2,81
1.0,1,14,3,81
1.0,1,14,4,81
1.0,1,14,5,81
1.0,1,14,6,81
1.0,1,14,7,81
1.0,1,14,8,82
1.0,1,14,9,82
1.0,1,14,10,82
1.0,1,14,11,82
1.0,1,14,12,82
1.0,1,14,13,83
1.0,1,14,14,83
1.0,1,14,15,83
1.0,1,15,0,80
1.0,1,15,1,81
1.0,1,15,2,81
1.0,1,15,3,81
1.0,1,15,4,81
1.0,1,15,5,81
1.0,1,15,6,81
1.0,1,15,7,82
1.0,1,15,8,82
1.0,1,15,9,82
1.0,1,15,10,82
1.0,1,15,11,82
1.0,1,15,12,83
1.0,1,15,13,83
1.0,1,15,14,83
1.0,1,15,15,83
1.0,2,0,0,78
1.0,2,0,1,78
1.0,2,0,2,78
1.0,2,0,3,78
1.0,2,0,4,79
1.0,2,0,5,79
1.0,2,0,6,79
1.0,2,0,7,79
1.0,2,0,8,79
1.0,2,0,9,79
1.0,2,0,10,80
1.0,2,0,11,80
1.0,2,0,12,80
1.0,2,0,13,80
1.0,2,0,14,80
1.0,2,0,15,80
1.0,2,1,0,78
1.0,2,1,1,78
1.0,2,1,2,78
1.0,2,1,3,79
1.0,2,1,4,79
1.0,2,1,5,79
1.0,2,1,6,79
1.0,2,1,7,79
1.0,2,1,8,79
1.0,2,1,9,80
1.0,2,1,10,80
1.0,2,1,11,80
1.0,2,1,12,80
1.0,2,1,13,80
1.0,2,1,14,81
1.0,2,1,15,81
1.0,2,2,0,78
1.0,2,2,1,78
1.0,2,2,2,79
1.0,2,2,3,79
1.0,2,2,4,79
1.0,2,2,5,79
1.0,2,2,6,79
1.0,2,2,7,80
1.0,2,2,8,80
1.0,2,2,9,80
1.0,2,2,10,80
1.0,2,2,11,80
1.0,2,2,12,80
1.0,2,2,13,81
1.0,2,2,14,81
1.0,2,2,15,81
1.0,2,3,0,78
1.0,2,3,1,79
1.0,2,3,2,79
1.0,2,3,3,79
1.0,2,3,4,79
1.0,2,3,5,79
1.0,2,3,6,80
1.0,2,3,7,80
1.0,2,3,8,80
1.0,2,3,9,80
1.0,2,3,10,80
1.0,2,3,11,80
1.0,2,3,12,81
1.0,2,3,13,81
1.0,2,3,14,81
1.0,2,3,15,81
1.0,2,4,0,79
1.0,2,4,1,79
1.0,2,4,2,79
1.0,2,4,3,79
1.0,2,4,4,79
1.0,2,4,5,80
1.0,2,4,6,80
1.0,2,4,7,80
1.0,2,4,8,80
1.0,2,4,9,80
1.0,2,4,10,80
1.0,2,4,11,81
1.0,2,4,12,81
1.0,2,4,13,81
1.0,2,4,14,81
1.0,2,4,15,81
1.0,2,5,0,79
1.0,2,5,1,79
1.0,2,5,2,79
1.0,2,5,3,79
1.0,2,5,4,80
1.0,2,5,5,80
1.0,2,5,6,80
1.0,2,5,7,80
1.0,2,5,8,80
1.0,2,5,9,80
1.0,2,5,10,81
1.0,2,5,11,81
1.0,2,5,12,81
1.0,2,5,13,81
1.0,2,5,14,81
1.0,2,5,15,81
1.0,2,6,0,79
1.0,2,6,1,79
1.0,2,6,2,79
1.0,2,6,3,80
1.0,2,6,4,80
1.0,2,6,5,80
1.0,2,6,6,80
1.0,2,6,7,80
1.0,2,6,8,80
1.0,2,6,9,81
1.0,2,6,10,81
1.0,2,6,11,81
1.0,2,6,12,81
1.0,2,6,13,81
1.0,2,6,14,81
1.0,2,6,15,82
1.0,2,7,0,79
1.0,2,7,1,79
1.0,2,7,2,80
1.0,2,7,3,80
1.0,2,7,4,80
1.0,2,7,5,80
1.0,2,7,6,80
1.0,2,7,7,80
1.0,2,7,8,81
1.0,2,7,9,81
1.0,2,7,10,81
1.0,2,7,11,81
1.0,2,7,12,81
1.0,2,7,13,81
1.0,2,7,14,82
1.0,2,7,15,82
1.0,2,8,0,79
1.0,2,8,1,80
1.0,2,8,2,80
1.0,2,8,3,80
1.0,2,8,4,80
1.0,2,8,5,80
1.0,2,8,6,80
1.0,2,8,7,81
1.0,2,8,8,81
1.0,2,8,9,81
1.0,2,8,10,81
1.0,2,8,11,81
1.0,2,8,12,81
1.0,2,8,13,82
1.0,2,8,14,82
1.0,2,8,15,82
1.0,2,9,0,80
1.0,2,9,1,80
1.0,2,9,2,80
1.0,2,9,3,80
1.0,2,9,4,80
1.0,2,9,5,80
1.0,2,9,6,81
1.0,2,9,7,81
1.0,2,9,8,81
1.0,2,9,9,81
1.0,2,9,10,81
1.0,2,9,11,81
1.0,2,9,12,82
1.0,2,9,13,82
1.0,2,9,14,82
1.0,2,9,15,82
1.0,2,10,0,80
1.0,2,10,1,80
1.0,2,10,2,80
1.0,2,10,3,80
1.0,2,10,4,80
1.0,2,10,5,81
1.0,2,10,6,81
1.0,2,10,7,81
1.0,2,10,8,81
1.0,2,10,9,81
1.0,2,10,10,81
1.0,2,10,11,82
1.0,2,10,12,82
1.0,2,10,13,82
1.0,2,10,14,82
1.0,2,10,15,82
1.0,2,11,0,80
1.0,2,11,1,80
1.0,2,11,2,80
1.0,2,11,3,80
1.0,2,11,4,81
1.0,2,11,5,81
1.0,2,11,6,81
1.0,2,11,7,81
1.0,2,11,8,81
1.0,2,11,9,82
1.0,2,11,10,82
1.0,2,11,11,82
1.0,2,11,12,82
1.0,2,11,13,82
1.0,2,11,14,82
1.0,2,11,15,83
1.0,2,12,0,80
1.0,2,12,1,80
1.0,2,12,2,80
1.0,2,12,3,81
1.0,2,12,4,81
1.0,2,12,5,81
1.0,2,12,6,81
1.0,2,12,7,81
1.0,2,12,8,82
1.0,2,12,9,82
1.0,2,12,10,82
1.0,2,12,11,82
1.0,2,12,12,82
1.0,2,12,13,82
1.0,2,12,14,83
1.0,2,12,15,83
1.0,2,13,0,80
1.0,2,13,1,80
1.0,2,13,2,81
1.0,2,13,3,81
1.0,2,13,4,81
1.0,2,13,5,81
1.0,2,13,6,81
1.0,2,13,7,82
1.0,2,13,8,82
1.0,2,13,9,82
1.0,2,13,10,82
1.0,2,13,11,82
1.0,2,13,12,82
1.0,2,13,13,83
1.0,2,13,14,83
1.0,2,13,15,83
1.0,2,14,0,80
1.0,2,14,1,81
1.0,2,14,2,81
1.0,2,14,3,81
1.0,2,14,4,81
1.0,2,14,5,81
1.0,2,14,6,82
1.0,2,14,7,82
1.0,2,14,8,82
1.0,2,14,9,82
1.0,2,14,10,82
1.0,2,14,11,82
1.0,2,14,12,83
1.0,2,14,13,83
1.0,2,14,14,83
1.0,2,14,15,83
1.0,2,15,0,81
1.0,2,15,1,81
1.0,2,15,2,81
1.0,2,15,3,81
1.0,2,15,4,81
1.0,2,15,5,82
1.0,2,15,6,82
