level,attack,defense,stamina,cp
1.0,0,0,0,82
1.0,0,0,1,82
1.0,0,0,2,82
1.0,0,0,3,82
1.0,0,0,4,83
1.0,0,0,5,83
1.0,0,0,6,83
1.0,0,0,7,83
1.0,0,0,8,83
1.0,0,0,9,83
1.0,0,0,10,84
1.0,0,0,11,84
1.0,0,0,12,84
1.0,0,0,13,84
1.0,0,0,14,84
1.0,0,0,15,84
1.0,0,1,0,82
1.0,0,1,1,82
1.0,0,1,2,82
1.0,0,1,3,83
1.0,0,1,4,83
1.0,0,1,5,83
1.0,0,1,6,83
1.0,0,1,7,83
1.0,0,1,8,83
1.0,0,1,9,84
1.0,0,1,10,84
1.0,0,1,11,84
1.0,0,1,12,84
1.0,0,1,13,84
1.0,0,1,14,84
1.0,0,1,15,85
1.0,0,2,0,82
1.0,0,2,1,82
1.0,0,2,2,83
1.0,0,2,3,83
1.0,0,2,4,83
1.0,0,2,5,83
1.0,0,2,6,83
1.0,0,2,7,83
1.0,0,2,8,84
1.0,0,2,9,84
1.0,0,2,10,84
1.0,0,2,11,84
1.0,0,2,12,84
1.0,0,2,13,84
1.0,0,2,14,85
1.0,0,2,15,85
1.0,0,3,0,82
1.0,0,3,1,83
1.0,0,3,2,83
1.0,0,3,3,83
1.0,0,3,4,83
1.0,0,3,5,83
1.0,0,3,6,83
1.0,0,3,7,84
1.0,0,3,8,84
1.0,0,3,9,84
1.0,0,3,10,84
1.0,0,3,11,84
1.0,0,3,12,84
1.0,0,3,13,85
1.0,0,3,14,85
1.0,0,3,15,85
1.0,0,4,0,83
1.0,0,4,1,83
1.0,0,4,2,83
1.0,0,4,3,83
1.0,0,4,4,83
1.0,0,4,5,83
1.0,0,4,6,84
1.0,0,4,7,84
1.0,0,4,8,84
1.0,0,4,9,84
1.0,0,4,10,84
1.0,0,4,11,84
1.0,0,4,12,85
1.0,0,4,13,85
1.0,0,4,14,85
1.0,0,4,15,85
1.0,0,5,0,83
1.0,0,5,1,83
1.0,0,5,2,83
1.0,0,5,3,83
1.0,0,5,4,83
1.0,0,5,5,84
1.0,0,5,6,84
1.0,0,5,7,84
1.0,0,5,8,84
1.0,0,5,9,84
1.0,0,5,10,85
1.0,0,5,11,85
1.0,0,5,12,85
1.0,0,5,13,85
1.0,0,5,14,85
1.0,0,5,15,85
1.0,0,6,0,83
1.0,0,6,1,83
1.0,0,6,2,83
1.0,0,6,3,83
1.0,0,6,4,84
1.0,0,6,5,84
1.0,0,6,6,84
1.0,0,6,7,84
1.0,0,6,8,84
1.0,0,6,9,85
1.0,0,6,10,85
1.0,0,6,11,85
1.0,0,6,12,85
1.0,0,6,13,85
1.0,0,6,14,85
1.0,0,6,15,86
1.0,0,7,0,83
1.0,0,7,1,83
1.0,0,7,2,83
1.0,0,7,3,84
1.0,0,7,4,84
1.0,0,7,5,84
1.0,0,7,6,84
1.0,0,7,7,84
1.0,0,7,8,85
1.0,0,7,9,85
1.0,0,7,10,85
1.0,0,7,11,85
1.0,0,7,12,85
1.0,0,7,13,85
1.0,0,7,14,86
1.0,0,7,15,86
1.0,0,8,0,83
1.0,0,8,1,83
1.0,0,8,2,84
1.0,0,8,3,84
1.0,0,8,4,84
1.0,0,8,5,84
1.0,0,8,6,84
1.0,0,8,7,85
1.0,0,8,8,85
1.0,0,8,9,85
1.0,0,8,10,85
1.0,0,8,11,85
1.0,0,8,12,85
1.0,0,8,13,86
1.0,0,8,14,86
1.0,0,8,15,86
1.0,0,9,0,83
1.0,0,9,1,84
1.0,0,9,2,84
1.0,0,9,3,84
1.0,0,9,4,84
1.0,0,9,5,84
1.0,0,9,6,85
1.0,0,9,7,85
1.0,0,9,8,85
1.0,0,9,9,85
1.0,0,9,10,85
1.0,0,9,11,85
1.0,0,9,12,86
1.0,0,9,13,86
1.0,0,9,14,86
1.0,0,9,15,86
1.0,0,10,0,84
1.0,0,10,1,84
1.0,0,10,2,84
1.0,0,10,3,84
1.0,0,10,4,84
1.0,0,10,5,85
1.0,0,10,6,85
1.0,0,10,7,85
1.0,0,10,8,85
1.0,0,10,9,85
1.0,0,10,10,85
1.0,0,10,11,86
1.0,0,10,12,86
1.0,0,10,13,86
1.0,0,10,14,86
1.0,0,10,15,86
1.0,0,11,0,84
1.0,0,11,1,84
1.0,0,11,2,84
1.0,0,11,3,84
1.0,0,11,4,85
1.0,0,11,5,85
1.0,0,11,6,85
1.0,0,11,7,85
1.0,0,11,8,85
1.0,0,11,9,85
1.0,0,11,10,86
1.0,0,11,11,86
1.0,0,11,12,86
1.0,0,11,13,86
1.0,0,11,14,86
1.0,0,11,15,87
1.0,0,12,0,84
1.0,0,12,1,84
1.0,0,12,2,84
1.0,0,12,3,85
1.0,0,12,4,85
1.0,0,12,5,85
1.0,0,12,6,85
1.0,0,12,7,85
1.0,0,12,8,85
1.0,0,12,9,86
