level,attack,defense,stamina,cp
1.0,6,6,6,34
1.0,6,6,7,35
1.0,6,6,8,35
1.0,6,6,9,35
1.0,6,6,10,35
1.0,6,6,11,35
1.0,6,6,12,35
1.0,6,6,13,35
1.0,6,6,14,35
1.0,6,6,15,35
1.0,6,7,6,35
1.0,6,7,7,35
1.0,6,7,8,35
1.0,6,7,9,35
1.0,6,7,10,35
1.0,6,7,11,35
1.0,6,7,12,35
1.0,6,7,13,35
1.0,6,7,14,35
1.0,6,7,15,36
1.0,6,8,6,35
1.0,6,8,7,35
1.0,6,8,8,35
1.0,6,8,9,35
1.0,6,8,10,35
1.0,6,8,11,35
1.0,6,8,12,35
1.0,6,8,13,35
1.0,6,8,14,36
1.0,6,8,15,36
1.0,6,9,6,35
1.0,6,9,7,35
1.0,6,9,8,35
1.0,6,9,9,35
1.0,6,9,10,35
1.0,6,9,11,35
1.0,6,9,12,35
1.0,6,9,13,36
1.0,6,9,14,36
1.0,6,9,15,36
1.0,6,10,6,35
1.0,6,10,7,35
1.0,6,10,8,35
1.0,6,10,9,35
1.0,6,10,10,35
1.0,6,10,11,36
1.0,6,10,12,36
1.0,6,10,13,36
1.0,6,10,14,36
1.0,6,10,15,36
1.0,6,11,6,35
1.0,6,11,7,35
1.0,6,11,8,35
1.0,6,11,9,35
1.0,6,11,10,36
1.0,6,11,11,36
1.0,6,11,12,36
1.0,6,11,13,36
1.0,6,11,14,36
1.0,6,11,15,36
1.0,6,12,6,35
1.0,6,12,7,35
1.0,6,12,8,35
1.0,6,12,9,36
1.0,6,12,10,36
1.0,6,12,11,36
1.0,6,12,12,36
1.0,6,12,13,36
1.0,6,12,14,36
1.0,6,12,15,36
1.0,6,13,6,35
1.0,6,13,7,35
1.0,6,13,8,36
1.0,6,13,9,36
1.0,6,13,10,36
1.0,6,13,11,36
1.0,6,13,12,36
1.0,6,13,13,36
1.0,6,13,14,36
1.0,6,13,15,36
1.0,6,14,6,36
1.0,6,14,7,36
1.0,6,14,8,36
1.0,6,14,9,36
1.0,6,14,10,36
1.0,6,14,11,36
1.0,6,14,12,36
1.0,6,14,13,36
1.0,6,14,14,36
1.0,6,14,15,36
1.0,6,15,6,36
1.0,6,15,7,36
1.0,6,15,8,36
1.0,6,15,9,36
1.0,6,15,10,36
1.0,6,15,11,36
1.0,6,15,12,36
1.0,6,15,13,36
1.0,6,15,14,36
1.0,6,15,15,37
1.0,7,6,6,35
1.0,7,6,7,35
1.0,7,6,8,35
1.0,7,6,9,35
1.0,7,6,10,35
1.0,7,6,11,35
1.0,7,6,12,35
1.0,7,6,13,35
1.0,7,6,14,35
1.0,7,6,15,36
1.0,7,7,6,35
1.0,7,7,7,35
1.0,7,7,8,35
1.0,7,7,9,35
1.0,7,7,10,35
1.0,7,7,11,35
1.0,7,7,12,35
1.0,7,7,13,35
1.0,7,7,14,36
1.0,7,7,15,36
1.0,7,8,6,35
1.0,7,8,7,35
1.0,7,8,8,35
1.0,7,8,9,35
1.0,7,8,10,35
1.0,7,8,11,35
