level,attack,defense,stamina,cp
1.0,6,6,6,19
1.0,6,6,7,19
1.0,6,6,8,19
1.0,6,6,9,19
1.0,6,6,10,19
1.0,6,6,11,19
1.0,6,6,12,19
1.0,6,6,13,19
1.0,6,6,14,19
1.0,6,6,15,19
1.0,6,7,6,19
1.0,6,7,7,19
1.0,6,7,8,19
1.0,6,7,9,19
1.0,6,7,10,19
1.0,6,7,11,19
1.0,6,7,12,19
1.0,6,7,13,19
1.0,6,7,14,19
1.0,6,7,15,19
1.0,6,8,6,19
1.0,6,8,7,19
1.0,6,8,8,19
1.0,6,8,9,19
1.0,6,8,10,19
1.0,6,8,11,19
1.0,6,8,12,19
1.0,6,8,13,19
1.0,6,8,14,19
1.0,6,8,15,19
1.0,6,9,6,19
1.0,6,9,7,19
1.0,6,9,8,19
1.0,6,9,9,19
1.0,6,9,10,19
1.0,6,9,11,19
1.0,6,9,12,19
1.0,6,9,13,19
1.0,6,9,14,19
1.0,6,9,15,20
1.0,6,10,6,19
1.0,6,10,7,19
1.0,6,10,8,19
1.0,6,10,9,19
1.0,6,10,10,19
1.0,6,10,11,19
1.0,6,10,12,19
1.0,6,10,13,19
1.0,6,10,14,20
1.0,6,10,15,20
1.0,6,11,6,19
1.0,6,11,7,19
1.0,6,11,8,19
1.0,6,11,9,19
1.0,6,11,10,19
1.0,6,11,11,19
1.0,6,11,12,19
1.0,6,11,13,20
1.0,6,11,14,20
1.0,6,11,15,20
1.0,6,12,6,19
1.0,6,12,7,19
1.0,6,12,8,19
1.0,6,12,9,19
1.0,6,12,10,19
1.0,6,12,11,19
1.0,6,12,12,19
1.0,6,12,13,20
1.0,6,12,14,20
1.0,6,12,15,20
1.0,6,13,6,19
1.0,6,13,7,19
1.0,6,13,8,19
1.0,6,13,9,19
1.0,6,13,10,19
1.0,6,13,11,19
1.0,6,13,12,20
1.0,6,13,13,20
1.0,6,13,14,20
1.0,6,13,15,20
1.0,6,14,6,19
1.0,6,14,7,19
1.0,6,14,8,19
1.0,6,14,9,19
1.0,6,14,10,19
1.0,6,14,11,20
1.0,6,14,12,20
1.0,6,14,13,20
1.0,6,14,14,20
1.0,6,14,15,20
1.0,6,15,6,19
1.0,6,15,7,19
1.0,6,15,8,19
1.0,6,15,9,19
1.0,6,15,10,20
1.0,6,15,11,20
1.0,6,15,12,20
1.0,6,15,13,20
1.0,6,15,14,20
1.0,6,15,15,20
1.0,7,6,6,19
1.0,7,6,7,19
1.0,7,6,8,19
1.0,7,6,9,19
1.0,7,6,10,19
1.0,7,6,11,19
1.0,7,6,12,19
1.0,7,6,13,19
1.0,7,6,14,19
1.0,7,6,15,20
1.0,7,7,6,19
1.0,7,7,7,19
1.0,7,7,8,19
1.0,7,7,9,19
1.0,7,7,10,19
1.0,7,7,11,19
1.0,7,7,12,19
1.0,7,7,13,19
1.0,7,7,14,20
1.0,7,7,15,20
1.0,7,8,6,19
1.0,7,8,7,19
1.0,7,8,8,19
1.0,7,8,9,19
1.0,7,8,10,19
1.0,7,8,11,19
1.0,7,8,12,19
1.0,7,8,13,20
1.0,7,8,14,20
1.0,7,8,15,20
1.0,7,9,6,19
1.0,7,9,7,19
1.0,7,9,8,19
1.0,7,9,9,19
1.0,7,9,10,19
1.0,7,9,11,19
1.0,7,9,12,20
1.0,7,9,13,20
1.0,7,9,14,20
1.0,7,9,15,20
1.0,7,10,6,19
1.0,7,10,7,19
1.0,7,10,8,19
1.0,7,10,9,19
1.0,7,10,10,19
