level,attack,defense,stamina,cp
1.0,6,6,6,53
1.0,6,6,7,54
1.0,6,6,8,54
1.0,6,6,9,54
1.0,6,6,10,54
1.0,6,6,11,54
1.0,6,6,12,54
1.0,6,6,13,54
1.0,6,6,14,54
1.0,6,6,15,55
1.0,6,7,6,54
1.0,6,7,7,54
1.0,6,7,8,54
1.0,6,7,9,54
1.0,6,7,10,54
1.0,6,7,11,54
1.0,6,7,12,54
1.0,6,7,13,54
1.0,6,7,14,55
1.0,6,7,15,55
1.0,6,8,6,54
1.0,6,8,7,54
1.0,6,8,8,54
1.0,6,8,9,54
1.0,6,8,10,54
1.0,6,8,11,54
1.0,6,8,12,54
1.0,6,8,13,55
1.0,6,8,14,55
1.0,6,8,15,55
1.0,6,9,6,54
1.0,6,9,7,54
1.0,6,9,8,54
1.0,6,9,9,54
1.0,6,9,10,54
1.0,6,9,11,54
1.0,6,9,12,55
1.0,6,9,13,55
1.0,6,9,14,55
1.0,6,9,15,55
1.0,6,10,6,54
1.0,6,10,7,54
1.0,6,10,8,54
1.0,6,10,9,54
1.0,6,10,10,54
1.0,6,10,11,55
1.0,6,10,12,55
1.0,6,10,13,55
1.0,6,10,14,55
1.0,6,10,15,55
1.0,6,11,6,54
1.0,6,11,7,54
1.0,6,11,8,54
1.0,6,11,9,54
1.0,6,11,10,55
1.0,6,11,11,55
1.0,6,11,12,55
1.0,6,11,13,55
1.0,6,11,14,55
1.0,6,11,15,55
1.0,6,12,6,54
1.0,6,12,7,54
1.0,6,12,8,54
1.0,6,12,9,55
1.0,6,12,10,55
1.0,6,12,11,55
1.0,6,12,12,55
1.0,6,12,13,55
1.0,6,12,14,55
1.0,6,12,15,55
1.0,6,13,6,54
1.0,6,13,7,54
1.0,6,13,8,55
1.0,6,13,9,55
1.0,6,13,10,55
1.0,6,13,11,55
1.0,6,13,12,55
1.0,6,13,13,55
1.0,6,13,14,55
1.0,6,13,15,55
1.0,6,14,6,54
1.0,6,14,7,55
1.0,6,14,8,55
1.0,6,14,9,55
1.0,6,14,10,55
1.0,6,14,11,55
1.0,6,14,12,55
1.0,6,14,13,55
1.0,6,14,14,55
1.0,6,14,15,56
1.0,6,15,6,55
1.0,6,15,7,55
1.0,6,15,8,55
1.0,6,15,9,55
1.0,6,15,10,55
1.0,6,15,11,55
1.0,6,15,12,55
1.0,6,15,13,55
1.0,6,15,14,56
1.0,6,15,15,56
1.0,7,6,6,54
1.0,7,6,7,54
1.0,7,6,8,54
1.0,7,6,9,54
1.0,7,6,10,54
1.0,7,6,11,54
1.0,7,6,12,54
1.0,7,6,13,55
1.0,7,6,14,55
1.0,7,6,15,55
1.0,7,7,6,54
1.0,7,7,7,54
1.0,7,7,8,54
1.0,7,7,9,54
1.0,7,7,10,54
1.0,7,7,11,54
1.0,7,7,12,55
1.0,7,7,13,55
1.0,7,7,14,55
1.0,7,7,15,55
1.0,7,8,6,54
1.0,7,8,7,54
1.0,7,8,8,54
1.0,7,8,9,54
1.0,7,8,10,54
1.0,7,8,11,55
1.0,7,8,12,55
1.0,7,8,13,55
1.0,7,8,14,55
1.0,7,8,15,55
1.0,7,9,6,54
1.0,7,9,7,54
1.0,7,9,8,54
1.0,7,9,9,54
1.0,7,9,10,55
1.0,7,9,11,55
1.0,7,9,12,55
1.0,7,9,13,55
1.0,7,9,14,55
1.0,7,9,15,55
1.0,7,10,6,54
1.0,7,10,7,54
1.0,7,10,8,54
1.0,7,10,9,55
1.0,7,10,10,55
1.0,7,10,11,55
1.0,7,10,12,55
1.0,7,10,13,55
1.0,7,10,14,55
1.0,7,10,15,55
1.0,7,11,6,54
1.0,7,11,7,54
1.0,7,11,8,55
1.0,7,11,9,55
1.0,7,11,10,55
1.0,7,11,11,55
1.0,7,11,12,55
1.0,7,11,13,55
1.0,7,11,14,55
1.0,7,11,15,55
1.0,7,12,6,54
1.0,7,12,7,54
1.0,7,12,8,55
1.0,7,12,9,55
1.0,7,12,10,55
1.0,7,12,11,55
1.0,7,12,12,55
1.0,7,12,13,55
1.0,7,12,14,55
1.0,7,12,15,56
1.0,7,13,6,54
1.0,7,13,7,55
1.0,7,13,8,55
1.0,7,13,9,55
1.0,7,13,10,55
1.0,7,13,11,55
1.0,7,13,12,55
1.0,7,13,13,55
1.0,7,13,14,56
1.0,7,13,15,56
1.0,7,14,6,55
1.0,7,14,7,55
1.0,7,14,8,55
1.0,7,14,9,55
1.0,7,14,10,55
1.0,7,14,11,55
1.0,7,14,12,55
1.0,7,14,13,56
1.0,7,14,14,56
1.0,7,14,15,56
1.0,7,15,6,55
1.0,7,15,7,55
1.0,7,15,8,55
1.0,7,15,9,55
1.0,7,15,10,55
1.0,7,15,11,55
1.0,7,15,12,56
1.0,7,15,13,56
1.0,7,15,14,56
1.0,7,15,15,56
1.0,8,6,6,54
1.0,8,6,7,54
1.0,8,6,8,54
1.0,8,6,9,54
1.0,8,6,10,54
1.0,8,6,11,54
1.0,8,6,12,55
1.0,8,6,13,55
1.0,8,6,14,55
1.0,8,6,15,55
1.0,8,7,6,54
1.0,8,7,7,54
1.0,8,7,8,54
1.0,8,7,9,54
1.0,8,7,10,54
1.0,8,7,11,55
1.0,8,7,12,55
1.0,8,7,13,55
1.0,8,7,14,55
1.0,8,7,15,55
1.0,8,8,6,54
1.0,8,8,7,54
1.0,8,8,8,54
1.0,8,8,9,54
1.0,8,8,10,55
1.0,8,8,11,55
1.0,8,8,12,55
1.0,8,8,13,55
1.0,8,8,14,55
1.0,8,8,15,55
1.0,8,9,6,54
1.0,8,9,7,54
1.0,8,9,8,54
1.0,8,9,9,55
1.0,8,9,10,55
1.0,8,9,11,55
1.0,8,9,12,55
1.0,8,9,13,55
1.0,8,9,14,55
1.0,8,9,15,55
1.0,8,10,6,54
1.0,8,10,7,54
1.0,8,10,8,55
1.0,8,10,9,55
1.0,8,10,10,55
1.0,8,10,11,55
1.0,8,10,12,55
1.0,8,10,13,55
1.0,8,10,14,55
1.0,8,10,15,55
1.0,8,11,6,54
1.0,8,11,7,55
1.0,8,11,8,55
1.0,8,11,9,55
1.0,8,11,10,55
1.0,8,11,11,55
1.0,8,11,12,55
1.0,8,11,13,55
1.0,8,11,14,55
1.0,8,11,15,56
1.0,8,12,6,55
1.0,8,12,7,55
1.0,8,12,8,55
1.0,8,12,9,55
1.0,8,12,10,55
1.0,8,12,11,55
1.0,8,12,12,55
1.0,8,12,13,55
1.0,8,12,14,56
1.0,8,12,15,56
1.0,8,13,6,55
1.0,8,13,7,55
1.0,8,13,8,55
1.0,8,13,9,55
1.0,8,13,10,55
1.0,8,13,11,55
1.0,8,13,12,55
1.0,8,13,13,56
1.0,8,13,14,56
1.0,8,13,15,56
1.0,8,14,6,55
1.0,8,14,7,55
1.0,8,14,8,55
1.0,8,14,9,55
1.0,8,14,10,55
1.0,8,14,11,55
1.0,8,14,12,56
1.0,8,14,13,56
1.0,8,14,14,56
1.0,8,14,15,56
1.0,8,15,6,55
1.0,8,15,7,55
1.0,8,15,8,55
1.0,8,15,9,55
1.0,8,15,10,55
1.0,8,15,11,56
1.0,8,15,12,56
1.0,8,15,13,56
1.0,8,15,14,56
1.0,8,15,15,56
1.0,9,6,6,54
1.0,9,6,7,54
1.0,9,6,8,54
1.0,9,6,9,54
1.0,9,6,10,55
1.0,9,6,11,55
1.0,9,6,12,55
1.0,9,6,13,55
1.0,9,6,14,55
1.0,9,6,15,55
1.0,9,7,6,54
1.0,9,7,7,54
1.0,9,7,8,54
1.0,9,7,9,55
1.0,9,7,10,55
1.0,9,7,11,55
1.0,9,7,12,55
1.0,9,7,13,55
1.0,9,7,14,55
1.0,9,7,15,55
1.0,9,8,6,54
1.0,9,8,7,54
