level,attack,defense,stamina,cp
1.0,0,0,0,13
1.0,0,0,1,13
1.0,0,0,2,13
1.0,0,0,3,13
1.0,0,0,4,13
1.0,0,0,5,13
1.0,0,0,6,13
1.0,0,0,7,13
1.0,0,0,8,13
1.0,0,0,9,13
1.0,0,0,10,13
1.0,0,0,11,14
1.0,0,0,12,14
1.0,0,0,13,14
1.0,0,0,14,14
1.0,0,0,15,14
1.0,0,1,0,13
1.0,0,1,1,13
1.0,0,1,2,13
1.0,0,1,3,13
1.0,0,1,4,13
1.0,0,1,5,13
1.0,0,1,6,13
1.0,0,1,7,13
1.0,0,1,8,13
1.0,0,1,9,13
1.0,0,1,10,14
1.0,0,1,11,14
1.0,0,1,12,14
1.0,0,1,13,14
1.0,0,1,14,14
1.0,0,1,15,14
1.0,0,2,0,13
1.0,0,2,1,13
1.0,0,2,2,13
1.0,0,2,3,13
1.0,0,2,4,13
1.0,0,2,5,13
1.0,0,2,6,13
1.0,0,2,7,13
1.0,0,2,8,13
1.0,0,2,9,14
1.0,0,2,10,14
1.0,0,2,11,14
1.0,0,2,12,14
1.0,0,2,13,14
1.0,0,2,14,14
1.0,0,2,15,14
1.0,0,3,0,13
1.0,0,3,1,13
1.0,0,3,2,13
1.0,0,3,3,13
1.0,0,3,4,13
1.0,0,3,5,13
1.0,0,3,6,13
1.0,0,3,7,13
1.0,0,3,8,14
1.0,0,3,9,14
1.0,0,3,10,14
1.0,0,3,11,14
1.0,0,3,12,14
1.0,0,3,13,14
1.0,0,3,14,14
1.0,0,3,15,14
1.0,0,4,0,13
1.0,0,4,1,13
1.0,0,4,2,13
1.0,0,4,3,13
1.0,0,4,4,13
1.0,0,4,5,13
1.0,0,4,6,13
1.0,0,4,7,14
1.0,0,4,8,14
1.0,0,4,9,14
1.0,0,4,10,14
1.0,0,4,11,14
1.0,0,4,12,14
1.0,0,4,13,14
1.0,0,4,14,14
1.0,0,4,15,14
1.0,0,5,0,13
1.0,0,5,1,13
1.0,0,5,2,13
1.0,0,5,3,13
1.0,0,5,4,13
1.0,0,5,5,13
1.0,0,5,6,14
1.0,0,5,7,14
1.0,0,5,8,14
1.0,0,5,9,14
1.0,0,5,10,14
1.0,0,5,11,14
1.0,0,5,12,14
1.0,0,5,13,14
1.0,0,5,14,14
1.0,0,5,15,14
