level,attack,defense,stamina,cp
1.0,6,6,6,62
1.0,6,6,7,62
1.0,6,6,8,62
1.0,6,6,9,63
1.0,6,6,10,63
1.0,6,6,11,63
1.0,6,6,12,63
1.0,6,6,13,63
1.0,6,6,14,63
1.0,6,6,15,63
1.0,6,7,6,62
1.0,6,7,7,62
1.0,6,7,8,63
1.0,6,7,9,63
1.0,6,7,10,63
1.0,6,7,11,63
1.0,6,7,12,63
1.0,6,7,13,63
1.0,6,7,14,63
1.0,6,7,15,63
1.0,6,8,6,62
1.0,6,8,7,63
1.0,6,8,8,63
1.0,6,8,9,63
1.0,6,8,10,63
1.0,6,8,11,63
1.0,6,8,12,63
1.0,6,8,13,63
1.0,6,8,14,63
1.0,6,8,15,64
1.0,6,9,6,63
1.0,6,9,7,63
1.0,6,9,8,63
1.0,6,9,9,63
1.0,6,9,10,63
1.0,6,9,11,63
1.0,6,9,12,63
1.0,6,9,13,64
1.0,6,9,14,64
1.0,6,9,15,64
1.0,6,10,6,63
1.0,6,10,7,63
1.0,6,10,8,63
1.0,6,10,9,63
1.0,6,10,10,63
1.0,6,10,11,63
1.0,6,10,12,64
1.0,6,10,13,64
1.0,6,10,14,64
1.0,6,10,15,64
1.0,6,11,6,63
1.0,6,11,7,63
1.0,6,11,8,63
1.0,6,11,9,63
1.0,6,11,10,63
1.0,6,11,11,64
1.0,6,11,12,64
1.0,6,11,13,64
1.0,6,11,14,64
1.0,6,11,15,64
1.0,6,12,6,63
1.0,6,12,7,63
1.0,6,12,8,63
1.0,6,12,9,63
1.0,6,12,10,64
1.0,6,12,11,64
1.0,6,12,12,64
1.0,6,12,13,64
1.0,6,12,14,64
1.0,6,12,15,64
1.0,6,13,6,63
1.0,6,13,7,63
1.0,6,13,8,63
1.0,6,13,9,64
1.0,6,13,10,64
1.0,6,13,11,64
1.0,6,13,12,64
1.0,6,13,13,64
1.0,6,13,14,64
1.0,6,13,15,64
1.0,6,14,6,63
1.0,6,14,7,63
1.0,6,14,8,64
1.0,6,14,9,64
1.0,6,14,10,64
1.0,6,14,11,64
1.0,6,14,12,64
1.0,6,14,13,64
1.0,6,14,14,64
1.0,6,14,15,65
1.0,6,15,6,63
1.0,6,15,7,64
1.0,6,15,8,64
1.0,6,15,9,64
1.0,6,15,10,64
1.0,6,15,11,64
1.0,6,15,12,64
1.0,6,15,13,64
1.0,6,15,14,65
1.0,6,15,15,65
1.0,7,6,6,62
1.0,7,6,7,62
1.0,7,6,8,63
1.0,7,6,9,63
1.0,7,6,10,63
1.0,7,6,11,63
1.0,7,6,12,63
1.0,7,6,13,63
1.0,7,6,14,63
1.0,7,6,15,64
1.0,7,7,6,62
1.0,7,7,7,63
1.0,7,7,8,63
1.0,7,7,9,63
1.0,7,7,10,63
1.0,7,7,11,63
1.0,7,7,12,63
1.0,7,7,13,63
1.0,7,7,14,64
1.0,7,7,15,64
1.0,7,8,6,63
1.0,7,8,7,63
1.0,7,8,8,63
1.0,7,8,9,63
1.0,7,8,10,63
1.0,7,8,11,63
1.0,7,8,12,63
1.0,7,8,13,64
1.0,7,8,14,64
1.0,7,8,15,64
1.0,7,9,6,63
1.0,7,9,7,63
1.0,7,9,8,63
1.0,7,9,9,63
1.0,7,9,10,63
1.0,7,9,11,63
1.0,7,9,12,64
1.0,7,9,13,64
1.0,7,9,14,64
1.0,7,9,15,64
1.0,7,10,6,63
1.0,7,10,7,63
1.0,7,10,8,63
