level,attack,defense,stamina,cp
1.0,0,0,0,52
1.0,0,0,1,52
1.0,0,0,2,52
1.0,0,0,3,52
1.0,0,0,4,52
1.0,0,0,5,53
1.0,0,0,6,53
1.0,0,0,7,53
1.0,0,0,8,53
1.0,0,0,9,53
1.0,0,0,10,53
1.0,0,0,11,54
1.0,0,0,12,54
1.0,0,0,13,54
1.0,0,0,14,54
1.0,0,0,15,54
1.0,0,1,0,52
1.0,0,1,1,52
1.0,0,1,2,52
1.0,0,1,3,52
1.0,0,1,4,53
1.0,0,1,5,53
1.0,0,1,6,53
1.0,0,1,7,53
1.0,0,1,8,53
1.0,0,1,9,53
1.0,0,1,10,53
1.0,0,1,11,54
1.0,0,1,12,54
1.0,0,1,13,54
1.0,0,1,14,54
1.0,0,1,15,54
1.0,0,2,0,52
1.0,0,2,1,52
1.0,0,2,2,52
1.0,0,2,3,53
1.0,0,2,4,53
1.0,0,2,5,53
1.0,0,2,6,53
1.0,0,2,7,53
1.0,0,2,8,53
1.0,0,2,9,53
1.0,0,2,10,54
1.0,0,2,11,54
1.0,0,2,12,54
1.0,0,2,13,54
1.0,0,2,14,54
1.0,0,2,15,54
1.0,0,3,0,52
1.0,0,3,1,52
1.0,0,3,2,52
1.0,0,3,3,53
1.0,0,3,4,53
1.0,0,3,5,53
1.0,0,3,6,53
1.0,0,3,7,53
1.0,0,3,8,53
1.0,0,3,9,54
1.0,0,3,10,54
1.0,0,3,11,54
1.0,0,3,12,54
1.0,0,3,13,54
1.0,0,3,14,54
1.0,0,3,15,55
1.0,0,4,0,52
1.0,0,4,1,52
1.0,0,4,2,53
1.0,0,4,3,53
1.0,0,4,4,53
1.0,0,4,5,53
1.0,0,4,6,53
1.0,0,4,7,53
1.0,0,4,8,54
1.0,0,4,9,54
1.0,0,4,10,54
1.0,0,4,11,54
1.0,0,4,12,54
1.0,0,4,13,54
1.0,0,4,14,54
1.0,0,4,15,55
1.0,0,5,0,52
1.0,0,5,1,53
1.0,0,5,2,53
1.0,0,5,3,53
1.0,0,5,4,53
1.0,0,5,5,53
1.0,0,5,6,53
1.0,0,5,7,53
1.0,0,5,8,54
1.0,0,5,9,54
1.0,0,5,10,54
1.0,0,5,11,54
1.0,0,5,12,54
1.0,0,5,13,54
1.0,0,5,14,55
1.0,0,5,15,55
1.0,0,6,0,52
1.0,0,6,1,53
1.0,0,6,2,53
1.0,0,6,3,53
1.0,0,6,4,53
1.0,0,6,5,53
1.0,0,6,6,53
1.0,0,6,7,54
1.0,0,6,8,54
1.0,0,6,9,54
1.0,0,6,10,54
1.0,0,6,11,54
1.0,0,6,12,54
1.0,0,6,13,55
1.0,0,6,14,55
1.0,0,6,15,55
1.0,0,7,0,53
1.0,0,7,1,53
1.0,0,7,2,53
1.0,0,7,3,53
1.0,0,7,4,53
1.0,0,7,5,53
1.0,0,7,6,54
1.0,0,7,7,54
1.0,0,7,8,54
1.0,0,7,9,54
1.0,0,7,10,54
1.0,0,7,11,54
1.0,0,7,12,55
1.0,0,7,13,55
1.0,0,7,14,55
1.0,0,7,15,55
1.0,0,8,0,53
1.0,0,8,1,53
1.0,0,8,2,53
1.0,0,8,3,53
1.0,0,8,4,53
1.0,0,8,5,54
1.0,0,8,6,54
1.0,0,8,7,54
1.0,0,8,8,54
