level,attack,defense,stamina,cp
1.0,6,6,6,42
1.0,6,6,7,42
1.0,6,6,8,42
1.0,6,6,9,43
1.0,6,6,10,43
1.0,6,6,11,43
1.0,6,6,12,43
1.0,6,6,13,43
1.0,6,6,14,43
1.0,6,6,15,43
1.0,6,7,6,42
1.0,6,7,7,43
1.0,6,7,8,43
1.0,6,7,9,43
1.0,6,7,10,43
1.0,6,7,11,43
1.0,6,7,12,43
1.0,6,7,13,43
1.0,6,7,14,43
1.0,6,7,15,43
1.0,6,8,6,43
1.0,6,8,7,43
1.0,6,8,8,43
1.0,6,8,9,43
1.0,6,8,10,43
1.0,6,8,11,43
1.0,6,8,12,43
1.0,6,8,13,43
1.0,6,8,14,43
1.0,6,8,15,44
1.0,6,9,6,43
1.0,6,9,7,43
1.0,6,9,8,43
1.0,6,9,9,43
1.0,6,9,10,43
1.0,6,9,11,43
1.0,6,9,12,43
1.0,6,9,13,44
1.0,6,9,14,44
1.0,6,9,15,44
1.0,6,10,6,43
1.0,6,10,7,43
1.0,6,10,8,43
1.0,6,10,9,43
1.0,6,10,10,43
1.0,6,10,11,44
1.0,6,10,12,44
1.0,6,10,13,44
1.0,6,10,14,44
1.0,6,10,15,44
1.0,6,11,6,43
1.0,6,11,7,43
1.0,6,11,8,43
1.0,6,11,9,43
1.0,6,11,10,44
1.0,6,11,11,44
1.0,6,11,12,44
1.0,6,11,13,44
1.0,6,11,14,44
1.0,6,11,15,44
1.0,6,12,6,43
1.0,6,12,7,43
1.0,6,12,8,44
1.0,6,12,9,44
1.0,6,12,10,44
1.0,6,12,11,44
1.0,6,12,12,44
1.0,6,12,13,44
1.0,6,12,14,44
1.0,6,12,15,44
1.0,6,13,6,44
1.0,6,13,7,44
1.0,6,13,8,44
1.0,6,13,9,44
1.0,6,13,10,44
1.0,6,13,11,44
1.0,6,13,12,44
1.0,6,13,13,44
1.0,6,13,14,44
1.0,6,13,15,44
1.0,6,14,6,44
1.0,6,14,7,44
1.0,6,14,8,44
1.0,6,14,9,44
1.0,6,14,10,44
1.0,6,14,11,44
1.0,6,14,12,44
1.0,6,14,13,44
1.0,6,14,14,45
1.0,6,14,15,45
1.0,6,15,6,44
1.0,6,15,7,44
1.0,6,15,8,44
1.0,6,15,9,44
1.0,6,15,10,44
1.0,6,15,11,44
