level,attack,defense,stamina,cp
1.0,0,0,0,72
1.0,0,0,1,72
1.0,0,0,2,73
1.0,0,0,3,73
1.0,0,0,4,73
1.0,0,0,5,73
1.0,0,0,6,73
1.0,0,0,7,73
1.0,0,0,8,74
1.0,0,0,9,74
1.0,0,0,10,74
1.0,0,0,11,74
1.0,0,0,12,74
1.0,0,0,13,74
1.0,0,0,14,74
1.0,0,0,15,75
1.0,0,1,0,72
1.0,0,1,1,73
1.0,0,1,2,73
1.0,0,1,3,73
1.0,0,1,4,73
1.0,0,1,5,73
1.0,0,1,6,73
1.0,0,1,7,74
1.0,0,1,8,74
1.0,0,1,9,74
1.0,0,1,10,74
1.0,0,1,11,74
1.0,0,1,12,74
1.0,0,1,13,74
1.0,0,1,14,75
1.0,0,1,15,75
1.0,0,2,0,73
1.0,0,2,1,73
1.0,0,2,2,73
1.0,0,2,3,73
1.0,0,2,4,73
1.0,0,2,5,73
1.0,0,2,6,74
1.0,0,2,7,74
1.0,0,2,8,74
1.0,0,2,9,74
1.0,0,2,10,74
1.0,0,2,11,74
1.0,0,2,12,74
1.0,0,2,13,75
1.0,0,2,14,75
1.0,0,2,15,75
1.0,0,3,0,73
1.0,0,3,1,73
1.0,0,3,2,73
1.0,0,3,3,73
1.0,0,3,4,73
1.0,0,3,5,74
1.0,0,3,6,74
1.0,0,3,7,74
1.0,0,3,8,74
1.0,0,3,9,74
1.0,0,3,10,74
1.0,0,3,11,75
1.0,0,3,12,75
1.0,0,3,13,75
1.0,0,3,14,75
1.0,0,3,15,75
1.0,0,4,0,73
1.0,0,4,1,73
1.0,0,4,2,73
1.0,0,4,3,73
1.0,0,4,4,74
1.0,0,4,5,74
1.0,0,4,6,74
1.0,0,4,7,74
1.0,0,4,8,74
1.0,0,4,9,74
1.0,0,4,10,75
1.0,0,4,11,75
1.0,0,4,12,75
1.0,0,4,13,75
1.0,0,4,14,75
1.0,0,4,15,75
1.0,0,5,0,73
1.0,0,5,1,73
1.0,0,5,2,73
1.0,0,5,3,74
1.0,0,5,4,74
1.0,0,5,5,74
1.0,0,5,6,74
1.0,0,5,7,74
1.0,0,5,8,74
1.0,0,5,9,75
1.0,0,5,10,75
1.0,0,5,11,75
1.0,0,5,12,75
1.0,0,5,13,75
1.0,0,5,14,75
1.0,0,5,15,75
1.0,0,6,0,73
1.0,0,6,1,73
1.0,0,6,2,74
1.0,0,6,3,74
1.0,0,6,4,74
1.0,0,6,5,74
1.0,0,6,6,74
1.0,0,6,7,74
1.0,0,6,8,75
1.0,0,6,9,75
1.0,0,6,10,75
1.0,0,6,11,75
1.0,0,6,12,75
1.0,0,6,13,75
1.0,0,6,14,76
1.0,0,6,15,76
1.0,0,7,0,73
1.0,0,7,1,74
1.0,0,7,2,74
1.0,0,7,3,74
1.0,0,7,4,74
1.0,0,7,5,74
1.0,0,7,6,74
1.0,0,7,7,75
1.0,0,7,8,75
1.0,0,7,9,75
1.0,0,7,10,75
1.0,0,7,11,75
1.0,0,7,12,75
1.0,0,7,13,76
1.0,0,7,14,76
1.0,0,7,15,76
1.0,0,8,0,74
1.0,0,8,1,74
1.0,0,8,2,74
1.0,0,8,3,74
1.0,0,8,4,74
1.0,0,8,5,74
1.0,0,8,6,75
1.0,0,8,7,75
1.0,0,8,8,75
1.0,0,8,9,75
1.0,0,8,10,75
1.0,0,8,11,75
1.0,0,8,12,76
1.0,0,8,13,76
1.0,0,8,14,76
1.0,0,8,15,76
1.0,0,9,0,74
1.0,0,9,1,74
1.0,0,9,2,74
1.0,0,9,3,74
1.0,0,9,4,74
1.0,0,9,5,75
1.0,0,9,6,75
1.0,0,9,7,75
1.0,0,9,8,75
1.0,0,9,9,75
1.0,0,9,10,75
1.0,0,9,11,76
1.0,0,9,12,76
1.0,0,9,13,76
1.0,0,9,14,76
1.0,0,9,15,76
1.0,0,10,0,74
1.0,0,10,1,74
1.0,0,10,2,74
1.0,0,10,3,74
1.0,0,10,4,75
1.0,0,10,5,75
1.0,0,10,6,75
1.0,0,10,7,75
1.0,0,10,8,75
1.0,0,10,9,75
1.0,0,10,10,76
1.0,0,10,11,76
1.0,0,10,12,76
1.0,0,10,13,76
1.0,0,10,14,76
1.0,0,10,15,76
1.0,0,11,0,74
1.0,0,11,1,74
1.0,0,11,2,74
1.0,0,11,3,75
1.0,0,11,4,75
1.0,0,11,5,75
1.0,0,11,6,75
1.0,0,11,7,75
1.0,0,11,8,75
1.0,0,11,9,76
1.0,0,11,10,76
1.0,0,11,11,76
1.0,0,11,12,76
1.0,0,11,13,76
1.0,0,11,14,76
1.0,0,11,15,77
1.0,0,12,0,74
1.0,0,12,1,74
1.0,0,12,2,75
1.0,0,12,3,75
1.0,0,12,4,75
1.0,0,12,5,75
1.0,0,12,6,75
1.0,0,12,7,75
1.0,0,12,8,76
1.0,0,12,9,76
1.0,0,12,10,76
1.0,0,12,11,76
1.0,0,12,12,76
1.0,0,12,13,76
1.0,0,12,14,77
1.0,0,12,15,77
1.0,0,13,0,74
1.0,0,13,1,75
1.0,0,13,2,75
1.0,0,13,3,75
1.0,0,13,4,75
1.0,0,13,5,75
1.0,0,13,6,75
1.0,0,13,7,76
1.0,0,13,8,76
1.0,0,13,9,76
1.0,0,13,10,76
1.0,0,13,11,76
1.0,0,13,12,76
1.0,0,13,13,77
1.0,0,13,14,77
1.0,0,13,15,77
1.0,0,14,0,75
1.0,0,14,1,75
1.0,0,14,2,75
1.0,0,14,3,75
1.0,0,14,4,75
1.0,0,14,5,75
1.0,0,14,6,76
1.0,0,14,7,76
1.0,0,14,8,76
1.0,0,14,9,76
1.0,0,14,10,76
1.0,0,14,11,76
1.0,0,14,12,77
1.0,0,14,13,77
1.0,0,14,14,77
1.0,0,14,15,77
1.0,0,15,0,75
1.0,0,15,1,75
1.0,0,15,2,75
1.0,0,15,3,75
1.0,0,15,4,75
1.0,0,15,5,76
1.0,0,15,6,76
1.0,0,15,7,76
1.0,0,15,8,76
1.0,0,15,9,76
1.0,0,15,10,76
1.0,0,15,11,77
1.0,0,15,12,77
1.0,0,15,13,77
1.0,0,15,14,77
1.0,0,15,15,77
1.0,1,0,0,72
1.0,1,0,1,73
1.0,1,0,2,73
1.0,1,0,3,73
1.0,1,0,4,73
1.0,1,0,5,73
1.0,1,0,6,73
1.0,1,0,7,74
1.0,1,0,8,74
