level,attack,defense,stamina,cp
1.0,6,6,6,36
1.0,6,6,7,36
1.0,6,6,8,36
1.0,6,6,9,36
1.0,6,6,10,36
1.0,6,6,11,36
1.0,6,6,12,36
1.0,6,6,13,36
1.0,6,6,14,36
1.0,6,6,15,37
1.0,6,7,6,36
1.0,6,7,7,36
1.0,6,7,8,36
1.0,6,7,9,36
1.0,6,7,10,36
1.0,6,7,11,36
1.0,6,7,12,36
1.0,6,7,13,37
1.0,6,7,14,37
1.0,6,7,15,37
1.0,6,8,6,36
1.0,6,8,7,36
1.0,6,8,8,36
1.0,6,8,9,36
1.0,6,8,10,36
1.0,6,8,11,36
1.0,6,8,12,37
1.0,6,8,13,37
1.0,6,8,14,37
1.0,6,8,15,37
1.0,6,9,6,36
1.0,6,9,7,36
1.0,6,9,8,36
1.0,6,9,9,36
1.0,6,9,10,37
1.0,6,9,11,37
1.0,6,9,12,37
1.0,6,9,13,37
1.0,6,9,14,37
1.0,6,9,15,37
1.0,6,10,6,36
1.0,6,10,7,36
1.0,6,10,8,36
1.0,6,10,9,37
1.0,6,10,10,37
1.0,6,10,11,37
1.0,6,10,12,37
1.0,6,10,13,37
1.0,6,10,14,37
1.0,6,10,15,37
1.0,6,11,6,36
1.0,6,11,7,37
1.0,6,11,8,37
1.0,6,11,9,37
1.0,6,11,10,37
1.0,6,11,11,37
1.0,6,11,12,37
1.0,6,11,13,37
1.0,6,11,14,37
1.0,6,11,15,37
1.0,6,12,6,37
1.0,6,12,7,37
1.0,6,12,8,37
1.0,6,12,9,37
1.0,6,12,10,37
1.0,6,12,11,37
1.0,6,12,12,37
1.0,6,12,13,37
1.0,6,12,14,37
1.0,6,12,15,37
1.0,6,13,6,37
1.0,6,13,7,37
1.0,6,13,8,37
1.0,6,13,9,37
1.0,6,13,10,37
1.0,6,13,11,37
1.0,6,13,12,37
1.0,6,13,13,37
1.0,6,13,14,37
1.0,6,13,15,38
1.0,6,14,6,37
1.0,6,14,7,37
1.0,6,14,8,37
1.0,6,14,9,37
1.0,6,14,10,37
1.0,6,14,11,37
1.0,6,14,12,37
1.0,6,14,13,37
1.0,6,14,14,38
1.0,6,14,15,38
1.0,6,15,6,37
1.0,6,15,7,37
1.0,6,15,8,37
1.0,6,15,9,37
1.0,6,15,10,37
1.0,6,15,11,37
1.0,6,15,12,38
1.0,6,15,13,38
1.0,6,15,14,38
1.0,6,15,15,38
1.0,7,6,6,36
1.0,7,6,7,36
1.0,7,6,8,36
1.0,7,6,9,36
1.0,7,6,10,36
1.0,7,6,11,36
1.0,7,6,12,36
1.0,7,6,13,37
1.0,7,6,14,37
1.0,7,6,15,37
1.0,7,7,6,36
1.0,7,7,7,36
1.0,7,7,8,36
1.0,7,7,9,36
1.0,7,7,10,36
