level,attack,defense,stamina,cp
1.0,6,6,6,57
1.0,6,6,7,57
1.0,6,6,8,57
1.0,6,6,9,57
1.0,6,6,10,57
1.0,6,6,11,57
1.0,6,6,12,58
1.0,6,6,13,58
1.0,6,6,14,58
1.0,6,6,15,58
1.0,6,7,6,57
1.0,6,7,7,57
1.0,6,7,8,57
1.0,6,7,9,57
1.0,6,7,10,57
1.0,6,7,11,58
1.0,6,7,12,58
1.0,6,7,13,58
1.0,6,7,14,58
1.0,6,7,15,58
1.0,6,8,6,57
1.0,6,8,7,57
1.0,6,8,8,57
1.0,6,8,9,57
1.0,6,8,10,58
1.0,6,8,11,58
1.0,6,8,12,58
1.0,6,8,13,58
1.0,6,8,14,58
1.0,6,8,15,58
1.0,6,9,6,57
1.0,6,9,7,57
1.0,6,9,8,57
1.0,6,9,9,58
1.0,6,9,10,58
1.0,6,9,11,58
1.0,6,9,12,58
1.0,6,9,13,58
1.0,6,9,14,58
1.0,6,9,15,58
1.0,6,10,6,57
1.0,6,10,7,57
1.0,6,10,8,58
1.0,6,10,9,58
1.0,6,10,10,58
1.0,6,10,11,58
1.0,6,10,12,58
1.0,6,10,13,58
1.0,6,10,14,58
1.0,6,10,15,58
1.0,6,11,6,57
1.0,6,11,7,58
1.0,6,11,8,58
1.0,6,11,9,58
1.0,6,11,10,58
1.0,6,11,11,58
1.0,6,11,12,58
1.0,6,11,13,58
1.0,6,11,14,59
1.0,6,11,15,59
1.0,6,12,6,58
1.0,6,12,7,58
1.0,6,12,8,58
1.0,6,12,9,58
1.0,6,12,10,58
1.0,6,12,11,58
1.0,6,12,12,58
1.0,6,12,13,59
1.0,6,12,14,59
1.0,6,12,15,59
1.0,6,13,6,58
1.0,6,13,7,58
1.0,6,13,8,58
1.0,6,13,9,58
1.0,6,13,10,58
1.0,6,13,11,58
1.0,6,13,12,59
1.0,6,13,13,59
1.0,6,13,14,59
1.0,6,13,15,59
1.0,6,14,6,58
1.0,6,14,7,58
1.0,6,14,8,58
1.0,6,14,9,58
1.0,6,14,10,58
1.0,6,14,11,59
1.0,6,14,12,59
1.0,6,14,13,59
1.0,6,14,14,59
1.0,6,14,15,59
1.0,6,15,6,58
1.0,6,15,7,58
1.0,6,15,8,58
1.0,6,15,9,58
1.0,6,15,10,59
1.0,6,15,11,59
1.0,6,15,12,59
1.0,6,15,13,59
1.0,6,15,14,59
1.0,6,15,15,59
1.0,7,6,6,57
1.0,7,6,7,57
1.0,7,6,8,57
1.0,7,6,9,57
1.0,7,6,10,58
1.0,7,6,11,58
1.0,7,6,12,58
1.0,7,6,13,58
1.0,7,6,14,58
1.0,7,6,15,58
1.0,7,7,6,57
1.0,7,7,7,57
1.0,7,7,8,57
1.0,7,7,9,58
1.0,7,7,10,58
1.0,7,7,11,58
1.0,7,7,12,58
1.0,7,7,13,58
1.0,7,7,14,58
1.0,7,7,15,58
1.0,7,8,6,57
1.0,7,8,7,57
1.0,7,8,8,58
1.0,7,8,9,58
1.0,7,8,10,58
1.0,7,8,11,58
1.0,7,8,12,58
1.0,7,8,13,58
1.0,7,8,14,58
1.0,7,8,15,58
1.0,7,9,6,57
1.0,7,9,7,58
1.0,7,9,8,58
1.0,7,9,9,58
1.0,7,9,10,58
1.0,7,9,11,58
1.0,7,9,12,58
1.0,7,9,13,58
1.0,7,9,14,58
1.0,7,9,15,59
1.0,7,10,6,58
1.0,7,10,7,58
1.0,7,10,8,58
1.0,7,10,9,58
1.0,7,10,10,58
1.0,7,10,11,58
1.0,7,10,12,58
1.0,7,10,13,58
1.0,7,10,14,59
1.0,7,10,15,59
1.0,7,11,6,58
1.0,7,11,7,58
1.0,7,11,8,58
1.0,7,11,9,58
1.0,7,11,10,58
1.0,7,11,11,58
1.0,7,11,12,58
1.0,7,11,13,59
1.0,7,11,14,59
1.0,7,11,15,59
1.0,7,12,6,58
1.0,7,12,7,58
1.0,7,12,8,58
1.0,7,12,9,58
1.0,7,12,10,58
1.0,7,12,11,58
1.0,7,12,12,59
1.0,7,12,13,59
1.0,7,12,14,59
1.0,7,12,15,59
1.0,7,13,6,58
1.0,7,13,7,58
1.0,7,13,8,58
1.0,7,13,9,58
1.0,7,13,10,58
1.0,7,13,11,59
1.0,7,13,12,59
1.0,7,13,13,59
1.0,7,13,14,59
1.0,7,13,15,59
1.0,7,14,6,58
1.0,7,14,7,58
1.0,7,14,8,58
1.0,7,14,9,58
1.0,7,14,10,59
1.0,7,14,11,59
