level,attack,defense,stamina,cp
1.0,0,0,0,35
1.0,0,0,1,35
1.0,0,0,2,35
1.0,0,0,3,36
1.0,0,0,4,36
1.0,0,0,5,36
1.0,0,0,6,36
1.0,0,0,7,36
1.0,0,0,8,36
1.0,0,0,9,36
1.0,0,0,10,36
1.0,0,0,11,36
1.0,0,0,12,36
1.0,0,0,13,36
1.0,0,0,14,36
1.0,0,0,15,36
1.0,0,1,0,35
1.0,0,1,1,35
1.0,0,1,2,36
1.0,0,1,3,36
1.0,0,1,4,36
1.0,0,1,5,36
1.0,0,1,6,36
1.0,0,1,7,36
1.0,0,1,8,36
1.0,0,1,9,36
1.0,0,1,10,36
1.0,0,1,11,36
1.0,0,1,12,36
1.0,0,1,13,36
1.0,0,1,14,36
1.0,0,1,15,37
1.0,0,2,0,36
1.0,0,2,1,36
1.0,0,2,2,36
1.0,0,2,3,36
1.0,0,2,4,36
1.0,0,2,5,36
1.0,0,2,6,36
1.0,0,2,7,36
1.0,0,2,8,36
1.0,0,2,9,36
1.0,0,2,10,36
1.0,0,2,11,36
1.0,0,2,12,36
1.0,0,2,13,36
1.0,0,2,14,37
1.0,0,2,15,37
1.0,0,3,0,36
1.0,0,3,1,36
1.0,0,3,2,36
1.0,0,3,3,36
1.0,0,3,4,36
1.0,0,3,5,36
1.0,0,3,6,36
1.0,0,3,7,36
1.0,0,3,8,36
1.0,0,3,9,36
1.0,0,3,10,36
1.0,0,3,11,36
1.0,0,3,12,37
1.0,0,3,13,37
1.0,0,3,14,37
1.0,0,3,15,37
1.0,0,4,0,36
1.0,0,4,1,36
1.0,0,4,2,36
1.0,0,4,3,36
1.0,0,4,4,36
1.0,0,4,5,36
1.0,0,4,6,36
1.0,0,4,7,36
1.0,0,4,8,36
1.0,0,4,9,36
1.0,0,4,10,37
1.0,0,4,11,37
1.0,0,4,12,37
1.0,0,4,13,37
1.0,0,4,14,37
1.0,0,4,15,37
1.0,0,5,0,36
1.0,0,5,1,36
1.0,0,5,2,36
1.0,0,5,3,36
1.0,0,5,4,36
1.0,0,5,5,36
1.0,0,5,6,36
1.0,0,5,7,36
1.0,0,5,8,36
1.0,0,5,9,37
1.0,0,5,10,37
1.0,0,5,11,37
1.0,0,5,12,37
1.0,0,5,13,37
1.0,0,5,14,37
1.0,0,5,15,37
1.0,0,6,0,36
1.0,0,6,1,36
1.0,0,6,2,36
1.0,0,6,3,36
1.0,0,6,4,36
1.0,0,6,5,36
1.0,0,6,6,36
1.0,0,6,7,37
1.0,0,6,8,37
1.0,0,6,9,37
1.0,0,6,10,37
1.0,0,6,11,37
1.0,0,6,12,37
1.0,0,6,13,37
1.0,0,6,14,37
1.0,0,6,15,37
1.0,0,7,0,36
1.0,0,7,1,36
1.0,0,7,2,36
1.0,0,7,3,36
1.0,0,7,4,36
1.0,0,7,5,36
1.0,0,7,6,37
1.0,0,7,7,37
1.0,0,7,8,37
1.0,0,7,9,37
1.0,0,7,10,37
1.0,0,7,11,37
1.0,0,7,12,37
1.0,0,7,13,37
1.0,0,7,14,37
1.0,0,7,15,37
1.0,0,8,0,36
1.0,0,8,1,36
1.0,0,8,2,36
1.0,0,8,3,36
1.0,0,8,4,37
1.0,0,8,5,37
1.0,0,8,6,37
