level,attack,defense,stamina,cp
1.0,6,6,6,66
1.0,6,6,7,66
1.0,6,6,8,66
1.0,6,6,9,67
1.0,6,6,10,67
1.0,6,6,11,67
1.0,6,6,12,67
1.0,6,6,13,67
1.0,6,6,14,67
1.0,6,6,15,68
1.0,6,7,6,66
1.0,6,7,7,66
1.0,6,7,8,67
1.0,6,7,9,67
1.0,6,7,10,67
1.0,6,7,11,67
1.0,6,7,12,67
1.0,6,7,13,67
1.0,6,7,14,68
1.0,6,7,15,68
1.0,6,8,6,66
1.0,6,8,7,67
1.0,6,8,8,67
1.0,6,8,9,67
1.0,6,8,10,67
1.0,6,8,11,67
1.0,6,8,12,67
1.0,6,8,13,68
1.0,6,8,14,68
1.0,6,8,15,68
1.0,6,9,6,67
1.0,6,9,7,67
1.0,6,9,8,67
1.0,6,9,9,67
1.0,6,9,10,67
1.0,6,9,11,67
1.0,6,9,12,67
1.0,6,9,13,68
1.0,6,9,14,68
1.0,6,9,15,68
1.0,6,10,6,67
1.0,6,10,7,67
1.0,6,10,8,67
1.0,6,10,9,67
1.0,6,10,10,67
1.0,6,10,11,67
1.0,6,10,12,68
1.0,6,10,13,68
1.0,6,10,14,68
1.0,6,10,15,68
1.0,6,11,6,67
1.0,6,11,7,67
1.0,6,11,8,67
1.0,6,11,9,67
1.0,6,11,10,67
1.0,6,11,11,68
1.0,6,11,12,68
1.0,6,11,13,68
1.0,6,11,14,68
1.0,6,11,15,68
1.0,6,12,6,67
1.0,6,12,7,67
1.0,6,12,8,67
1.0,6,12,9,67
1.0,6,12,10,68
1.0,6,12,11,68
1.0,6,12,12,68
1.0,6,12,13,68
1.0,6,12,14,68
1.0,6,12,15,68
1.0,6,13,6,67
1.0,6,13,7,67
1.0,6,13,8,67
1.0,6,13,9,68
1.0,6,13,10,68
1.0,6,13,11,68
1.0,6,13,12,68
1.0,6,13,13,68
1.0,6,13,14,68
1.0,6,13,15,68
1.0,6,14,6,67
1.0,6,14,7,67
1.0,6,14,8,68
1.0,6,14,9,68
1.0,6,14,10,68
1.0,6,14,11,68
1.0,6,14,12,68
1.0,6,14,13,68
1.0,6,14,14,68
1.0,6,14,15,69
1.0,6,15,6,67
1.0,6,15,7,68
1.0,6,15,8,68
1.0,6,15,9,68
1.0,6,15,10,68
1.0,6,15,11,68
1.0,6,15,12,68
1.0,6,15,13,68
1.0,6,15,14,69
1.0,6,15,15,69
1.0,7,6,6,66
1.0,7,6,7,67
1.0,7,6,8,67
1.0,7,6,9,67
1.0,7,6,10,67
1.0,7,6,11,67
1.0,7,6,12,67
1.0,7,6,13,67
1.0,7,6,14,68
1.0,7,6,15,68
1.0,7,7,6,67
1.0,7,7,7,67
1.0,7,7,8,67
1.0,7,7,9,67
1.0,7,7,10,67
1.0,7,7,11,67
1.0,7,7,12,67
1.0,7,7,13,68
1.0,7,7,14,68
1.0,7,7,15,68
1.0,7,8,6,67
1.0,7,8,7,67
1.0,7,8,8,67
1.0,7,8,9,67
1.0,7,8,10,67
1.0,7,8,11,67
1.0,7,8,12,68
1.0,7,8,13,68
1.0,7,8,14,68
1.0,7,8,15,68
1.0,7,9,6,67
1.0,7,9,7,67
1.0,7,9,8,67
1.0,7,9,9,67
1.0,7,9,10,67
1.0,7,9,11,68
1.0,7,9,12,68
1.0,7,9,13,68
1.0,7,9,14,68
1.0,7,9,15,68
1.0,7,10,6,67
1.0,7,10,7,67
1.0,7,10,8,67
1.0,7,10,9,67
1.0,7,10,10,68
1.0,7,10,11,68
1.0,7,10,12,68
1.0,7,10,13,68
1.0,7,10,14,68
1.0,7,10,15,68
1.0,7,11,6,67
1.0,7,11,7,67
1.0,7,11,8,67
1.0,7,11,9,68
1.0,7,11,10,68
1.0,7,11,11,68
1.0,7,11,12,68
1.0,7,11,13,68
1.0,7,11,14,68
1.0,7,11,15,68
1.0,7,12,6,67
1.0,7,12,7,67
1.0,7,12,8,67
1.0,7,12,9,68
1.0,7,12,10,68
1.0,7,12,11,68
1.0,7,12,12,68
1.0,7,12,13,68
1.0,7,12,14,68
1.0,7,12,15,69
1.0,7,13,6,67
1.0,7,13,7,67
1.0,7,13,8,68
1.0,7,13,9,68
1.0,7,13,10,68
1.0,7,13,11,68
1.0,7,13,12,68
1.0,7,13,13,68
1.0,7,13,14,69
1.0,7,13,15,69
1.0,7,14,6,67
1.0,7,14,7,68
1.0,7,14,8,68
1.0,7,14,9,68
1.0,7,14,10,68
1.0,7,14,11,68
1.0,7,14,12,68
1.0,7,14,13,69
1.0,7,14,14,69
1.0,7,14,15,69
1.0,7,15,6,68
1.0,7,15,7,68
1.0,7,15,8,68
1.0,7,15,9,68
1.0,7,15,10,68
1.0,7,15,11,68
1.0,7,15,12,68
1.0,7,15,13,69
1.0,7,15,14,69
1.0,7,15,15,69
1.0,8,6,6,67
1.0,8,6,7,67
1.0,8,6,8,67
1.0,8,6,9,67
1.0,8,6,10,67
1.0,8,6,11,67
1.0,8,6,12,68
1.0,8,6,13,68
1.0,8,6,14,68
1.0,8,6,15,68
1.0,8,7,6,67
1.0,8,7,7,67
1.0,8,7,8,67
1.0,8,7,9,67
1.0,8,7,10,67
1.0,8,7,11,67
1.0,8,7,12,68
1.0,8,7,13,68
1.0,8,7,14,68
1.0,8,7,15,68
1.0,8,8,6,67
1.0,8,8,7,67
1.0,8,8,8,67
1.0,8,8,9,67
1.0,8,8,10,67
1.0,8,8,11,68
1.0,8,8,12,68
1.0,8,8,13,68
1.0,8,8,14,68
1.0,8,8,15,68
1.0,8,9,6,67
1.0,8,9,7,67
1.0,8,9,8,67
1.0,8,9,9,67
1.0,8,9,10,68
1.0,8,9,11,68
1.0,8,9,12,68
1.0,8,9,13,68
1.0,8,9,14,68
1.0,8,9,15,68
1.0,8,10,6,67
1.0,8,10,7,67
1.0,8,10,8,67
1.0,8,10,9,68
1.0,8,10,10,68
1.0,8,10,11,68
1.0,8,10,12,68
1.0,8,10,13,68
1.0,8,10,14,68
1.0,8,10,15,68
1.0,8,11,6,67
1.0,8,11,7,67
1.0,8,11,8,68
1.0,8,11,9,68
1.0,8,11,10,68
1.0,8,11,11,68
1.0,8,11,12,68
1.0,8,11,13,68
1.0,8,11,14,68
1.0,8,11,15,69
1.0,8,12,6,67
1.0,8,12,7,68
1.0,8,12,8,68
1.0,8,12,9,68
1.0,8,12,10,68
1.0,8,12,11,68
1.0,8,12,12,68
1.0,8,12,13,68
1.0,8,12,14,69
1.0,8,12,15,69
1.0,8,13,6,68
1.0,8,13,7,68
1.0,8,13,8,68
1.0,8,13,9,68
1.0,8,13,10,68
1.0,8,13,11,68
1.0,8,13,12,68
1.0,8,13,13,69
1.0,8,13,14,69
1.0,8,13,15,69
1.0,8,14,6,68
1.0,8,14,7,68
1.0,8,14,8,68
1.0,8,14,9,68
1.0,8,14,10,68
1.0,8,14,11,68
1.0,8,14,12,69
1.0,8,14,13,69
1.0,8,14,14,69
1.0,8,14,15,69
1.0,8,15,6,68
1.0,8,15,7,68
1.0,8,15,8,68
1.0,8,15,9,68
1.0,8,15,10,68
1.0,8,15,11,69
1.0,8,15,12,69
1.0,8,15,13,69
1.0,8,15,14,69
1.0,8,15,15,69
1.0,9,6,6,67
1.0,9,6,7,67
1.0,9,6,8,67
1.0,9,6,9,67
1.0,9,6,10,67
1.0,9,6,11,68
1.0,9,6,12,68
1.0,9,6,13,68
1.0,9,6,14,68
1.0,9,6,15,68
1.0,9,7,6,67
1.0,9,7,7,67
1.0,9,7,8,67
1.0,9,7,9,67
1.0,9,7,10,68
1.0,9,7,11,68
1.0,9,7,12,68
1.0,9,7,13,68
1.0,9,7,14,68
1.0,9,7,15,68
1.0,9,8,6,67
1.0,9,8,7,67
1.0,9,8,8,67
1.0,9,8,9,68
1.0,9,8,10,68
1.0,9,8,11,68
1.0,9,8,12,68
1.0,9,8,13,68
1.0,9,8,14,68
1.0,9,8,15,68
1.0,9,9,6,67
1.0,9,9,7,67
1.0,9,9,8,68
1.0,9,9,9,68
1.0,9,9,10,68
1.0,9,9,11,68
1.0,9,9,12,68
1.0,9,9,13,68
1.0,9,9,14,68
1.0,9,9,15,69
1.0,9,10,6,67
1.0,9,10,7,68
1.0,9,10,8,68
1.0,9,10,9,68
1.0,9,10,10,68
1.0,9,10,11,68
