level,attack,defense,stamina,cp
1.0,0,0,0,11
1.0,0,0,1,11
1.0,0,0,2,11
1.0,0,0,3,11
1.0,0,0,4,11
1.0,0,0,5,11
1.0,0,0,6,11
1.0,0,0,7,11
1.0,0,0,8,11
1.0,0,0,9,11
1.0,0,0,10,11
1.0,0,0,11,11
1.0,0,0,12,11
1.0,0,0,13,11
1.0,0,0,14,11
1.0,0,0,15,11
1.0,0,1,0,11
1.0,0,1,1,11
1.0,0,1,2,11
1.0,0,1,3,11
1.0,0,1,4,11
1.0,0,1,5,11
1.0,0,1,6,11
1.0,0,1,7,11
1.0,0,1,8,11
1.0,0,1,9,11
1.0,0,1,10,11
1.0,0,1,11,11
1.0,0,1,12,11
1.0,0,1,13,11
1.0,0,1,14,11
1.0,0,1,15,11
1.0,0,2,0,11
1.0,0,2,1,11
1.0,0,2,2,11
1.0,0,2,3,11
1.0,0,2,4,11
1.0,0,2,5,11
1.0,0,2,6,11
1.0,0,2,7,11
1.0,0,2,8,11
1.0,0,2,9,11
1.0,0,2,10,11
1.0,0,2,11,11
1.0,0,2,12,11
1.0,0,2,13,11
1.0,0,2,14,11
1.0,0,2,15,11
1.0,0,3,0,11
1.0,0,3,1,11
1.0,0,3,2,11
1.0,0,3,3,11
1.0,0,3,4,11
1.0,0,3,5,11
1.0,0,3,6,11
1.0,0,3,7,11
1.0,0,3,8,11
1.0,0,3,9,11
1.0,0,3,10,11
1.0,0,3,11,11
1.0,0,3,12,11
1.0,0,3,13,11
1.0,0,3,14,11
1.0,0,3,15,11
1.0,0,4,0,11
1.0,0,4,1,11
1.0,0,4,2,11
1.0,0,4,3,11
1.0,0,4,4,11
1.0,0,4,5,11
1.0,0,4,6,11
1.0,0,4,7,11
1.0,0,4,8,11
1.0,0,4,9,11
1.0,0,4,10,11
1.0,0,4,11,11
1.0,0,4,12,11
1.0,0,4,13,11
1.0,0,4,14,11
1.0,0,4,15,11
1.0,0,5,0,11
1.0,0,5,1,11
1.0,0,5,2,11
1.0,0,5,3,11
1.0,0,5,4,11
1.0,0,5,5,11
1.0,0,5,6,11
1.0,0,5,7,11
1.0,0,5,8,11
1.0,0,5,9,11
1.0,0,5,10,11
1.0,0,5,11,11
1.0,0,5,12,11
1.0,0,5,13,11
1.0,0,5,14,11
1.0,0,5,15,11
1.0,0,6,0,11
1.0,0,6,1,11
1.0,0,6,2,11
1.0,0,6,3,11
1.0,0,6,4,11
1.0,0,6,5,11
1.0,0,6,6,11
1.0,0,6,7,11
1.0,0,6,8,11
1.0,0,6,9,11
1.0,0,6,10,11
1.0,0,6,11,11
1.0,0,6,12,11
1.0,0,6,13,11
1.0,0,6,14,11
1.0,0,6,15,11
1.0,0,7,0,11
1.0,0,7,1,11
1.0,0,7,2,11
1.0,0,7,3,11
1.0,0,7,4,11
1.0,0,7,5,11
1.0,0,7,6,11
1.0,0,7,7,11
1.0,0,7,8,11
1.0,0,7,9,11
1.0,0,7,10,11
1.0,0,7,11,11
1.0,0,7,12,11
1.0,0,7,13,11
1.0,0,7,14,11
1.0,0,7,15,12
1.0,0,8,0,11
1.0,0,8,1,11
1.0,0,8,2,11
1.0,0,8,3,11
1.0,0,8,4,11
1.0,0,8,5,11
1.0,0,8,6,11
1.0,0,8,7,11
1.0,0,8,8,11
1.0,0,8,9,11
1.0,0,8,10,11
1.0,0,8,11,11
1.0,0,8,12,11
1.0,0,8,13,11
1.0,0,8,14,11
1.0,0,8,15,12
1.0,0,9,0,11
1.0,0,9,1,11
1.0,0,9,2,11
1.0,0,9,3,11
1.0,0,9,4,11
1.0,0,9,5,11
1.0,0,9,6,11
1.0,0,9,7,11
1.0,0,9,8,11
1.0,0,9,9,11
1.0,0,9,10,11
1.0,0,9,11,11
1.0,0,9,12,11
1.0,0,9,13,11
1.0,0,9,14,12
1.0,0,9,15,12
1.0,0,10,0,11
1.0,0,10,1,11
1.0,0,10,2,11
1.0,0,10,3,11
1.0,0,10,4,11
1.0,0,10,5,11
1.0,0,10,6,11
1.0,0,10,7,11
1.0,0,10,8,11
1.0,0,10,9,11
1.0,0,10,10,11
1.0,0,10,11,11
1.0,0,10,12,11
1.0,0,10,13,12
1.0,0,10,14,12
1.0,0,10,15,12
1.0,0,11,0,11
1.0,0,11,1,11
1.0,0,11,2,11
1.0,0,11,3,11
1.0,0,11,4,11
1.0,0,11,5,11
1.0,0,11,6,11
1.0,0,11,7,11
1.0,0,11,8,11
1.0,0,11,9,11
1.0,0,11,10,11
1.0,0,11,11,11
1.0,0,11,12,12
1.0,0,11,13,12
1.0,0,11,14,12
1.0,0,11,15,12
1.0,0,12,0,11
1.0,0,12,1,11
1.0,0,12,2,11
1.0,0,12,3,11
1.0,0,12,4,11
1.0,0,12,5,11
1.0,0,12,6,11
1.0,0,12,7,11
1.0,0,12,8,11
1.0,0,12,9,11
1.0,0,12,10,11
1.0,0,12,11,12
1.0,0,12,12,12
1.0,0,12,13,12
1.0,0,12,14,12
1.0,0,12,15,12
1.0,0,13,0,11
1.0,0,13,1,11
1.0,0,13,2,11
1.0,0,13,3,11
1.0,0,13,4,11
1.0,0,13,5,11
1.0,0,13,6,11
1.0,0,13,7,11
1.0,0,13,8,11
1.0,0,13,9,11
1.0,0,13,10,11
1.0,0,13,11,12
1.0,0,13,12,12
1.0,0,13,13,12
1.0,0,13,14,12
1.0,0,13,15,12
1.0,0,14,0,11
1.0,0,14,1,11
1.0,0,14,2,11
1.0,0,14,3,11
1.0,0,14,4,11
1.0,0,14,5,11
1.0,0,14,6,11
1.0,0,14,7,11
1.0,0,14,8,11
1.0,0,14,9,11
1.0,0,14,10,12
1.0,0,14,11,12
1.0,0,14,12,12
1.0,0,14,13,12
1.0,0,14,14,12
1.0,0,14,15,12
1.0,0,15,0,11
1.0,0,15,1,11
1.0,0,15,2,11
1.0,0,15,3,11
1.0,0,15,4,11
1.0,0,15,5,11
1.0,0,15,6,11
1.0,0,15,7,11
1.0,0,15,8,11
1.0,0,15,9,12
1.0,0,15,10,12
1.0,0,15,11,12
1.0,0,15,12,12
1.0,0,15,13,12
1.0,0,15,14,12
1.0,0,15,15,12
1.0,1,0,0,11
1.0,1,0,1,11
1.0,1,0,2,11
1.0,1,0,3,11
1.0,1,0,4,11
1.0,1,0,5,11
1.0,1,0,6,11
1.0,1,0,7,11
1.0,1,0,8,11
1.0,1,0,9,11
1.0,1,0,10,11
1.0,1,0,11,11
1.0,1,0,12,11
1.0,1,0,13,11
1.0,1,0,14,11
1.0,1,0,15,11
1.0,1,1,0,11
1.0,1,1,1,11
1.0,1,1,2,11
1.0,1,1,3,11
1.0,1,1,4,11
1.0,1,1,5,11
1.0,1,1,6,11
1.0,1,1,7,11
1.0,1,1,8,11
1.0,1,1,9,11
1.0,1,1,10,11
1.0,1,1,11,11
1.0,1,1,12,11
1.0,1,1,13,11
1.0,1,1,14,11
1.0,1,1,15,11
1.0,1,2,0,11
1.0,1,2,1,11
1.0,1,2,2,11
1.0,1,2,3,11
1.0,1,2,4,11
1.0,1,2,5,11
1.0,1,2,6,11
1.0,1,2,7,11
1.0,1,2,8,11
1.0,1,2,9,11
1.0,1,2,10,11
1.0,1,2,11,11
1.0,1,2,12,11
1.0,1,2,13,11
1.0,1,2,14,11
1.0,1,2,15,11
1.0,1,3,0,11
1.0,1,3,1,11
