level,attack,defense,stamina,cp
1.0,0,0,0,30
1.0,0,0,1,30
1.0,0,0,2,30
1.0,0,0,3,31
1.0,0,0,4,31
1.0,0,0,5,31
1.0,0,0,6,31
1.0,0,0,7,31
1.0,0,0,8,31
1.0,0,0,9,31
1.0,0,0,10,31
1.0,0,0,11,31
1.0,0,0,12,31
1.0,0,0,13,31
1.0,0,0,14,31
1.0,0,0,15,31
1.0,0,1,0,30
1.0,0,1,1,30
1.0,0,1,2,31
1.0,0,1,3,31
1.0,0,1,4,31
1.0,0,1,5,31
1.0,0,1,6,31
1.0,0,1,7,31
1.0,0,1,8,31
1.0,0,1,9,31
1.0,0,1,10,31
1.0,0,1,11,31
1.0,0,1,12,31
1.0,0,1,13,31
1.0,0,1,14,31
1.0,0,1,15,31
1.0,0,2,0,31
1.0,0,2,1,31
1.0,0,2,2,31
1.0,0,2,3,31
1.0,0,2,4,31
1.0,0,2,5,31
1.0,0,2,6,31
1.0,0,2,7,31
1.0,0,2,8,31
1.0,0,2,9,31
1.0,0,2,10,31
1.0,0,2,11,31
1.0,0,2,12,31
1.0,0,2,13,31
1.0,0,2,14,31
1.0,0,2,15,32
1.0,0,3,0,31
1.0,0,3,1,31
1.0,0,3,2,31
1.0,0,3,3,31
1.0,0,3,4,31
1.0,0,3,5,31
1.0,0,3,6,31
1.0,0,3,7,31
1.0,0,3,8,31
1.0,0,3,9,31
1.0,0,3,10,31
1.0,0,3,11,31
1.0,0,3,12,31
1.0,0,3,13,32
1.0,0,3,14,32
1.0,0,3,15,32
1.0,0,4,0,31
1.0,0,4,1,31
1.0,0,4,2,31
1.0,0,4,3,31
1.0,0,4,4,31
1.0,0,4,5,31
1.0,0,4,6,31
1.0,0,4,7,31
1.0,0,4,8,31
1.0,0,4,9,31
1.0,0,4,10,31
1.0,0,4,11,31
1.0,0,4,12,32
1.0,0,4,13,32
1.0,0,4,14,32
1.0,0,4,15,32
1.0,0,5,0,31
1.0,0,5,1,31
1.0,0,5,2,31
1.0,0,5,3,31
1.0,0,5,4,31
1.0,0,5,5,31
1.0,0,5,6,31
1.0,0,5,7,31
1.0,0,5,8,31
1.0,0,5,9,31
1.0,0,5,10,31
1.0,0,5,11,32
1.0,0,5,12,32
1.0,0,5,13,32
1.0,0,5,14,32
1.0,0,5,15,32
1.0,0,6,0,31
1.0,0,6,1,31
1.0,0,6,2,31
1.0,0,6,3,31
1.0,0,6,4,31
1.0,0,6,5,31
1.0,0,6,6,31
1.0,0,6,7,31
1.0,0,6,8,31
1.0,0,6,9,31
1.0,0,6,10,32
1.0,0,6,11,32
1.0,0,6,12,32
1.0,0,6,13,32
1.0,0,6,14,32
1.0,0,6,15,32
1.0,0,7,0,31
1.0,0,7,1,31
1.0,0,7,2,31
1.0,0,7,3,31
1.0,0,7,4,31
1.0,0,7,5,31
1.0,0,7,6,31
1.0,0,7,7,31
1.0,0,7,8,32
1.0,0,7,9,32
1.0,0,7,10,32
1.0,0,7,11,32
1.0,0,7,12,32
1.0,0,7,13,32
1.0,0,7,14,32
1.0,0,7,15,32
1.0,0,8,0,31
1.0,0,8,1,31
1.0,0,8,2,31
1.0,0,8,3,31
1.0,0,8,4,31
1.0,0,8,5,31
1.0,0,8,6,31
1.0,0,8,7,32
1.0,0,8,8,32
1.0,0,8,9,32
1.0,0,8,10,32
1.0,0,8,11,32
1.0,0,8,12,32
1.0,0,8,13,32
1.0,0,8,14,32
1.0,0,8,15,32
1.0,0,9,0,31
1.0,0,9,1,31
1.0,0,9,2,31
1.0,0,9,3,31
1.0,0,9,4,31
1.0,0,9,5,31
1.0,0,9,6,32
1.0,0,9,7,32
1.0,0,9,8,32
1.0,0,9,9,32
1.0,0,9,10,32
1.0,0,9,11,32
1.0,0,9,12,32
1.0,0,9,13,32
1.0,0,9,14,32
1.0,0,9,15,32
1.0,0,10,0,31
1.0,0,10,1,31
1.0,0,10,2,31
1.0,0,10,3,31
1.0,0,10,4,31
1.0,0,10,5,32
1.0,0,10,6,32
1.0,0,10,7,32
1.0,0,10,8,32
1.0,0,10,9,32
1.0,0,10,10,32
1.0,0,10,11,32
1.0,0,10,12,32
1.0,0,10,13,32
1.0,0,10,14,32
1.0,0,10,15,32
1.0,0,11,0,31
1.0,0,11,1,31
1.0,0,11,2,31
1.0,0,11,3,31
1.0,0,11,4,32
1.0,0,11,5,32
1.0,0,11,6,32
1.0,0,11,7,32
1.0,0,11,8,32
1.0,0,11,9,32
1.0,0,11,10,32
1.0,0,11,11,32
1.0,0,11,12,32
1.0,0,11,13,32
1.0,0,11,14,32
1.0,0,11,15,32
1.0,0,12,0,31
1.0,0,12,1,31
1.0,0,12,2,31
1.0,0,12,3,32
1.0,0,12,4,32
1.0,0,12,5,32
1.0,0,12,6,32
1.0,0,12,7,32
1.0,0,12,8,32
1.0,0,12,9,32
1.0,0,12,10,32
1.0,0,12,11,32
1.0,0,12,12,32
1.0,0,12,13,32
1.0,0,12,14,32
1.0,0,12,15,32
1.0,0,13,0,31
1.0,0,13,1,32
1.0,0,13,2,32
1.0,0,13,3,32
1.0,0,13,4,32
1.0,0,13,5,32
1.0,0,13,6,32
1.0,0,13,7,32
1.0,0,13,8,32
1.0,0,13,9,32
1.0,0,13,10,32
1.0,0,13,11,32
1.0,0,13,12,32
1.0,0,13,13,32
1.0,0,13,14,32
1.0,0,13,15,33
1.0,0,14,0,32
1.0,0,14,1,32
1.0,0,14,2,32
1.0,0,14,3,32
1.0,0,14,4,32
1.0,0,14,5,32
1.0,0,14,6,32
1.0,0,14,7,32
1.0,0,14,8,32
1.0,0,14,9,32
1.0,0,14,10,32
1.0,0,14,11,32
1.0,0,14,12,32
1.0,0,14,13,32
1.0,0,14,14,33
1.0,0,14,15,33
1.0,0,15,0,32
1.0,0,15,1,32
1.0,0,15,2,32
1.0,0,15,3,32
1.0,0,15,4,32
1.0,0,15,5,32
1.0,0,15,6,32
1.0,0,15,7,32
1.0,0,15,8,32
1.0,0,15,9,32
1.0,0,15,10,32
1.0,0,15,11,32
1.0,0,15,12,32
1.0,0,15,13,33
1.0,0,15,14,33
1.0,0,15,15,33
1.0,1,0,0,31
1.0,1,0,1,31
1.0,1,0,2,31
1.0,1,0,3,31
1.0,1,0,4,31
1.0,1,0,5,31
1.0,1,0,6,31
1.0,1,0,7,31
1.0,1,0,8,31
1.0,1,0,9,31
1.0,1,0,10,31
1.0,1,0,11,31
1.0,1,0,12,31
1.0,1,0,13,31
1.0,1,0,14,32
1.0,1,0,15,32
