level,attack,defense,stamina,cp
1.0,0,0,0,24
1.0,0,0,1,24
1.0,0,0,2,24
1.0,0,0,3,24
1.0,0,0,4,24
1.0,0,0,5,24
1.0,0,0,6,24
1.0,0,0,7,24
1.0,0,0,8,25
1.0,0,0,9,25
1.0,0,0,10,25
1.0,0,0,11,25
1.0,0,0,12,25
1.0,0,0,13,25
1.0,0,0,14,25
1.0,0,0,15,25
1.0,0,1,0,24
1.0,0,1,1,24
1.0,0,1,2,24
1.0,0,1,3,24
1.0,0,1,4,24
1.0,0,1,5,24
1.0,0,1,6,24
1.0,0,1,7,25
1.0,0,1,8,25
1.0,0,1,9,25
1.0,0,1,10,25
1.0,0,1,11,25
1.0,0,1,12,25
1.0,0,1,13,25
1.0,0,1,14,25
1.0,0,1,15,25
1.0,0,2,0,24
1.0,0,2,1,24
1.0,0,2,2,24
1.0,0,2,3,24
1.0,0,2,4,24
1.0,0,2,5,24
1.0,0,2,6,25
1.0,0,2,7,25
1.0,0,2,8,25
1.0,0,2,9,25
1.0,0,2,10,25
1.0,0,2,11,25
1.0,0,2,12,25
1.0,0,2,13,25
1.0,0,2,14,25
1.0,0,2,15,25
1.0,0,3,0,24
1.0,0,3,1,24
1.0,0,3,2,24
1.0,0,3,3,24
1.0,0,3,4,24
1.0,0,3,5,25
1.0,0,3,6,25
1.0,0,3,7,25
1.0,0,3,8,25
1.0,0,3,9,25
1.0,0,3,10,25
1.0,0,3,11,25
1.0,0,3,12,25
1.0,0,3,13,25
1.0,0,3,14,25
1.0,0,3,15,25
1.0,0,4,0,24
1.0,0,4,1,24
1.0,0,4,2,24
1.0,0,4,3,24
1.0,0,4,4,25
1.0,0,4,5,25
1.0,0,4,6,25
1.0,0,4,7,25
1.0,0,4,8,25
1.0,0,4,9,25
1.0,0,4,10,25
1.0,0,4,11,25
1.0,0,4,12,25
1.0,0,4,13,25
1.0,0,4,14,25
1.0,0,4,15,25
1.0,0,5,0,24
1.0,0,5,1,24
1.0,0,5,2,24
1.0,0,5,3,25
1.0,0,5,4,25
1.0,0,5,5,25
1.0,0,5,6,25
1.0,0,5,7,25
1.0,0,5,8,25
1.0,0,5,9,25
1.0,0,5,10,25
1.0,0,5,11,25
1.0,0,5,12,25
1.0,0,5,13,25
1.0,0,5,14,25
1.0,0,5,15,26
1.0,0,6,0,24
1.0,0,6,1,24
1.0,0,6,2,25
1.0,0,6,3,25
1.0,0,6,4,25
1.0,0,6,5,25
1.0,0,6,6,25
1.0,0,6,7,25
1.0,0,6,8,25
1.0,0,6,9,25
1.0,0,6,10,25
1.0,0,6,11,25
1.0,0,6,12,25
1.0,0,6,13,25
1.0,0,6,14,26
1.0,0,6,15,26
1.0,0,7,0,24
1.0,0,7,1,25
1.0,0,7,2,25
1.0,0,7,3,25
1.0,0,7,4,25
1.0,0,7,5,25
1.0,0,7,6,25
1.0,0,7,7,25
1.0,0,7,8,25
1.0,0,7,9,25
1.0,0,7,10,25
1.0,0,7,11,25
1.0,0,7,12,25
1.0,0,7,13,26
1.0,0,7,14,26
1.0,0,7,15,26
1.0,0,8,0,25
1.0,0,8,1,25
1.0,0,8,2,25
1.0,0,8,3,25
1.0,0,8,4,25
1.0,0,8,5,25
1.0,0,8,6,25
1.0,0,8,7,25
1.0,0,8,8,25
1.0,0,8,9,25
1.0,0,8,10,25
1.0,0,8,11,25
1.0,0,8,12,26
1.0,0,8,13,26
1.0,0,8,14,26
1.0,0,8,15,26
1.0,0,9,0,25
1.0,0,9,1,25
1.0,0,9,2,25
1.0,0,9,3,25
1.0,0,9,4,25
1.0,0,9,5,25
1.0,0,9,6,25
1.0,0,9,7,25
1.0,0,9,8,25
1.0,0,9,9,25
1.0,0,9,10,25
1.0,0,9,11,26
1.0,0,9,12,26
1.0,0,9,13,26
1.0,0,9,14,26
1.0,0,9,15,26
1.0,0,10,0,25
1.0,0,10,1,25
1.0,0,10,2,25
1.0,0,10,3,25
1.0,0,10,4,25
1.0,0,10,5,25
1.0,0,10,6,25
1.0,0,10,7,25
1.0,0,10,8,25
1.0,0,10,9,25
1.0,0,10,10,26
1.0,0,10,11,26
1.0,0,10,12,26
1.0,0,10,13,26
1.0,0,10,14,26
1.0,0,10,15,26
1.0,0,11,0,25
1.0,0,11,1,25
1.0,0,11,2,25
1.0,0,11,3,25
1.0,0,11,4,25
1.0,0,11,5,25
1.0,0,11,6,25
1.0,0,11,7,25
1.0,0,11,8,25
1.0,0,11,9,26
1.0,0,11,10,26
1.0,0,11,11,26
1.0,0,11,12,26
1.0,0,11,13,26
1.0,0,11,14,26
1.0,0,11,15,26
1.0,0,12,0,25
1.0,0,12,1,25
1.0,0,12,2,25
1.0,0,12,3,25
1.0,0,12,4,25
1.0,0,12,5,25
1.0,0,12,6,25
1.0,0,12,7,25
1.0,0,12,8,26
1.0,0,12,9,26
1.0,0,12,10,26
1.0,0,12,11,26
1.0,0,12,12,26
1.0,0,12,13,26
1.0,0,12,14,26
1.0,0,12,15,26
1.0,0,13,0,25
1.0,0,13,1,25
1.0,0,13,2,25
1.0,0,13,3,25
1.0,0,13,4,25
1.0,0,13,5,25
1.0,0,13,6,25
1.0,0,13,7,26
1.0,0,13,8,26
1.0,0,13,9,26
1.0,0,13,10,26
1.0,0,13,11,26
1.0,0,13,12,26
1.0,0,13,13,26
1.0,0,13,14,26
1.0,0,13,15,26
1.0,0,14,0,25
1.0,0,14,1,25
1.0,0,14,2,25
1.0,0,14,3,25
1.0,0,14,4,25
1.0,0,14,5,25
1.0,0,14,6,26
1.0,0,14,7,26
1.0,0,14,8,26
1.0,0,14,9,26
1.0,0,14,10,26
1.0,0,14,11,26
1.0,0,14,12,26
1.0,0,14,13,26
1.0,0,14,14,26
1.0,0,14,15,26
1.0,0,15,0,25
1.0,0,15,1,25
1.0,0,15,2,25
1.0,0,15,3,25
1.0,0,15,4,25
1.0,0,15,5,26
1.0,0,15,6,26
1.0,0,15,7,26
1.0,0,15,8,26
1.0,0,15,9,26
1.0,0,15,10,26
1.0,0,15,11,26
1.0,0,15,12,26
1.0,0,15,13,26
1.0,0,15,14,26
1.0,0,15,15,26
1.0,1,0,0,24
1.0,1,0,1,24
1.0,1,0,2,24
1.0,1,0,3,24
1.0,1,0,4,24
1.0,1,0,5,24
1.0,1,0,6,25
1.0,1,0,7,25
1.0,1,0,8,25
1.0,1,0,9,25
1.0,1,0,10,25
1.0,1,0,11,25
1.0,1,0,12,25
1.0,1,0,13,25
1.0,1,0,14,25
1.0,1,0,15,25
1.0,1,1,0,24
1.0,1,1,1,24
1.0,1,1,2,24
1.0,1,1,3,24
1.0,1,1,4,24
1.0,1,1,5,25
1.0,1,1,6,25
1.0,1,1,7,25
1.0,1,1,8,25
1.0,1,1,9,25
1.0,1,1,10,25
1.0,1,1,11,25
1.0,1,1,12,25
1.0,1,1,13,25
1.0,1,1,14,25
1.0,1,1,15,25
1.0,1,2,0,24
1.0,1,2,1,24
1.0,1,2,2,24
1.0,1,2,3,24
1.0,1,2,4,25
1.0,1,2,5,25
1.0,1,2,6,25
1.0,1,2,7,25
1.0,1,2,8,25
1.0,1,2,9,25
1.0,1,2,10,25
1.0,1,2,11,25
1.0,1,2,12,25
1.0,1,2,13,25
1.0,1,2,14,25
1.0,1,2,15,25
1.0,1,3,0,24
1.0,1,3,1,24
1.0,1,3,2,24
1.0,1,3,3,25
1.0,1,3,4,25
1.0,1,3,5,25
1.0,1,3,6,25
1.0,1,3,7,25
1.0,1,3,8,25
1.0,1,3,9,25
1.0,1,3,10,25
1.0,1,3,11,25
1.0,1,3,12,25
1.0,1,3,13,25
1.0,1,3,14,25
1.0,1,3,15,26
1.0,1,4,0,24
1.0,1,4,1,24
1.0,1,4,2,25
1.0,1,4,3,25
1.0,1,4,4,25
1.0,1,4,5,25
1.0,1,4,6,25
1.0,1,4,7,25
1.0,1,4,8,25
1.0,1,4,9,25
1.0,1,4,10,25
1.0,1,4,11,25
1.0,1,4,12,25
1.0,1,4,13,25
1.0,1,4,14,26
1.0,1,4,15,26
1.0,1,5,0,24
1.0,1,5,1,25
1.0,1,5,2,25
1.0,1,5,3,25
1.0,1,5,4,25
1.0,1,5,5,25
1.0,1,5,6,25
1.0,1,5,7,25
1.0,1,5,8,25
1.0,1,5,9,25
1.0,1,5,10,25
1.0,1,5,11,25
1.0,1,5,12,25
1.0,1,5,13,26
1.0,1,5,14,26
1.0,1,5,15,26
1.0,1,6,0,25
1.0,1,6,1,25
1.0,1,6,2,25
1.0,1,6,3,25
1.0,1,6,4,25
1.0,1,6,5,25
1.0,1,6,6,25
1.0,1,6,7,25
1.0,1,6,8,25
1.0,1,6,9,25
1.0,1,6,10,25
1.0,1,6,11,25
1.0,1,6,12,26
1.0,1,6,13,26
1.0,1,6,14,26
1.0,1,6,15,26
1.0,1,7,0,25
1.0,1,7,1,25
1.0,1,7,2,25
1.0,1,7,3,25
1.0,1,7,4,25
1.0,1,7,5,25
1.0,1,7,6,25
1.0,1,7,7,25
1.0,1,7,8,25
1.0,1,7,9,25
1.0,1,7,10,25
1.0,1,7,11,26
1.0,1,7,12,26
1.0,1,7,13,26
1.0,1,7,14,26
1.0,1,7,15,26
1.0,1,8,0,25
1.0,1,8,1,25
1.0,1,8,2,25
1.0,1,8,3,25
1.0,1,8,4,25
1.0,1,8,5,25
1.0,1,8,6,25
1.0,1,8,7,25
1.0,1,8,8,25
1.0,1,8,9,25
1.0,1,8,10,26
1.0,1,8,11,26
1.0,1,8,12,26
1.0,1,8,13,26
1.0,1,8,14,26
1.0,1,8,15,26
1.0,1,9,0,25
1.0,1,9,1,25
1.0,1,9,2,25
