level,attack,defense,stamina,cp
1.0,6,6,6,41
1.0,6,6,7,42
1.0,6,6,8,42
1.0,6,6,9,42
1.0,6,6,10,42
1.0,6,6,11,42
1.0,6,6,12,42
1.0,6,6,13,42
1.0,6,6,14,42
1.0,6,6,15,42
1.0,6,7,6,42
1.0,6,7,7,42
1.0,6,7,8,42
1.0,6,7,9,42
1.0,6,7,10,42
1.0,6,7,11,42
1.0,6,7,12,42
1.0,6,7,13,42
1.0,6,7,14,42
1.0,6,7,15,42
1.0,6,8,6,42
1.0,6,8,7,42
1.0,6,8,8,42
1.0,6,8,9,42
1.0,6,8,10,42
1.0,6,8,11,42
1.0,6,8,12,42
1.0,6,8,13,42
1.0,6,8,14,42
1.0,6,8,15,42
1.0,6,9,6,42
1.0,6,9,7,42
1.0,6,9,8,42
1.0,6,9,9,42
1.0,6,9,10,42
1.0,6,9,11,42
1.0,6,9,12,42
1.0,6,9,13,42
1.0,6,9,14,42
1.0,6,9,15,42
1.0,6,10,6,42
1.0,6,10,7,42
1.0,6,10,8,42
1.0,6,10,9,42
1.0,6,10,10,42
1.0,6,10,11,42
1.0,6,10,12,42
1.0,6,10,13,42
1.0,6,10,14,42
1.0,6,10,15,43
1.0,6,11,6,42
1.0,6,11,7,42
1.0,6,11,8,42
1.0,6,11,9,42
1.0,6,11,10,42
1.0,6,11,11,42
1.0,6,11,12,42
1.0,6,11,13,43
1.0,6,11,14,43
1.0,6,11,15,43
1.0,6,12,6,42
1.0,6,12,7,42
1.0,6,12,8,42
1.0,6,12,9,42
1.0,6,12,10,42
1.0,6,12,11,43
1.0,6,12,12,43
1.0,6,12,13,43
1.0,6,12,14,43
1.0,6,12,15,43
1.0,6,13,6,42
1.0,6,13,7,42
1.0,6,13,8,42
1.0,6,13,9,43
1.0,6,13,10,43
1.0,6,13,11,43
1.0,6,13,12,43
1.0,6,13,13,43
1.0,6,13,14,43
1.0,6,13,15,43
1.0,6,14,6,42
1.0,6,14,7,43
1.0,6,14,8,43
1.0,6,14,9,43
