level,attack,defense,stamina,cp
1.0,6,6,6,11
1.0,6,6,7,11
1.0,6,6,8,11
1.0,6,6,9,11
1.0,6,6,10,11
1.0,6,6,11,11
1.0,6,6,12,11
1.0,6,6,13,11
1.0,6,6,14,11
1.0,6,6,15,11
1.0,6,7,6,11
1.0,6,7,7,11
1.0,6,7,8,11
1.0,6,7,9,11
1.0,6,7,10,11
1.0,6,7,11,11
1.0,6,7,12,11
1.0,6,7,13,11
1.0,6,7,14,11
1.0,6,7,15,11
1.0,6,8,6,11
1.0,6,8,7,11
1.0,6,8,8,11
1.0,6,8,9,11
1.0,6,8,10,11
1.0,6,8,11,11
1.0,6,8,12,11
1.0,6,8,13,11
1.0,6,8,14,11
1.0,6,8,15,11
1.0,6,9,6,11
1.0,6,9,7,11
1.0,6,9,8,11
1.0,6,9,9,11
1.0,6,9,10,11
1.0,6,9,11,11
1.0,6,9,12,11
1.0,6,9,13,11
1.0,6,9,14,11
1.0,6,9,15,12
1.0,6,10,6,11
1.0,6,10,7,11
1.0,6,10,8,11
1.0,6,10,9,11
1.0,6,10,10,11
1.0,6,10,11,11
1.0,6,10,12,11
1.0,6,10,13,11
1.0,6,10,14,12
1.0,6,10,15,12
1.0,6,11,6,11
1.0,6,11,7,11
1.0,6,11,8,11
1.0,6,11,9,11
1.0,6,11,10,11
1.0,6,11,11,11
1.0,6,11,12,11
1.0,6,11,13,12
1.0,6,11,14,12
1.0,6,11,15,12
1.0,6,12,6,11
1.0,6,12,7,11
1.0,6,12,8,11
1.0,6,12,9,11
1.0,6,12,10,11
1.0,6,12,11,11
1.0,6,12,12,12
1.0,6,12,13,12
1.0,6,12,14,12
1.0,6,12,15,12
1.0,6,13,6,11
1.0,6,13,7,11
1.0,6,13,8,11
1.0,6,13,9,11
1.0,6,13,10,11
1.0,6,13,11,12
1.0,6,13,12,12
1.0,6,13,13,12
1.0,6,13,14,12
1.0,6,13,15,12
1.0,6,14,6,11
1.0,6,14,7,11
1.0,6,14,8,11
1.0,6,14,9,11
1.0,6,14,10,12
1.0,6,14,11,12
1.0,6,14,12,12
1.0,6,14,13,12
1.0,6,14,14,12
1.0,6,14,15,12
1.0,6,15,6,11
1.0,6,15,7,11
1.0,6,15,8,11
1.0,6,15,9,12
1.0,6,15,10,12
1.0,6,15,11,12
1.0,6,15,12,12
1.0,6,15,13,12
1.0,6,15,14,12
1.0,6,15,15,12
