level,attack,defense,stamina,cp
1.0,6,6,6,24
1.0,6,6,7,24
1.0,6,6,8,24
1.0,6,6,9,24
1.0,6,6,10,24
1.0,6,6,11,24
1.0,6,6,12,24
1.0,6,6,13,24
1.0,6,6,14,25
1.0,6,6,15,25
1.0,6,7,6,24
1.0,6,7,7,24
1.0,6,7,8,24
1.0,6,7,9,24
1.0,6,7,10,24
1.0,6,7,11,24
1.0,6,7,12,24
1.0,6,7,13,25
1.0,6,7,14,25
1.0,6,7,15,25
1.0,6,8,6,24
1.0,6,8,7,24
1.0,6,8,8,24
1.0,6,8,9,24
1.0,6,8,10,24
1.0,6,8,11,24
1.0,6,8,12,25
1.0,6,8,13,25
1.0,6,8,14,25
1.0,6,8,15,25
1.0,6,9,6,24
1.0,6,9,7,24
1.0,6,9,8,24
1.0,6,9,9,24
1.0,6,9,10,25
1.0,6,9,11,25
1.0,6,9,12,25
1.0,6,9,13,25
1.0,6,9,14,25
1.0,6,9,15,25
1.0,6,10,6,24
1.0,6,10,7,24
1.0,6,10,8,24
1.0,6,10,9,25
1.0,6,10,10,25
1.0,6,10,11,25
1.0,6,10,12,25
1.0,6,10,13,25
1.0,6,10,14,25
1.0,6,10,15,25
1.0,6,11,6,24
1.0,6,11,7,24
1.0,6,11,8,25
1.0,6,11,9,25
1.0,6,11,10,25
1.0,6,11,11,25
1.0,6,11,12,25
1.0,6,11,13,25
1.0,6,11,14,25
1.0,6,11,15,25
1.0,6,12,6,24
1.0,6,12,7,25
1.0,6,12,8,25
1.0,6,12,9,25
1.0,6,12,10,25
1.0,6,12,11,25
1.0,6,12,12,25
1.0,6,12,13,25
1.0,6,12,14,25
1.0,6,12,15,25
1.0,6,13,6,25
1.0,6,13,7,25
1.0,6,13,8,25
1.0,6,13,9,25
1.0,6,13,10,25
1.0,6,13,11,25
1.0,6,13,12,25
1.0,6,13,13,25
1.0,6,13,14,25
1.0,6,13,15,25
1.0,6,14,6,25
1.0,6,14,7,25
1.0,6,14,8,25
1.0,6,14,9,25
1.0,6,14,10,25
1.0,6,14,11,25
1.0,6,14,12,25
1.0,6,14,13,25
1.0,6,14,14,25
1.0,6,14,15,25
1.0,6,15,6,25
1.0,6,15,7,25
1.0,6,15,8,25
1.0,6,15,9,25
1.0,6,15,10,25
1.0,6,15,11,25
1.0,6,15,12,25
1.0,6,15,13,25
1.0,6,15,14,25
1.0,6,15,15,25
1.0,7,6,6,24
1.0,7,6,7,24
1.0,7,6,8,24
1.0,7,6,9,24
1.0,7,6,10,24
1.0,7,6,11,24
1.0,7,6,12,24
1.0,7,6,13,25
1.0,7,6,14,25
1.0,7,6,15,25
1.0,7,7,6,24
1.0,7,7,7,24
1.0,7,7,8,24
1.0,7,7,9,24
1.0,7,7,10,24
1.0,7,7,11,25
1.0,7,7,12,25
1.0,7,7,13,25
1.0,7,7,14,25
1.0,7,7,15,25
1.0,7,8,6,24
1.0,7,8,7,24
1.0,7,8,8,24
1.0,7,8,9,24
1.0,7,8,10,25
1.0,7,8,11,25
1.0,7,8,12,25
1.0,7,8,13,25
1.0,7,8,14,25
1.0,7,8,15,25
1.0,7,9,6,24
1.0,7,9,7,24
1.0,7,9,8,24
1.0,7,9,9,25
1.0,7,9,10,25
1.0,7,9,11,25
1.0,7,9,12,25
1.0,7,9,13,25
1.0,7,9,14,25
1.0,7,9,15,25
1.0,7,10,6,24
1.0,7,10,7,24
1.0,7,10,8,25
1.0,7,10,9,25
1.0,7,10,10,25
1.0,7,10,11,25
1.0,7,10,12,25
1.0,7,10,13,25
1.0,7,10,14,25
1.0,7,10,15,25
1.0,7,11,6,25
1.0,7,11,7,25
1.0,7,11,8,25
1.0,7,11,9,25
1.0,7,11,10,25
1.0,7,11,11,25
1.0,7,11,12,25
1.0,7,11,13,25
1.0,7,11,14,25
1.0,7,11,15,25
1.0,7,12,6,25
1.0,7,12,7,25
1.0,7,12,8,25
1.0,7,12,9,25
1.0,7,12,10,25
1.0,7,12,11,25
1.0,7,12,12,25
1.0,7,12,13,25
1.0,7,12,14,25
1.0,7,12,15,25
1.0,7,13,6,25
1.0,7,13,7,25
1.0,7,13,8,25
1.0,7,13,9,25
1.0,7,13,10,25
1.0,7,13,11,25
1.0,7,13,12,25
1.0,7,13,13,25
1.0,7,13,14,25
1.0,7,13,15,25
1.0,7,14,6,25
1.0,7,14,7,25
1.0,7,14,8,25
1.0,7,14,9,25
1.0,7,14,10,25
1.0,7,14,11,25
1.0,7,14,12,25
1.0,7,14,13,25
1.0,7,14,14,25
1.0,7,14,15,25
1.0,7,15,6,25
1.0,7,15,7,25
1.0,7,15,8,25
1.0,7,15,9,25
1.0,7,15,10,25
1.0,7,15,11,25
1.0,7,15,12,25
1.0,7,15,13,25
1.0,7,15,14,26
1.0,7,15,15,26
1.0,8,6,6,24
1.0,8,6,7,24
1.0,8,6,8,24
1.0,8,6,9,24
1.0,8,6,10,24
1.0,8,6,11,25
1.0,8,6,12,25
1.0,8,6,13,25
1.0,8,6,14,25
1.0,8,6,15,25
1.0,8,7,6,24
1.0,8,7,7,24
1.0,8,7,8,24
1.0,8,7,9,24
1.0,8,7,10,25
1.0,8,7,11,25
1.0,8,7,12,25
1.0,8,7,13,25
1.0,8,7,14,25
1.0,8,7,15,25
1.0,8,8,6,24
1.0,8,8,7,24
1.0,8,8,8,25
1.0,8,8,9,25
1.0,8,8,10,25
1.0,8,8,11,25
1.0,8,8,12,25
1.0,8,8,13,25
1.0,8,8,14,25
1.0,8,8,15,25
1.0,8,9,6,24
1.0,8,9,7,25
1.0,8,9,8,25
1.0,8,9,9,25
1.0,8,9,10,25
1.0,8,9,11,25
1.0,8,9,12,25
1.0,8,9,13,25
1.0,8,9,14,25
1.0,8,9,15,25
1.0,8,10,6,25
1.0,8,10,7,25
1.0,8,10,8,25
1.0,8,10,9,25
