level,attack,defense,stamina,cp
1.0,6,6,6,39
1.0,6,6,7,39
1.0,6,6,8,39
1.0,6,6,9,39
1.0,6,6,10,39
1.0,6,6,11,39
1.0,6,6,12,39
1.0,6,6,13,40
1.0,6,6,14,40
1.0,6,6,15,40
1.0,6,7,6,39
1.0,6,7,7,39
1.0,6,7,8,39
1.0,6,7,9,39
1.0,6,7,10,39
1.0,6,7,11,39
1.0,6,7,12,40
1.0,6,7,13,40
1.0,6,7,14,40
1.0,6,7,15,40
1.0,6,8,6,39
1.0,6,8,7,39
1.0,6,8,8,39
1.0,6,8,9,39
1.0,6,8,10,39
1.0,6,8,11,40
1.0,6,8,12,40
1.0,6,8,13,40
1.0,6,8,14,40
1.0,6,8,15,40
1.0,6,9,6,39
1.0,6,9,7,39
1.0,6,9,8,39
1.0,6,9,9,39
1.0,6,9,10,40
1.0,6,9,11,40
1.0,6,9,12,40
1.0,6,9,13,40
1.0,6,9,14,40
1.0,6,9,15,40
1.0,6,10,6,39
1.0,6,10,7,39
1.0,6,10,8,40
1.0,6,10,9,40
1.0,6,10,10,40
1.0,6,10,11,40
1.0,6,10,12,40
1.0,6,10,13,40
1.0,6,10,14,40
1.0,6,10,15,40
1.0,6,11,6,39
1.0,6,11,7,40
1.0,6,11,8,40
1.0,6,11,9,40
1.0,6,11,10,40
1.0,6,11,11,40
1.0,6,11,12,40
1.0,6,11,13,40
1.0,6,11,14,40
1.0,6,11,15,40
1.0,6,12,6,40
1.0,6,12,7,40
1.0,6,12,8,40
1.0,6,12,9,40
1.0,6,12,10,40
1.0,6,12,11,40
1.0,6,12,12,40
1.0,6,12,13,40
1.0,6,12,14,40
1.0,6,12,15,40
1.0,6,13,6,40
1.0,6,13,7,40
1.0,6,13,8,40
1.0,6,13,9,40
1.0,6,13,10,40
1.0,6,13,11,40
1.0,6,13,12,40
1.0,6,13,13,40
1.0,6,13,14,40
1.0,6,13,15,40
1.0,6,14,6,40
1.0,6,14,7,40
1.0,6,14,8,40
1.0,6,14,9,40
1.0,6,14,10,40
1.0,6,14,11,40
1.0,6,14,12,40
1.0,6,14,13,40
1.0,6,14,14,40
1.0,6,14,15,41
1.0,6,15,6,40
1.0,6,15,7,40
1.0,6,15,8,40
1.0,6,15,9,40
1.0,6,15,10,40
1.0,6,15,11,40
1.0,6,15,12,40
1.0,6,15,13,40
1.0,6,15,14,41
1.0,6,15,15,41
1.0,7,6,6,39
1.0,7,6,7,39
1.0,7,6,8,39
1.0,7,6,9,39
1.0,7,6,10,39
1.0,7,6,11,40
1.0,7,6,12,40
1.0,7,6,13,40
1.0,7,6,14,40
1.0,7,6,15,40
1.0,7,7,6,39
1.0,7,7,7,39
1.0,7,7,8,39
1.0,7,7,9,39
1.0,7,7,10,40
1.0,7,7,11,40
1.0,7,7,12,40
1.0,7,7,13,40
1.0,7,7,14,40
1.0,7,7,15,40
1.0,7,8,6,39
1.0,7,8,7,39
1.0,7,8,8,39
1.0,7,8,9,40
1.0,7,8,10,40
1.0,7,8,11,40
1.0,7,8,12,40
1.0,7,8,13,40
1.0,7,8,14,40
1.0,7,8,15,40
1.0,7,9,6,39
1.0,7,9,7,40
1.0,7,9,8,40
1.0,7,9,9,40
1.0,7,9,10,40
1.0,7,9,11,40
1.0,7,9,12,40
1.0,7,9,13,40
1.0,7,9,14,40
1.0,7,9,15,40
1.0,7,10,6,40
1.0,7,10,7,40
1.0,7,10,8,40
1.0,7,10,9,40
1.0,7,10,10,40
1.0,7,10,11,40
1.0,7,10,12,40
1.0,7,10,13,40
1.0,7,10,14,40
1.0,7,10,15,40
1.0,7,11,6,40
1.0,7,11,7,40
1.0,7,11,8,40
1.0,7,11,9,40
1.0,7,11,10,40
1.0,7,11,11,40
1.0,7,11,12,40
1.0,7,11,13,40
1.0,7,11,14,40
1.0,7,11,15,40
1.0,7,12,6,40
1.0,7,12,7,40
1.0,7,12,8,40
1.0,7,12,9,40
1.0,7,12,10,40
1.0,7,12,11,40
1.0,7,12,12,40
1.0,7,12,13,40
1.0,7,12,14,40
1.0,7,12,15,41
1.0,7,13,6,40
1.0,7,13,7,40
1.0,7,13,8,40
1.0,7,13,9,40
1.0,7,13,10,40
1.0,7,13,11,40
1.0,7,13,12,40
1.0,7,13,13,40
1.0,7,13,14,41
1.0,7,13,15,41
1.0,7,14,6,40
1.0,7,14,7,40
