level,attack,defense,stamina,cp
1.0,6,6,6,27
1.0,6,6,7,27
1.0,6,6,8,27
1.0,6,6,9,27
1.0,6,6,10,27
1.0,6,6,11,27
1.0,6,6,12,27
1.0,6,6,13,27
1.0,6,6,14,27
1.0,6,6,15,28
1.0,6,7,6,27
1.0,6,7,7,27
1.0,6,7,8,27
1.0,6,7,9,27
1.0,6,7,10,27
1.0,6,7,11,27
1.0,6,7,12,27
1.0,6,7,13,27
1.0,6,7,14,28
1.0,6,7,15,28
1.0,6,8,6,27
1.0,6,8,7,27
1.0,6,8,8,27
1.0,6,8,9,27
1.0,6,8,10,27
1.0,6,8,11,27
1.0,6,8,12,27
1.0,6,8,13,28
1.0,6,8,14,28
1.0,6,8,15,28
1.0,6,9,6,27
1.0,6,9,7,27
1.0,6,9,8,27
1.0,6,9,9,27
1.0,6,9,10,27
1.0,6,9,11,27
1.0,6,9,12,28
1.0,6,9,13,28
1.0,6,9,14,28
1.0,6,9,15,28
1.0,6,10,6,27
1.0,6,10,7,27
1.0,6,10,8,27
1.0,6,10,9,27
1.0,6,10,10,27
1.0,6,10,11,28
1.0,6,10,12,28
1.0,6,10,13,28
1.0,6,10,14,28
1.0,6,10,15,28
1.0,6,11,6,27
1.0,6,11,7,27
1.0,6,11,8,27
1.0,6,11,9,27
1.0,6,11,10,28
1.0,6,11,11,28
1.0,6,11,12,28
1.0,6,11,13,28
1.0,6,11,14,28
1.0,6,11,15,28
1.0,6,12,6,27
1.0,6,12,7,27
1.0,6,12,8,27
1.0,6,12,9,28
1.0,6,12,10,28
1.0,6,12,11,28
1.0,6,12,12,28
1.0,6,12,13,28
1.0,6,12,14,28
1.0,6,12,15,28
1.0,6,13,6,27
1.0,6,13,7,27
1.0,6,13,8,28
1.0,6,13,9,28
1.0,6,13,10,28
1.0,6,13,11,28
1.0,6,13,12,28
1.0,6,13,13,28
1.0,6,13,14,28
1.0,6,13,15,28
1.0,6,14,6,27
1.0,6,14,7,28
1.0,6,14,8,28
1.0,6,14,9,28
1.0,6,14,10,28
1.0,6,14,11,28
1.0,6,14,12,28
1.0,6,14,13,28
1.0,6,14,14,28
1.0,6,14,15,28
1.0,6,15,6,28
1.0,6,15,7,28
1.0,6,15,8,28
1.0,6,15,9,28
1.0,6,15,10,28
1.0,6,15,11,28
1.0,6,15,12,28
1.0,6,15,13,28
1.0,6,15,14,28
1.0,6,15,15,28
1.0,7,6,6,27
1.0,7,6,7,27
1.0,7,6,8,27
1.0,7,6,9,27
1.0,7,6,10,27
1.0,7,6,11,27
1.0,7,6,12,27
1.0,7,6,13,28
1.0,7,6,14,28
1.0,7,6,15,28
1.0,7,7,6,27
1.0,7,7,7,27
1.0,7,7,8,27
1.0,7,7,9,27
1.0,7,7,10,27
1.0,7,7,11,27
1.0,7,7,12,28
1.0,7,7,13,28
1.0,7,7,14,28
