level,attack,defense,stamina,cp
1.0,0,0,0,24
1.0,0,0,1,25
1.0,0,0,2,25
1.0,0,0,3,25
1.0,0,0,4,25
1.0,0,0,5,25
1.0,0,0,6,25
1.0,0,0,7,25
1.0,0,0,8,25
1.0,0,0,9,25
1.0,0,0,10,25
1.0,0,0,11,25
1.0,0,0,12,25
1.0,0,0,13,25
1.0,0,0,14,25
1.0,0,0,15,25
1.0,0,1,0,24
1.0,0,1,1,25
1.0,0,1,2,25
1.0,0,1,3,25
1.0,0,1,4,25
1.0,0,1,5,25
1.0,0,1,6,25
1.0,0,1,7,25
1.0,0,1,8,25
1.0,0,1,9,25
1.0,0,1,10,25
1.0,0,1,11,25
1.0,0,1,12,25
1.0,0,1,13,25
1.0,0,1,14,25
1.0,0,1,15,26
1.0,0,2,0,25
1.0,0,2,1,25
1.0,0,2,2,25
1.0,0,2,3,25
1.0,0,2,4,25
1.0,0,2,5,25
1.0,0,2,6,25
1.0,0,2,7,25
1.0,0,2,8,25
1.0,0,2,9,25
1.0,0,2,10,25
1.0,0,2,11,25
1.0,0,2,12,25
1.0,0,2,13,25
1.0,0,2,14,26
1.0,0,2,15,26
1.0,0,3,0,25
1.0,0,3,1,25
1.0,0,3,2,25
1.0,0,3,3,25
1.0,0,3,4,25
1.0,0,3,5,25
1.0,0,3,6,25
1.0,0,3,7,25
1.0,0,3,8,25
1.0,0,3,9,25
1.0,0,3,10,25
1.0,0,3,11,25
1.0,0,3,12,25
1.0,0,3,13,26
1.0,0,3,14,26
1.0,0,3,15,26
1.0,0,4,0,25
1.0,0,4,1,25
1.0,0,4,2,25
1.0,0,4,3,25
1.0,0,4,4,25
1.0,0,4,5,25
1.0,0,4,6,25
1.0,0,4,7,25
1.0,0,4,8,25
1.0,0,4,9,25
1.0,0,4,10,25
1.0,0,4,11,25
1.0,0,4,12,26
1.0,0,4,13,26
1.0,0,4,14,26
1.0,0,4,15,26
1.0,0,5,0,25
1.0,0,5,1,25
1.0,0,5,2,25
1.0,0,5,3,25
1.0,0,5,4,25
1.0,0,5,5,25
1.0,0,5,6,25
1.0,0,5,7,25
1.0,0,5,8,25
1.0,0,5,9,25
1.0,0,5,10,25
1.0,0,5,11,26
1.0,0,5,12,26
1.0,0,5,13,26
1.0,0,5,14,26
1.0,0,5,15,26
1.0,0,6,0,25
1.0,0,6,1,25
1.0,0,6,2,25
1.0,0,6,3,25
1.0,0,6,4,25
1.0,0,6,5,25
1.0,0,6,6,25
1.0,0,6,7,25
1.0,0,6,8,25
1.0,0,6,9,25
1.0,0,6,10,26
1.0,0,6,11,26
1.0,0,6,12,26
1.0,0,6,13,26
1.0,0,6,14,26
1.0,0,6,15,26
1.0,0,7,0,25
1.0,0,7,1,25
1.0,0,7,2,25
1.0,0,7,3,25
1.0,0,7,4,25
1.0,0,7,5,25
1.0,0,7,6,25
1.0,0,7,7,25
1.0,0,7,8,25
1.0,0,7,9,26
1.0,0,7,10,26
1.0,0,7,11,26
1.0,0,7,12,26
1.0,0,7,13,26
1.0,0,7,14,26
1.0,0,7,15,26
1.0,0,8,0,25
1.0,0,8,1,25
1.0,0,8,2,25
1.0,0,8,3,25
1.0,0,8,4,25
1.0,0,8,5,25
1.0,0,8,6,25
1.0,0,8,7,25
1.0,0,8,8,26
1.0,0,8,9,26
1.0,0,8,10,26
1.0,0,8,11,26
1.0,0,8,12,26
1.0,0,8,13,26
1.0,0,8,14,26
1.0,0,8,15,26
1.0,0,9,0,25
1.0,0,9,1,25
1.0,0,9,2,25
1.0,0,9,3,25
1.0,0,9,4,25
1.0,0,9,5,25
1.0,0,9,6,25
1.0,0,9,7,25
1.0,0,9,8,26
1.0,0,9,9,26
1.0,0,9,10,26
1.0,0,9,11,26
1.0,0,9,12,26
1.0,0,9,13,26
1.0,0,9,14,26
