level,attack,defense,stamina,cp
1.0,6,6,6,48
1.0,6,6,7,48
1.0,6,6,8,48
1.0,6,6,9,48
1.0,6,6,10,48
1.0,6,6,11,49
1.0,6,6,12,49
1.0,6,6,13,49
1.0,6,6,14,49
1.0,6,6,15,49
1.0,6,7,6,48
1.0,6,7,7,48
1.0,6,7,8,48
1.0,6,7,9,48
1.0,6,7,10,49
1.0,6,7,11,49
1.0,6,7,12,49
1.0,6,7,13,49
1.0,6,7,14,49
1.0,6,7,15,49
1.0,6,8,6,48
1.0,6,8,7,48
1.0,6,8,8,48
1.0,6,8,9,49
1.0,6,8,10,49
1.0,6,8,11,49
1.0,6,8,12,49
1.0,6,8,13,49
1.0,6,8,14,49
1.0,6,8,15,49
1.0,6,9,6,48
1.0,6,9,7,48
1.0,6,9,8,49
1.0,6,9,9,49
1.0,6,9,10,49
1.0,6,9,11,49
1.0,6,9,12,49
1.0,6,9,13,49
1.0,6,9,14,49
1.0,6,9,15,49
1.0,6,10,6,48
1.0,6,10,7,49
1.0,6,10,8,49
1.0,6,10,9,49
1.0,6,10,10,49
1.0,6,10,11,49
1.0,6,10,12,49
1.0,6,10,13,49
1.0,6,10,14,49
1.0,6,10,15,49
1.0,6,11,6,48
1.0,6,11,7,49
1.0,6,11,8,49
1.0,6,11,9,49
1.0,6,11,10,49
1.0,6,11,11,49
1.0,6,11,12,49
1.0,6,11,13,49
1.0,6,11,14,49
1.0,6,11,15,50
1.0,6,12,6,49
1.0,6,12,7,49
1.0,6,12,8,49
1.0,6,12,9,49
1.0,6,12,10,49
1.0,6,12,11,49
1.0,6,12,12,49
1.0,6,12,13,49
1.0,6,12,14,50
1.0,6,12,15,50
1.0,6,13,6,49
1.0,6,13,7,49
1.0,6,13,8,49
1.0,6,13,9,49
1.0,6,13,10,49
1.0,6,13,11,49
1.0,6,13,12,49
1.0,6,13,13,50
1.0,6,13,14,50
1.0,6,13,15,50
1.0,6,14,6,49
1.0,6,14,7,49
1.0,6,14,8,49
1.0,6,14,9,49
1.0,6,14,10,49
1.0,6,14,11,49
1.0,6,14,12,50
1.0,6,14,13,50
1.0,6,14,14,50
1.0,6,14,15,50
1.0,6,15,6,49
1.0,6,15,7,49
1.0,6,15,8,49
1.0,6,15,9,49
1.0,6,15,10,49
1.0,6,15,11,49
1.0,6,15,12,50
1.0,6,15,13,50
1.0,6,15,14,50
1.0,6,15,15,50
1.0,7,6,6,48
1.0,7,6,7,48
1.0,7,6,8,48
1.0,7,6,9,49
1.0,7,6,10,49
1.0,7,6,11,49
1.0,7,6,12,49
1.0,7,6,13,49
1.0,7,6,14,49
