level,attack,defense,stamina,cp
1.0,0,0,0,21
1.0,0,0,1,21
1.0,0,0,2,21
1.0,0,0,3,21
1.0,0,0,4,21
1.0,0,0,5,22
1.0,0,0,6,22
1.0,0,0,7,22
1.0,0,0,8,22
1.0,0,0,9,22
1.0,0,0,10,22
1.0,0,0,11,22
1.0,0,0,12,22
1.0,0,0,13,22
1.0,0,0,14,22
1.0,0,0,15,22
1.0,0,1,0,21
1.0,0,1,1,21
1.0,0,1,2,21
1.0,0,1,3,22
1.0,0,1,4,22
1.0,0,1,5,22
1.0,0,1,6,22
1.0,0,1,7,22
1.0,0,1,8,22
1.0,0,1,9,22
1.0,0,1,10,22
1.0,0,1,11,22
1.0,0,1,12,22
1.0,0,1,13,22
1.0,0,1,14,22
1.0,0,1,15,22
1.0,0,2,0,21
1.0,0,2,1,22
1.0,0,2,2,22
1.0,0,2,3,22
1.0,0,2,4,22
1.0,0,2,5,22
1.0,0,2,6,22
1.0,0,2,7,22
1.0,0,2,8,22
1.0,0,2,9,22
1.0,0,2,10,22
1.0,0,2,11,22
1.0,0,2,12,22
1.0,0,2,13,22
1.0,0,2,14,22
1.0,0,2,15,22
1.0,0,3,0,22
1.0,0,3,1,22
1.0,0,3,2,22
1.0,0,3,3,22
1.0,0,3,4,22
1.0,0,3,5,22
1.0,0,3,6,22
1.0,0,3,7,22
1.0,0,3,8,22
1.0,0,3,9,22
1.0,0,3,10,22
1.0,0,3,11,22
1.0,0,3,12,22
1.0,0,3,13,22
1.0,0,3,14,22
1.0,0,3,15,22
1.0,0,4,0,22
1.0,0,4,1,22
1.0,0,4,2,22
1.0,0,4,3,22
1.0,0,4,4,22
1.0,0,4,5,22
1.0,0,4,6,22
1.0,0,4,7,22
1.0,0,4,8,22
1.0,0,4,9,22
1.0,0,4,10,22
1.0,0,4,11,22
1.0,0,4,12,22
1.0,0,4,13,22
1.0,0,4,14,22
1.0,0,4,15,23
1.0,0,5,0,22
1.0,0,5,1,22
1.0,0,5,2,22
1.0,0,5,3,22
1.0,0,5,4,22
1.0,0,5,5,22
1.0,0,5,6,22
1.0,0,5,7,22
1.0,0,5,8,22
1.0,0,5,9,22
1.0,0,5,10,22
1.0,0,5,11,22
1.0,0,5,12,22
1.0,0,5,13,23
1.0,0,5,14,23
1.0,0,5,15,23
1.0,0,6,0,22
1.0,0,6,1,22
1.0,0,6,2,22
1.0,0,6,3,22
1.0,0,6,4,22
1.0,0,6,5,22
1.0,0,6,6,22
1.0,0,6,7,22
1.0,0,6,8,22
1.0,0,6,9,22
1.0,0,6,10,22
1.0,0,6,11,23
1.0,0,6,12,23
1.0,0,6,13,23
1.0,0,6,14,23
1.0,0,6,15,23
1.0,0,7,0,22
1.0,0,7,1,22
1.0,0,7,2,22
1.0,0,7,3,22
1.0,0,7,4,22
1.0,0,7,5,22
1.0,0,7,6,22
1.0,0,7,7,22
1.0,0,7,8,22
1.0,0,7,9,23
1.0,0,7,10,23
1.0,0,7,11,23
1.0,0,7,12,23
1.0,0,7,13,23
1.0,0,7,14,23
1.0,0,7,15,23
1.0,0,8,0,22
1.0,0,8,1,22
1.0,0,8,2,22
1.0,0,8,3,22
1.0,0,8,4,22
1.0,0,8,5,22
1.0,0,8,6,22
1.0,0,8,7,22
1.0,0,8,8,23
1.0,0,8,9,23
1.0,0,8,10,23
1.0,0,8,11,23
1.0,0,8,12,23
1.0,0,8,13,23
1.0,0,8,14,23
1.0,0,8,15,23
1.0,0,9,0,22
1.0,0,9,1,22
1.0,0,9,2,22
1.0,0,9,3,22
1.0,0,9,4,22
1.0,0,9,5,22
1.0,0,9,6,23
1.0,0,9,7,23
1.0,0,9,8,23
1.0,0,9,9,23
1.0,0,9,10,23
1.0,0,9,11,23
1.0,0,9,12,23
1.0,0,9,13,23
1.0,0,9,14,23
1.0,0,9,15,23
1.0,0,10,0,22
1.0,0,10,1,22
1.0,0,10,2,22
1.0,0,10,3,22
1.0,0,10,4,23
1.0,0,10,5,23
1.0,0,10,6,23
1.0,0,10,7,23
1.0,0,10,8,23
1.0,0,10,9,23
1.0,0,10,10,23
1.0,0,10,11,23
1.0,0,10,12,23
1.0,0,10,13,23
1.0,0,10,14,23
1.0,0,10,15,23
1.0,0,11,0,22
1.0,0,11,1,22
1.0,0,11,2,23
1.0,0,11,3,23
1.0,0,11,4,23
1.0,0,11,5,23
1.0,0,11,6,23
1.0,0,11,7,23
1.0,0,11,8,23
1.0,0,11,9,23
1.0,0,11,10,23
1.0,0,11,11,23
1.0,0,11,12,23
1.0,0,11,13,23
1.0,0,11,14,23
1.0,0,11,15,23
1.0,0,12,0,22
1.0,0,12,1,23
1.0,0,12,2,23
1.0,0,12,3,23
1.0,0,12,4,23
1.0,0,12,5,23
1.0,0,12,6,23
1.0,0,12,7,23
1.0,0,12,8,23
1.0,0,12,9,23
1.0,0,12,10,23
1.0,0,12,11,23
1.0,0,12,12,23
1.0,0,12,13,23
1.0,0,12,14,23
1.0,0,12,15,23
1.0,0,13,0,23
1.0,0,13,1,23
1.0,0,13,2,23
1.0,0,13,3,23
1.0,0,13,4,23
1.0,0,13,5,23
1.0,0,13,6,23
1.0,0,13,7,23
1.0,0,13,8,23
1.0,0,13,9,23
1.0,0,13,10,23
1.0,0,13,11,23
1.0,0,13,12,23
1.0,0,13,13,23
1.0,0,13,14,23
1.0,0,13,15,23
1.0,0,14,0,23
1.0,0,14,1,23
1.0,0,14,2,23
1.0,0,14,3,23
1.0,0,14,4,23
1.0,0,14,5,23
1.0,0,14,6,23
1.0,0,14,7,23
1.0,0,14,8,23
1.0,0,14,9,23
1.0,0,14,10,23
1.0,0,14,11,23
1.0,0,14,12,23
1.0,0,14,13,23
1.0,0,14,14,24
1.0,0,14,15,24
1.0,0,15,0,23
1.0,0,15,1,23
1.0,0,15,2,23
1.0,0,15,3,23
1.0,0,15,4,23
1.0,0,15,5,23
1.0,0,15,6,23
1.0,0,15,7,23
1.0,0,15,8,23
1.0,0,15,9,23
1.0,0,15,10,23
1.0,0,15,11,23
1.0,0,15,12,24
1.0,0,15,13,24
1.0,0,15,14,24
1.0,0,15,15,24
1.0,1,0,0,21
1.0,1,0,1,21
1.0,1,0,2,21
1.0,1,0,3,22
1.0,1,0,4,22
1.0,1,0,5,22
1.0,1,0,6,22
1.0,1,0,7,22
1.0,1,0,8,22
1.0,1,0,9,22
1.0,1,0,10,22
1.0,1,0,11,22
1.0,1,0,12,22
1.0,1,0,13,22
1.0,1,0,14,22
1.0,1,0,15,22
1.0,1,1,0,21
1.0,1,1,1,22
1.0,1,1,2,22
1.0,1,1,3,22
1.0,1,1,4,22
1.0,1,1,5,22
1.0,1,1,6,22
1.0,1,1,7,22
1.0,1,1,8,22
1.0,1,1,9,22
1.0,1,1,10,22
1.0,1,1,11,22
1.0,1,1,12,22
1.0,1,1,13,22
1.0,1,1,14,22
1.0,1,1,15,22
1.0,1,2,0,22
1.0,1,2,1,22
1.0,1,2,2,22
1.0,1,2,3,22
1.0,1,2,4,22
1.0,1,2,5,22
1.0,1,2,6,22
1.0,1,2,7,22
1.0,1,2,8,22
1.0,1,2,9,22
1.0,1,2,10,22
1.0,1,2,11,22
1.0,1,2,12,22
1.0,1,2,13,22
1.0,1,2,14,22
1.0,1,2,15,22
1.0,1,3,0,22
1.0,1,3,1,22
1.0,1,3,2,22
1.0,1,3,3,22
1.0,1,3,4,22
1.0,1,3,5,22
1.0,1,3,6,22
1.0,1,3,7,22
1.0,1,3,8,22
1.0,1,3,9,22
1.0,1,3,10,22
1.0,1,3,11,22
1.0,1,3,12,22
1.0,1,3,13,22
1.0,1,3,14,22
1.0,1,3,15,23
1.0,1,4,0,22
1.0,1,4,1,22
1.0,1,4,2,22
1.0,1,4,3,22
1.0,1,4,4,22
1.0,1,4,5,22
