level,attack,defense,stamina,cp
1.0,6,6,6,3
1.0,6,6,7,3
1.0,6,6,8,3
1.0,6,6,9,3
1.0,6,6,10,3
1.0,6,6,11,3
1.0,6,6,12,3
1.0,6,6,13,3
1.0,6,6,14,3
1.0,6,6,15,3
1.0,6,7,6,3
1.0,6,7,7,3
1.0,6,7,8,3
1.0,6,7,9,3
1.0,6,7,10,3
1.0,6,7,11,3
1.0,6,7,12,3
1.0,6,7,13,3
1.0,6,7,14,3
1.0,6,7,15,3
1.0,6,8,6,3
1.0,6,8,7,3
1.0,6,8,8,3
1.0,6,8,9,3
1.0,6,8,10,3
1.0,6,8,11,3
1.0,6,8,12,3
1.0,6,8,13,3
1.0,6,8,14,3
1.0,6,8,15,3
1.0,6,9,6,3
1.0,6,9,7,3
1.0,6,9,8,3
1.0,6,9,9,3
1.0,6,9,10,3
1.0,6,9,11,3
1.0,6,9,12,3
1.0,6,9,13,3
1.0,6,9,14,3
1.0,6,9,15,3
1.0,6,10,6,3
1.0,6,10,7,3
1.0,6,10,8,3
1.0,6,10,9,3
1.0,6,10,10,3
1.0,6,10,11,3
1.0,6,10,12,3
1.0,6,10,13,3
1.0,6,10,14,3
1.0,6,10,15,4
1.0,6,11,6,3
1.0,6,11,7,3
1.0,6,11,8,3
1.0,6,11,9,3
1.0,6,11,10,3
1.0,6,11,11,3
1.0,6,11,12,3
1.0,6,11,13,4
1.0,6,11,14,4
1.0,6,11,15,4
1.0,6,12,6,3
1.0,6,12,7,3
1.0,6,12,8,3
1.0,6,12,9,3
1.0,6,12,10,4
1.0,6,12,11,4
1.0,6,12,12,4
1.0,6,12,13,4
1.0,6,12,14,4
1.0,6,12,15,4
1.0,6,13,6,3
1.0,6,13,7,3
1.0,6,13,8,4
1.0,6,13,9,4
1.0,6,13,10,4
1.0,6,13,11,4
1.0,6,13,12,4
1.0,6,13,13,4
1.0,6,13,14,4
1.0,6,13,15,4
1.0,6,14,6,4
1.0,6,14,7,4
1.0,6,14,8,4
1.0,6,14,9,4
1.0,6,14,10,4
1.0,6,14,11,4
1.0,6,14,12,4
1.0,6,14,13,4
1.0,6,14,14,4
1.0,6,14,15,4
1.0,6,15,6,4
1.0,6,15,7,4
1.0,6,15,8,4
1.0,6,15,9,4
1.0,6,15,10,4
1.0,6,15,11,4
1.0,6,15,12,4
1.0,6,15,13,4
1.0,6,15,14,4
1.0,6,15,15,4
1.0,7,6,6,3
1.0,7,6,7,3
1.0,7,6,8,3
1.0,7,6,9,3
1.0,7,6,10,3
1.0,7,6,11,3
1.0,7,6,12,3
1.0,7,6,13,3
1.0,7,6,14,3
1.0,7,6,15,3
1.0,7,7,6,3
1.0,7,7,7,3
1.0,7,7,8,3
1.0,7,7,9,3
1.0,7,7,10,3
1.0,7,7,11,3
1.0,7,7,12,3
1.0,7,7,13,3
1.0,7,7,14,3
1.0,7,7,15,3
1.0,7,8,6,3
1.0,7,8,7,3
1.0,7,8,8,3
1.0,7,8,9,3
1.0,7,8,10,3
1.0,7,8,11,3
1.0,7,8,12,3
1.0,7,8,13,3
1.0,7,8,14,3
1.0,7,8,15,3
1.0,7,9,6,3
1.0,7,9,7,3
1.0,7,9,8,3
1.0,7,9,9,3
1.0,7,9,10,3
1.0,7,9,11,3
1.0,7,9,12,3
1.0,7,9,13,4
1.0,7,9,14,4
1.0,7,9,15,4
1.0,7,10,6,3
1.0,7,10,7,3
1.0,7,10,8,3
1.0,7,10,9,3
1.0,7,10,10,4
1.0,7,10,11,4
1.0,7,10,12,4
