level,attack,defense,stamina,cp
1.0,6,6,6,6
1.0,6,6,7,6
1.0,6,6,8,6
1.0,6,6,9,6
1.0,6,6,10,6
1.0,6,6,11,6
1.0,6,6,12,6
1.0,6,6,13,6
1.0,6,6,14,6
1.0,6,6,15,6
1.0,6,7,6,6
1.0,6,7,7,6
1.0,6,7,8,6
1.0,6,7,9,6
1.0,6,7,10,6
1.0,6,7,11,6
1.0,6,7,12,6
1.0,6,7,13,6
1.0,6,7,14,6
1.0,6,7,15,6
1.0,6,8,6,6
1.0,6,8,7,6
1.0,6,8,8,6
1.0,6,8,9,6
1.0,6,8,10,6
1.0,6,8,11,6
1.0,6,8,12,6
1.0,6,8,13,6
1.0,6,8,14,6
1.0,6,8,15,7
1.0,6,9,6,6
1.0,6,9,7,6
1.0,6,9,8,6
1.0,6,9,9,6
1.0,6,9,10,6
1.0,6,9,11,6
1.0,6,9,12,6
1.0,6,9,13,7
1.0,6,9,14,7
1.0,6,9,15,7
1.0,6,10,6,6
1.0,6,10,7,6
1.0,6,10,8,6
1.0,6,10,9,6
1.0,6,10,10,6
1.0,6,10,11,7
1.0,6,10,12,7
1.0,6,10,13,7
1.0,6,10,14,7
1.0,6,10,15,7
1.0,6,11,6,6
1.0,6,11,7,6
1.0,6,11,8,6
1.0,6,11,9,7
1.0,6,11,10,7
1.0,6,11,11,7
1.0,6,11,12,7
1.0,6,11,13,7
1.0,6,11,14,7
1.0,6,11,15,7
1.0,6,12,6,6
1.0,6,12,7,7
1.0,6,12,8,7
1.0,6,12,9,7
1.0,6,12,10,7
1.0,6,12,11,7
1.0,6,12,12,7
1.0,6,12,13,7
1.0,6,12,14,7
1.0,6,12,15,7
1.0,6,13,6,7
1.0,6,13,7,7
1.0,6,13,8,7
1.0,6,13,9,7
1.0,6,13,10,7
1.0,6,13,11,7
1.0,6,13,12,7
1.0,6,13,13,7
1.0,6,13,14,7
1.0,6,13,15,7
1.0,6,14,6,7
1.0,6,14,7,7
1.0,6,14,8,7
1.0,6,14,9,7
1.0,6,14,10,7
1.0,6,14,11,7
1.0,6,14,12,7
