level,attack,defense,stamina,cp
1.0,0,0,0,33
1.0,0,0,1,33
1.0,0,0,2,33
1.0,0,0,3,33
1.0,0,0,4,33
1.0,0,0,5,33
1.0,0,0,6,33
1.0,0,0,7,33
1.0,0,0,8,33
1.0,0,0,9,33
1.0,0,0,10,33
1.0,0,0,11,34
1.0,0,0,12,34
1.0,0,0,13,34
1.0,0,0,14,34
1.0,0,0,15,34
1.0,0,1,0,33
1.0,0,1,1,33
1.0,0,1,2,33
1.0,0,1,3,33
1.0,0,1,4,33
1.0,0,1,5,33
1.0,0,1,6,33
1.0,0,1,7,33
1.0,0,1,8,33
1.0,0,1,9,34
1.0,0,1,10,34
1.0,0,1,11,34
1.0,0,1,12,34
1.0,0,1,13,34
1.0,0,1,14,34
1.0,0,1,15,34
1.0,0,2,0,33
1.0,0,2,1,33
1.0,0,2,2,33
1.0,0,2,3,33
1.0,0,2,4,33
1.0,0,2,5,33
1.0,0,2,6,33
1.0,0,2,7,33
1.0,0,2,8,34
1.0,0,2,9,34
1.0,0,2,10,34
1.0,0,2,11,34
1.0,0,2,12,34
1.0,0,2,13,34
1.0,0,2,14,34
1.0,0,2,15,34
1.0,0,3,0,33
1.0,0,3,1,33
1.0,0,3,2,33
1.0,0,3,3,33
1.0,0,3,4,33
1.0,0,3,5,33
1.0,0,3,6,34
1.0,0,3,7,34
1.0,0,3,8,34
1.0,0,3,9,34
1.0,0,3,10,34
1.0,0,3,11,34
1.0,0,3,12,34
1.0,0,3,13,34
1.0,0,3,14,34
1.0,0,3,15,34
1.0,0,4,0,33
1.0,0,4,1,33
1.0,0,4,2,33
1.0,0,4,3,33
1.0,0,4,4,33
1.0,0,4,5,34
1.0,0,4,6,34
1.0,0,4,7,34
1.0,0,4,8,34
1.0,0,4,9,34
1.0,0,4,10,34
1.0,0,4,11,34
1.0,0,4,12,34
1.0,0,4,13,34
1.0,0,4,14,34
1.0,0,4,15,34
1.0,0,5,0,33
1.0,0,5,1,33
1.0,0,5,2,33
1.0,0,5,3,34
1.0,0,5,4,34
1.0,0,5,5,34
1.0,0,5,6,34
1.0,0,5,7,34
1.0,0,5,8,34
1.0,0,5,9,34
