level,attack,defense,stamina,cp
1.0,6,6,6,54
1.0,6,6,7,55
1.0,6,6,8,55
1.0,6,6,9,55
1.0,6,6,10,55
1.0,6,6,11,55
1.0,6,6,12,55
1.0,6,6,13,55
1.0,6,6,14,56
1.0,6,6,15,56
1.0,6,7,6,55
1.0,6,7,7,55
1.0,6,7,8,55
1.0,6,7,9,55
1.0,6,7,10,55
1.0,6,7,11,55
1.0,6,7,12,55
1.0,6,7,13,56
1.0,6,7,14,56
1.0,6,7,15,56
1.0,6,8,6,55
1.0,6,8,7,55
1.0,6,8,8,55
1.0,6,8,9,55
1.0,6,8,10,55
1.0,6,8,11,55
1.0,6,8,12,55
1.0,6,8,13,56
1.0,6,8,14,56
1.0,6,8,15,56
1.0,6,9,6,55
1.0,6,9,7,55
1.0,6,9,8,55
1.0,6,9,9,55
1.0,6,9,10,55
1.0,6,9,11,55
1.0,6,9,12,56
1.0,6,9,13,56
1.0,6,9,14,56
1.0,6,9,15,56
1.0,6,10,6,55
1.0,6,10,7,55
1.0,6,10,8,55
1.0,6,10,9,55
1.0,6,10,10,55
1.0,6,10,11,56
1.0,6,10,12,56
1.0,6,10,13,56
1.0,6,10,14,56
1.0,6,10,15,56
1.0,6,11,6,55
1.0,6,11,7,55
1.0,6,11,8,55
1.0,6,11,9,55
1.0,6,11,10,55
1.0,6,11,11,56
1.0,6,11,12,56
1.0,6,11,13,56
1.0,6,11,14,56
1.0,6,11,15,56
1.0,6,12,6,55
1.0,6,12,7,55
1.0,6,12,8,55
1.0,6,12,9,55
1.0,6,12,10,56
1.0,6,12,11,56
1.0,6,12,12,56
1.0,6,12,13,56
1.0,6,12,14,56
1.0,6,12,15,56
1.0,6,13,6,55
1.0,6,13,7,55
1.0,6,13,8,55
1.0,6,13,9,56
1.0,6,13,10,56
1.0,6,13,11,56
1.0,6,13,12,56
1.0,6,13,13,56
1.0,6,13,14,56
1.0,6,13,15,56
1.0,6,14,6,55
1.0,6,14,7,55
1.0,6,14,8,55
1.0,6,14,9,56
1.0,6,14,10,56
1.0,6,14,11,56
1.0,6,14,12,56
1.0,6,14,13,56
1.0,6,14,14,56
1.0,6,14,15,56
1.0,6,15,6,55
1.0,6,15,7,55
1.0,6,15,8,56
1.0,6,15,9,56
1.0,6,15,10,56
1.0,6,15,11,56
1.0,6,15,12,56
1.0,6,15,13,56
1.0,6,15,14,56
1.0,6,15,15,57
1.0,7,6,6,55
1.0,7,6,7,55
1.0,7,6,8,55
1.0,7,6,9,55
1.0,7,6,10,55
1.0,7,6,11,55
1.0,7,6,12,55
1.0,7,6,13,56
1.0,7,6,14,56
