level,attack,defense,stamina,cp
1.0,0,0,0,47
1.0,0,0,1,47
1.0,0,0,2,48
1.0,0,0,3,48
1.0,0,0,4,48
1.0,0,0,5,48
1.0,0,0,6,48
1.0,0,0,7,48
1.0,0,0,8,48
1.0,0,0,9,48
1.0,0,0,10,48
1.0,0,0,11,48
1.0,0,0,12,49
1.0,0,0,13,49
1.0,0,0,14,49
1.0,0,0,15,49
1.0,0,1,0,47
1.0,0,1,1,48
1.0,0,1,2,48
1.0,0,1,3,48
1.0,0,1,4,48
1.0,0,1,5,48
1.0,0,1,6,48
1.0,0,1,7,48
1.0,0,1,8,48
1.0,0,1,9,48
1.0,0,1,10,48
1.0,0,1,11,49
1.0,0,1,12,49
1.0,0,1,13,49
1.0,0,1,14,49
1.0,0,1,15,49
1.0,0,2,0,48
1.0,0,2,1,48
1.0,0,2,2,48
1.0,0,2,3,48
1.0,0,2,4,48
1.0,0,2,5,48
1.0,0,2,6,48
1.0,0,2,7,48
1.0,0,2,8,48
1.0,0,2,9,49
1.0,0,2,10,49
1.0,0,2,11,49
1.0,0,2,12,49
1.0,0,2,13,49
1.0,0,2,14,49
1.0,0,2,15,49
1.0,0,3,0,48
1.0,0,3,1,48
1.0,0,3,2,48
1.0,0,3,3,48
1.0,0,3,4,48
1.0,0,3,5,48
1.0,0,3,6,48
1.0,0,3,7,48
1.0,0,3,8,49
1.0,0,3,9,49
1.0,0,3,10,49
1.0,0,3,11,49
1.0,0,3,12,49
1.0,0,3,13,49
1.0,0,3,14,49
1.0,0,3,15,49
1.0,0,4,0,48
1.0,0,4,1,48
1.0,0,4,2,48
1.0,0,4,3,48
1.0,0,4,4,48
1.0,0,4,5,48
1.0,0,4,6,48
1.0,0,4,7,49
1.0,0,4,8,49
1.0,0,4,9,49
1.0,0,4,10,49
1.0,0,4,11,49
1.0,0,4,12,49
1.0,0,4,13,49
1.0,0,4,14,49
1.0,0,4,15,49
1.0,0,5,0,48
1.0,0,5,1,48
1.0,0,5,2,48
1.0,0,5,3,48
1.0,0,5,4,48
1.0,0,5,5,48
1.0,0,5,6,49
1.0,0,5,7,49
1.0,0,5,8,49
1.0,0,5,9,49
1.0,0,5,10,49
1.0,0,5,11,49
1.0,0,5,12,49
1.0,0,5,13,49
1.0,0,5,14,49
1.0,0,5,15,49
1.0,0,6,0,48
1.0,0,6,1,48
1.0,0,6,2,48
1.0,0,6,3,48
1.0,0,6,4,48
1.0,0,6,5,49
1.0,0,6,6,49
1.0,0,6,7,49
1.0,0,6,8,49
1.0,0,6,9,49
1.0,0,6,10,49
1.0,0,6,11,49
1.0,0,6,12,49
1.0,0,6,13,49
1.0,0,6,14,49
1.0,0,6,15,50
1.0,0,7,0,48
1.0,0,7,1,48
1.0,0,7,2,48
1.0,0,7,3,48
1.0,0,7,4,49
1.0,0,7,5,49
1.0,0,7,6,49
1.0,0,7,7,49
1.0,0,7,8,49
1.0,0,7,9,49
1.0,0,7,10,49
1.0,0,7,11,49
1.0,0,7,12,49
1.0,0,7,13,49
1.0,0,7,14,50
1.0,0,7,15,50
1.0,0,8,0,48
1.0,0,8,1,48
1.0,0,8,2,48
1.0,0,8,3,49
1.0,0,8,4,49
1.0,0,8,5,49
1.0,0,8,6,49
1.0,0,8,7,49
1.0,0,8,8,49
1.0,0,8,9,49
1.0,0,8,10,49
1.0,0,8,11,49
1.0,0,8,12,49
1.0,0,8,13,50
1.0,0,8,14,50
1.0,0,8,15,50
1.0,0,9,0,48
1.0,0,9,1,48
1.0,0,9,2,49
1.0,0,9,3,49
1.0,0,9,4,49
1.0,0,9,5,49
1.0,0,9,6,49
1.0,0,9,7,49
1.0,0,9,8,49
1.0,0,9,9,49
1.0,0,9,10,49
1.0,0,9,11,49
1.0,0,9,12,50
1.0,0,9,13,50
