level,attack,defense,stamina,cp
1.0,0,0,0,42
1.0,0,0,1,42
1.0,0,0,2,42
1.0,0,0,3,42
1.0,0,0,4,42
1.0,0,0,5,42
1.0,0,0,6,42
1.0,0,0,7,43
1.0,0,0,8,43
1.0,0,0,9,43
1.0,0,0,10,43
1.0,0,0,11,43
1.0,0,0,12,43
1.0,0,0,13,43
1.0,0,0,14,43
1.0,0,0,15,43
1.0,0,1,0,42
1.0,0,1,1,42
1.0,0,1,2,42
1.0,0,1,3,42
1.0,0,1,4,42
1.0,0,1,5,42
1.0,0,1,6,43
1.0,0,1,7,43
1.0,0,1,8,43
1.0,0,1,9,43
1.0,0,1,10,43
1.0,0,1,11,43
1.0,0,1,12,43
1.0,0,1,13,43
1.0,0,1,14,43
1.0,0,1,15,43
1.0,0,2,0,42
1.0,0,2,1,42
1.0,0,2,2,42
1.0,0,2,3,42
1.0,0,2,4,42
1.0,0,2,5,43
1.0,0,2,6,43
1.0,0,2,7,43
1.0,0,2,8,43
1.0,0,2,9,43
1.0,0,2,10,43
1.0,0,2,11,43
1.0,0,2,12,43
1.0,0,2,13,43
1.0,0,2,14,43
1.0,0,2,15,44
1.0,0,3,0,42
1.0,0,3,1,42
1.0,0,3,2,42
1.0,0,3,3,42
1.0,0,3,4,43
1.0,0,3,5,43
1.0,0,3,6,43
1.0,0,3,7,43
1.0,0,3,8,43
1.0,0,3,9,43
1.0,0,3,10,43
1.0,0,3,11,43
1.0,0,3,12,43
1.0,0,3,13,44
1.0,0,3,14,44
1.0,0,3,15,44
1.0,0,4,0,42
1.0,0,4,1,42
1.0,0,4,2,42
1.0,0,4,3,43
1.0,0,4,4,43
1.0,0,4,5,43
1.0,0,4,6,43
1.0,0,4,7,43
1.0,0,4,8,43
1.0,0,4,9,43
1.0,0,4,10,43
1.0,0,4,11,43
1.0,0,4,12,44
1.0,0,4,13,44
1.0,0,4,14,44
1.0,0,4,15,44
1.0,0,5,0,42
1.0,0,5,1,43
1.0,0,5,2,43
1.0,0,5,3,43
1.0,0,5,4,43
1.0,0,5,5,43
1.0,0,5,6,43
1.0,0,5,7,43
1.0,0,5,8,43
1.0,0,5,9,43
1.0,0,5,10,43
1.0,0,5,11,44
1.0,0,5,12,44
1.0,0,5,13,44
1.0,0,5,14,44
1.0,0,5,15,44
1.0,0,6,0,43
1.0,0,6,1,43
1.0,0,6,2,43
1.0,0,6,3,43
1.0,0,6,4,43
1.0,0,6,5,43
1.0,0,6,6,43
1.0,0,6,7,43
1.0,0,6,8,43
1.0,0,6,9,43
1.0,0,6,10,44
1.0,0,6,11,44
1.0,0,6,12,44
1.0,0,6,13,44
1.0,0,6,14,44
1.0,0,6,15,44
1.0,0,7,0,43
1.0,0,7,1,43
1.0,0,7,2,43
1.0,0,7,3,43
1.0,0,7,4,43
1.0,0,7,5,43
1.0,0,7,6,43
1.0,0,7,7,43
1.0,0,7,8,43
1.0,0,7,9,44
1.0,0,7,10,44
1.0,0,7,11,44
1.0,0,7,12,44
1.0,0,7,13,44
1.0,0,7,14,44
1.0,0,7,15,44
1.0,0,8,0,43
1.0,0,8,1,43
1.0,0,8,2,43
1.0,0,8,3,43
1.0,0,8,4,43
1.0,0,8,5,43
1.0,0,8,6,43
1.0,0,8,7,43
1.0,0,8,8,44
1.0,0,8,9,44
1.0,0,8,10,44
1.0,0,8,11,44
1.0,0,8,12,44
1.0,0,8,13,44
1.0,0,8,14,44
